"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"525","A.J. Greer","N.J","L","27","1996-12-14","Joliette","QC","CAN","CAN","75","208","2015","COL","2","9","39"
"440","Aaron Ekblad","FLA","D","28","1996-02-07","Windsor","ON","CAN","CAN","76","215","2014","FLA","1","1","1"
"914","Adam Beckman","MIN","L","22","2001-05-10","Saskatoon","SK","CAN","CAN","74","182","2019","MIN","3","13","75"
"856","Adam Boqvist","CBJ","D","23","2000-08-15","Falun","","SWE","SWE","72","182","2018","CHI","1","8","8"
"604","Adam Brooks","MTL, VGK, WPG","C","27","1996-05-06","Winnipeg","MB","CAN","CAN","72","179","2016","TOR","4","1","92"
"393","Adam Erne","DET","L","28","1995-04-20","New Haven","CT","USA","USA","73","212","2013","T.B","2","3","33"
"620","Adam Fox","NYR","D","26","1998-02-17","Jericho","NY","USA","USA","71","182","2016","CGY","3","5","66"
"592","Adam Gaudette","CHI, OTT","C","27","1996-10-03","Braintree","MA","USA","USA","73","194","2015","VAN","5","28","149"
"114","Adam Henrique","ANA","C","34","1990-02-06","Brantford","ON","CAN","CAN","72","195","2008","N.J","3","21","82"
"262","Adam Larsson","SEA","D","31","1992-11-12","Skellefteå","","SWE","SWE","75","209","2011","N.J","1","4","4"
"237","Adam Lowry","WPG","C, L","30","1993-03-29","St. Louis","MO","USA","USA","78","208","2011","WPG","3","6","67"
"322","Adam Pelech","NYI","D","29","1994-08-16","Toronto","ON","CAN","CAN","75","210","2012","NYI","3","4","65"
"980","Adam Raska","S.J","R","22","2001-09-25","Frydek-Mistek","","CZE","CZE","70","178","2020","S.J","7","15","201"
"743","Adam Ruzicka","CGY","C","24","1999-05-11","Bratislava","","SVK","SVK","76","215","2017","CGY","4","16","109"
"462","Adrian Kempe","L.A","C, L","27","1996-09-13","Kramfors","","SWE","SWE","74","200","2014","L.A","1","29","29"
"89","Alec Martinez","VGK","D","36","1987-07-26","Rochester Hills","MI","USA","USA","73","210","2007","L.A","4","4","95"
"839","Alec Regula","CHI","D","23","2000-08-06","West Bloomfield","MI","USA","USA","76","208","2018","DET","3","5","67"
"409","Aleksander Barkov","FLA","C","28","1995-09-02","Tampere","","FIN","FIN","75","215","2013","FLA","1","2","2"
"760","Aleksi Heponiemi","FLA","C","25","1999-01-09","Tampere","","FIN","FIN","70","155","2017","FLA","2","9","40"
"712","Alex Barré-Boulet","SEA, T.B","C","26","1997-05-21","Montmagny","QC","CAN","CAN","70","180","-","-","-","-","-"
"219","Alex Belzile","MTL","R","32","1991-08-31","Rivière-du-Loup","QC","CAN","CAN","72","196","-","-","-","-","-"
"45","Alex Biega","TOR","D","35","1988-04-04","Montreal","QC","CAN","CAN","70","195","2006","BUF","5","24","147"
"133","Alex Chiasson","VAN","R","33","1990-10-01","Montreal","QC","CAN","CAN","76","208","2009","DAL","2","8","38"
"627","Alex DeBrincat","CHI","L","26","1997-12-18","Farmington Hills","MI","USA","USA","68","178","2016","CHI","2","9","39"
"756","Alex Formenton","OTT","L","24","1999-09-13","Barrie","ON","CAN","CAN","75","195","2017","OTT","2","16","47"
"291","Alex Galchenyuk","ARI","C","30","1994-02-12","Milwaukee","WI","USA","USA","73","194","2012","MTL","1","3","3"
"25","Alex Goligoski","MIN","D","38","1985-07-30","Grand Rapids","MN","USA","USA","71","173","2004","PIT","2","31","61"
"781","Alex Iafallo","L.A","L","30","1993-12-21","Eden","NY","USA","USA","72","200","-","-","-","-","-"
"62","Alex Killorn","T.B","C, L","34","1989-09-14","Halifax","NS","CAN","CAN","73","194","2007","T.B","3","16","77"
"937","Alex Newhook","COL","C","23","2001-01-28","St. John's","NL","CAN","CAN","70","190","2019","COL","1","16","16"
"19","Alex Ovechkin","WSH","L","38","1985-09-17","Moscow","","RUS","RUS","75","238","2004","WSH","1","1","1"
"97","Alex Pietrangelo","VGK","D","34","1990-01-18","King City","ON","CAN","CAN","75","215","2008","STL","1","4","4"
