"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"235","Joseph Cramarossa","MIN","C","1","6.9166666666667","6.9166666666667","0","8.67","0","8.67","8.67","100.00","8.67","0.00","0.6","8.67","8.67","8.67","0","0","0","17.35","8.67","8.67","0","0","0","0","8.67","8.67","17.35","0","0","0","-"
"607","Andrew Poturalski","CAR","C","2","20.283333333333","10.141666666667","0","5.92","0","5.92","5.92","100.00","11.83","0.00","1.04","14.79","14.79","11.83","5.92","0","2.96","0","0","0","0","0","0","2.96","0","0","8.87","2.96","8.87","11.83","126.78"
"945","Valtteri Puustinen","PIT","R","1","10.233333333333","10.233333333333","0","5.86","0","5.86","5.86","50.00","5.86","0.00","1.14","17.59","11.73","11.73","5.86","0","0","0","0","0","0","0","0","5.86","0","5.86","0","0","0","0","-"
"766","Reilly Walsh","N.J","D","1","14.383333333333","14.383333333333","0","4.17","0","4.17","4.17","100.00","8.34","0.00","0.05","12.51","8.34","0","0","0","0","0","0","0","0","0","4.17","4.17","0","0","20.86","0","0","0","-"
"335","Gemel Smith","DET","C","3","20.3","6.7666666666667","0","2.96","0","2.96","2.96","100.00","2.96","0.00","0.04","2.96","2.96","0","0","0","0","14.78","2.96","0","2.96","0","2.96","0","0","0","8.87","0","17.73","11.82","177.34"
"988","Alex Steeves","TOR","C","3","23.916666666667","7.9722222222222","0","2.51","0","2.51","2.51","100.00","5.02","0.00","0.66","12.54","10.03","10.03","5.02","0","0","0","0","0","0","0","2.51","0","7.53","2.51","5.02","2.51","0","0","-"
"964","Jack Quinn","BUF","R","2","29.75","14.875","2.02","2.02","0","2.02","4.03","100.00","12.1","16.67","0.56","18.15","12.1","16.13","0","0","0","0","0","0","0","0","0","0","2.02","0","0","2.02","0","0","-"
"142","Ryan Ellis","PHI","D","4","91.216666666667","22.804166666667","0.66","2.63","0.66","1.97","3.29","83.33","3.95","16.67","0.14","8.55","5.26","2.63","0","0","0","0","0","0","0","0","0","3.29","1.32","0.66","2.63","3.95","0","0","-"
"914","Adam Beckman","MIN","L","3","31.233333333333","10.411111111111","0","1.92","0","1.92","1.92","50.00","7.68","0.00","0.15","11.53","7.68","0","0","0","1.92","3.84","1.92","1.92","0","0","0","3.84","1.92","1.92","5.76","1.92","0","0","-"
"811","Trey Fix-Wolansky","CBJ","R","6","37.516666666667","6.2527777777778","1.6","1.6","0","1.6","3.2","66.67","8","20.00","0.53","14.39","12.79","9.6","3.2","0","0","0","0","0","0","0","0","4.8","3.2","11.2","4.8","6.4","0","0","-"
"956","Connor Mackey","CGY","D","3","40.733333333333","13.577777777778","0","1.47","0","1.47","1.47","100.00","5.89","0.00","0.44","11.78","10.31","5.89","1.47","2.95","1.47","2.95","1.47","1.47","0","0","0","1.47","1.47","5.89","0","1.47","0","0","-"
"691","Linus Hogberg","PHI","D","5","85.316666666667","17.063333333333","0","1.41","0","1.41","1.41","100.00","2.11","0.00","0.05","4.22","2.11","1.41","0","0","0","1.41","0.7","0.7","0","0","0","2.81","2.11","0","4.92","5.63","0","0","-"
"996","William Eklund","S.J","C, L","9","128.95","14.327777777778","0","1.86","0.47","1.4","1.86","66.67","3.72","0.00","0.77","6.98","5.12","5.12","3.26","0.47","1.4","0.93","0.47","0.47","0","0","0.47","3.72","0.93","1.86","4.19","0","1.4","2.33","17.45"
"575","Artemi Panarin","NYR","L","75","1441.6833333333","19.222444444444","0.92","3.08","1.79","1.29","4","83.48","7.37","12.43","0.71","15.4","11.03","7.91","1.5","0.33","0.96","0.75","0.21","0.17","0","0.04","0.5","2.95","2.33","0.92","2","0.42","0.04","0.04","2.08"
"221","Matthew Peca","STL","C","5","48.166666666667","9.6333333333333","0","1.25","0","1.25","1.25","inf","3.74","0.00","0.18","9.97","4.98","4.98","1.25","0","0","0","0","0","0","0","2.49","2.49","0","3.74","4.98","1.25","6.23","8.72","51.90"
"261","Jonathan Huberdeau","FLA","C, L","80","1553.65","19.420625","1.16","3.28","2.05","1.24","4.44","77.18","8.57","13.51","1","13.28","10.81","8.84","4.13","0.58","1.2","2.09","0.73","0.66","0","0.08","1.04","3.28","2.43","3.82","3.32","1.04","0.7","1.39","1.29"
"135","John Tavares","TOR","C","79","1427.5166666667","18.069831223629","1.13","2.06","0.88","1.18","3.19","63.87","9.96","11.39","1.42","18.03","14.58","13.45","6.72","0.42","1.43","1.34","0.67","0.67","0","0","0.76","2.73","1.68","3.78","3.99","1.81","34.17","22.23","2.55"
"479","Devon Toews","COL","D","66","1674.3666666667","25.369191919192","0.47","1.58","0.39","1.18","2.04","46.34","5.66","8.23","0.29","9.57","7.24","2.76","0.79","0.22","0.5","0.72","0.36","0.36","0","0","0.18","1.22","1.61","1.94","1.43","2.8","0","0","-"
"440","Aaron Ekblad","FLA","D","61","1519.7","24.913114754098","0.59","1.66","0.51","1.14","2.25","45.60","7.11","8.33","0.43","12.52","9.2","3.99","1.03","0.32","0.99","1.03","0.51","0.51","0","0","0.36","2.88","1.7","2.45","2.13","2.61","0","0","-"
