"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"498","Brock Boeser","VAN","R","71","2.4166666666667","0.034037558685446","0","24.83","0","24.83","24.83","100.00","24.83","0.00","0.38","24.83","24.83","24.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"187","Vladimir Tarasenko","STL","R","75","3.3333333333333","0.044444444444444","0","18","0","18","18","100.00","18","0.00","0.42","18","18","18","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"584","Brett Howden","VGK","C","47","21.033333333333","0.44751773049645","0","5.71","2.85","2.85","5.71","100.00","8.56","0.00","1.03","8.56","8.56","8.56","5.71","2.85","2.85","5.71","2.85","2.85","0","0","0","0","0","2.85","5.71","2.85","5.71","14.26","81.50"
"273","Ryan Murray","COL","D","37","39.9","1.0783783783784","0","1.5","0","1.5","1.5","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.01","0","3.01","0","0","-"
"260","Nathan Beaulieu","WPG","D","24","45.966666666667","1.9152777777778","0","1.31","0","1.31","1.31","inf","2.61","0.00","0","2.61","2.61","0","0","0","0","0","0","0","0","0","1.31","7.83","0","3.92","0","7.83","0","0","-"
"381","Tyler Bertuzzi","DET","L","68","49.683333333333","0.73063725490196","1.21","1.21","0","1.21","2.42","100.00","4.83","25.00","0.6","8.45","7.25","6.04","4.83","0","0","0","0","0","0","0","0","0","3.62","0","1.21","1.21","0","1.21","0.00"
"414","Sam Reinhart","FLA","C","78","50.766666666667","0.6508547008547","0","2.36","1.18","1.18","2.36","100.00","1.18","0.00","0.1","2.36","1.18","1.18","1.18","2.36","0","0","0","0","0","0","0","0","2.36","4.73","1.18","2.36","17.73","15.36","63.31"
"510","Nicolas Meloche","S.J","D","50","50.683333333333","1.0136666666667","0","1.18","0","1.18","1.18","100.00","1.18","0.00","0","1.18","1.18","0","0","0","0","0","0","0","0","0","1.18","1.18","0","7.1","1.18","4.74","0","0","-"
"14","Patrice Bergeron","BOS","C","73","122.31666666667","1.6755707762557","0","1.47","0.49","0.98","1.47","100.00","6.38","0.00","0.55","7.85","7.36","4.91","1.96","0.98","0.98","3.92","1.96","1.96","0","0","0.49","0","1.47","2.94","0.49","4.91","44.15","44.15","24.53"
"254","Sean Couturier","PHI","C","29","61.233333333333","2.1114942528736","0","0.98","0","0.98","0.98","100.00","1.96","0.00","0.12","3.92","3.92","0.98","0","0.98","0","0","0","0","0","0","1.96","0.98","6.86","0.98","0.98","0.98","27.44","37.23","41.57"
"94","Alex Pietrangelo","VGK","D","80","197.03333333333","2.4629166666667","0.3","0.91","0","0.91","1.22","80.00","3.35","9.09","0.1","4.26","3.65","1.22","0","0","0","1.22","0.61","0.61","0","0","0","1.52","3.05","1.52","0.61","8.53","0","0","-"
