"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"497","A.J. Greer","N.J","L","9","0.1","0.011111111111111","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"415","Aaron Ekblad","FLA","D","61","214.51666666667","3.5166666666667","0.84","4.75","1.4","3.36","5.59","57.14","12.03","6.98","0.97","22.94","16.22","5.87","0.28","0","1.68","1.12","0.56","0.56","0","0","0","3.64","0.56","1.4","0.56","0.56","0","0","-"
"838","Adam Beckman","MIN","L","3","2.3","0.76666666666667","0","0","0","0","0","0.00","0","-","0","26.09","0","0","0","0","0","0","0","0","0","0","0","26.09","26.09","0","26.09","0","0","0","-"
"789","Adam Boqvist","CBJ","D","52","100.76666666667","1.9378205128205","1.79","1.79","0.6","1.19","3.57","75.00","5.95","30.00","0.6","13.1","8.93","5.36","0.6","0","0.6","0","0","0","0","0","0","1.19","1.19","1.19","1.79","1.79","0","0","-"
"565","Adam Brooks","MTL, VGK, WPG","C","25","6.1333333333333","0.24533333333333","0","0","0","0","0","-","0","-","2.16","9.78","9.78","9.78","9.78","0","0","0","0","0","0","0","0","0","0","0","19.57","0","9.78","9.78","489.13"
"373","Adam Erne","DET","L","79","73.283333333333","0.92763713080169","0","0","0","0","0","0.00","2.46","0.00","0.4","3.27","3.27","3.27","2.46","0","0.82","0","0","0","0","0","0","0","0.82","0","3.27","0","1.64","3.27","27.29"
"577","Adam Fox","NYR","D","78","230.33333333333","2.9529914529915","0","8.6","4.95","3.65","8.6","70.21","9.9","0.00","0.69","17.71","11.72","5.47","0.26","0","2.6","0.52","0.26","0.26","0","0","0.26","3.39","2.34","0.26","0.26","1.3","0","0","-"
"556","Adam Gaudette","CHI, OTT","C","58","66.766666666667","1.1511494252874","1.8","0","0","0","1.8","50.00","17.07","10.53","2.28","22.47","20.67","13.48","3.59","0","1.8","0","0","0","0","0","0","3.59","0.9","1.8","0.9","0","2.7","4.49","33.70"
"111","Adam Henrique","ANA","C","58","124.43333333333","2.1454022988506","2.89","2.41","2.41","0","5.3","57.89","10.61","27.27","1.58","16.88","13.02","13.98","6.75","0.48","0","0.96","0.48","0.48","0","0","0","0.48","0.48","1.93","0.96","0","37.13","24.59","29.01"
"251","Adam Larsson","SEA","D","82","9.5166666666667","0.11605691056911","0","6.3","0","6.3","6.3","100.00","0","-","0","6.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"228","Adam Lowry","WPG","C, L","79","72.316666666667","0.91540084388186","0","1.66","0.83","0.83","1.66","28.57","4.15","0.00","1.02","6.64","6.64","6.64","4.98","0","0.83","0","0","0","0","0","0.83","0","1.66","0.83","1.66","0","23.23","19.91","44.68"
"308","Adam Pelech","NYI","D","78","15.366666666667","0.19700854700855","0","0","0","0","0","0.00","0","-","0.17","3.9","3.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"689","Adam Ruzicka","CGY","C","28","6.35","0.22678571428571","0","0","0","0","0","-","0","-","1.95","9.45","9.45","9.45","9.45","0","0","0","0","0","0","0","0","0","0","0","9.45","0","9.45","28.35","236.22"
"437","Adrian Kempe","L.A","C, L","78","230.7","2.9576923076923","1.56","2.6","1.3","1.3","4.16","64.00","14.82","10.53","1.62","30.69","21.07","13.78","3.38","0.26","2.34","1.56","0.78","0.78","0","0","0.26","2.6","0.26","1.3","1.82","0","1.82","0.52","20.23"
"87","Alec Martinez","VGK","D","26","12.516666666667","0.48141025641026","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","9.59","4.79","4.79","0","0","0","4.79","0","4.79","9.59","4.79","0","0","-"
"776","Alec Regula","CHI","D","15","12.533333333333","0.83555555555556","0","0","0","0","0","-","19.15","0.00","0.75","19.15","19.15","0","0","0","0","0","0","0","0","0","0","4.79","0","0","0","4.79","0","0","-"
"386","Aleksander Barkov","FLA","C","67","233.8","3.489552238806","3.08","3.59","1.54","2.05","6.67","57.78","12.06","25.53","1.83","23.35","17.45","14.37","3.08","0","1.54","0","0","0","0","0","0","2.57","0.26","1.03","1.28","0.51","29.77","18.48","15.83"
"706","Aleksi Heponiemi","FLA","C","6","0.7","0.11666666666667","0","85.71","0","85.71","85.71","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"660","Alex Barré-Boulet","SEA, T.B","C","16","27.433333333333","1.7145833333333","0","2.19","2.19","0","2.19","50.00","8.75","0.00","1.17","13.12","10.94","10.94","0","0","0","0","0","0","0","0","0","4.37","2.19","0","2.19","0","2.19","0","218.71"
"213","Alex Belzile","MTL","R","11","10.116666666667","0.91969696969697","0","0","0","0","0","-","5.93","0.00","1.87","5.93","5.93","5.93","0","0","0","0","0","0","0","0","0","5.93","0","11.86","0","0","0","0","-"
"129","Alex Chiasson","VAN","R","67","125.6","1.8746268656716","2.87","1.91","1.43","0.48","4.78","58.82","12.9","22.22","2.46","15.29","14.33","14.81","11.94","0","0.96","0","0","0","0","0","0.48","0","0","0.96","1.43","0","0","0.96","0.00"
"584","Alex DeBrincat","CHI","L","82","295.98333333333","3.6095528455285","2.84","2.84","1.62","1.22","5.68","71.79","12.57","22.58","2.08","24.33","17.84","15.41","3.24","0.2","1.42","2.23","0.81","0.61","0.2","0","0.41","1.42","1.22","1.22","2.64","0.2","0","0.41","0.00"
"702","Alex Formenton","OTT","L","79","67.033333333333","0.84852320675105","0","0","0","0","0","0.00","5.37","0.00","0.86","14.32","10.74","8.95","3.58","0","1.79","1.79","0.9","0.9","0","0","0.9","2.69","2.69","1.79","8.95","0","0","0","-"
"278","Alex Galchenyuk","ARI","C","60","50.05","0.83416666666667","0","1.2","0","1.2","1.2","50.00","10.79","0.00","0.64","14.39","11.99","5.99","0","0","1.2","4.8","2.4","2.4","0","0","0","2.4","0","0","2.4","0","10.79","7.19","71.93"
"25","Alex Goligoski","MIN","D","72","87.183333333333","1.2108796296296","0","2.75","1.38","1.38","2.75","57.14","2.06","0.00","0.11","6.19","2.75","2.06","0","0","0.69","1.38","0.69","0.69","0","0","0","0.69","0","0","0.69","2.06","0","0","-"
"724","Alex Iafallo","L.A","L","79","218.36666666667","2.764135021097","0.82","0.82","0.55","0.27","1.65","33.33","11.81","6.98","1.93","19.23","16.76","14.84","7.69","0","1.65","0","0","0","0","0","0","0.55","0.82","0.27","0.55","0","0","0","-"
"60","Alex Killorn","T.B","C, L","82","264.21666666667","3.2221544715447","1.36","1.82","0.91","0.91","3.18","31.11","7.95","17.14","1.62","11.81","10.67","10.45","8.63","0","0.45","3.18","1.59","1.59","0","0","0.23","1.14","0.68","0.91","2.95","0.23","0.23","0.68","5.68"
"859","Alex Newhook","COL","C","71","97.266666666667","1.3699530516432","1.85","1.85","1.23","0.62","3.7","54.55","8.02","23.08","1.11","17.89","12.34","12.34","2.47","0","0.62","1.23","0.62","0.62","0","0","0","0.62","0","0.62","1.85","0","6.17","13.57","19.28"
"19","Alex Ovechkin","WSH","L","77","366.26666666667","4.75670995671","2.62","2.13","0.98","1.15","4.75","65.91","21.13","12.40","1.83","38.82","27.52","10.81","1.47","0.16","2.29","0.33","0.16","0.16","0","0","0","1.8","1.64","0.16","0.82","0.33","0","0","-"
"95","Alex Pietrangelo","VGK","D","80","175.71666666667","2.1964583333333","1.02","3.41","2.05","1.37","4.44","72.22","12.98","7.89","0.97","25.61","18.44","6.15","0","0.34","2.73","0","0","0","0","0","0.34","2.39","3.41","0","2.73","2.73","0","0","-"
"430","Alex Tuch","BUF","R","50","143.41666666667","2.8683333333333","0.84","2.51","0.84","1.67","3.35","47.06","6.69","12.50","1.25","14.64","12.97","11.71","5.44","0","0.42","0.84","0.42","0.42","0","0","0.42","1.26","0","0","0.42","0","0","0","-"
"831","Alex Turcotte","L.A","C","8","2.1166666666667","0.26458333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28.35","0.00"
"845","Alex Vlasic","CHI","D","15","0.083333333333333","0.0055555555555556","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"397","Alex Wennberg","SEA","C","80","166.3","2.07875","0.72","1.44","0.72","0.72","2.16","46.15","7.58","9.52","0.92","13.35","10.1","7.22","4.33","0","0.36","1.44","0.72","0.72","0","0","0.72","1.08","0.72","0.36","2.89","0","23.09","21.65","18.62"
"898","Alexander Barabanov","S.J","L","70","130.48333333333","1.8640476190476","0.92","2.76","0.92","1.84","3.68","57.14","8.74","10.53","0.9","14.71","10.58","9.66","3.22","0","0.92","0.92","0.46","0.46","0","0","0","1.38","0.92","0.46","6.44","0","0","0","-"
"27","Alexander Edler","L.A","D","41","13.816666666667","0.3369918699187","0","0","0","0","0","0.00","4.34","0.00","0.12","4.34","4.34","0","0","0","0","0","0","0","0","0","0","0","4.34","0","0","0","0","0","-"
"890","Alexander Holtz","N.J","R","9","19.6","2.1777777777778","0","3.06","0","3.06","3.06","100.00","12.24","0.00","0.67","24.49","15.31","6.12","0","0","0","0","0","0","0","0","0","0","3.06","0","3.06","0","0","0","-"
"332","Alexander Kerfoot","TOR","C","82","10.483333333333","0.12784552845528","0","5.72","5.72","0","5.72","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.72","0","572.34"
"23","Alexander Radulov","DAL","R","71","149.18333333333","2.1011737089202","0.4","2.82","2.01","0.8","3.22","42.11","8.04","5.00","1.27","14.48","11.26","8.85","5.63","0.4","2.01","0","0","0","0","0","0.4","1.61","0","0.4","1.61","0.4","0","0.4","0.00"
"804","Alexander Romanov","MTL","D","79","9.1666666666667","0.11603375527426","0","0","0","0","0","-","0","-","0.26","6.55","6.55","0","0","0","0","0","0","0","0","0","0","0","0","6.55","0","0","0","0","-"
"751","Alexander True","SEA","C","8","0.15","0.01875","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","400","0.00"
"548","Alexandre Carrier","NSH","D","77","78.016666666667","1.0132034632035","0.77","2.31","2.31","0","3.08","44.44","6.92","11.11","0.6","10.77","7.69","6.15","0.77","0","0.77","1.54","0.77","0.77","0","0","0.77","1.54","0","1.54","3.08","0.77","0","0","-"
"722","Alexandre Texier","CBJ","C","36","3.2","0.088888888888889","0","0","0","0","0","-","0","-","0.76","18.75","18.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"742","Alexei Toropchenko","STL","R","28","0.43333333333333","0.01547619047619","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"883","Alexis Lafrenière","NYR","L","79","94.183333333333","1.192194092827","0","1.27","0.64","0.64","1.27","28.57","8.28","0.00","0.92","15.29","12.74","8.92","4.46","1.27","0.64","0","0","0","0","0","0.64","3.82","1.91","0","4.46","0","1.27","5.1","12.74"
"864","Aliaksei Protas","WSH","C","33","32.483333333333","0.98434343434343","0","1.85","0","1.85","1.85","50.00","3.69","0.00","0.51","3.69","3.69","3.69","3.69","0","0","0","0","0","0","0","1.85","3.69","0","1.85","1.85","0","5.54","11.08","61.57"
"465","Anders Bjork","BUF","L","58","2.6666666666667","0.045977011494253","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"163","Anders Lee","NYI","C, L","76","179.6","2.3631578947368","3.01","1.34","1.34","0","4.34","50.00","12.03","25.00","2.28","17.71","17.04","15.7","12.03","0","2","0.67","0.33","0.33","0","0","0","1","0","1","0.67","0","6.35","4.34","19.84"
"368","Andre Burakovsky","COL","L","80","160.48333333333","2.0060416666667","1.5","2.62","1.5","1.12","4.11","52.38","10.47","14.29","0.94","21.68","15.33","10.47","0.37","0","0.37","0","0","0","0","0","0.37","3.74","0","0.75","2.62","0.37","0","0","-"
"320","Andreas Athanasiou","L.A","C","28","45.25","1.6160714285714","0","1.33","0","1.33","1.33","50.00","13.26","0.00","1.69","22.54","18.56","10.61","3.98","0","0","2.65","1.33","1.33","0","0","1.33","1.33","0","0","3.98","0","9.28","2.65","103.13"
"347","Andreas Johnsson","N.J","L","71","74.483333333333","1.0490610328638","0.81","0","0","0","0.81","33.33","5.64","14.29","0.83","9.67","7.25","6.44","4.03","0.81","0","1.61","0.81","0.81","0","0","0","2.42","0","3.22","1.61","0","1.61","1.61","40.28"
