"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"649","Trevor Moore","L.A","C","81","99.766666666667","5","1","1","0","6","100.00","19","26.32","2.36","25","23","17","8","5","0","0","0","0","0","0","1","2","3","1","5","0","3","2","60.00"
"688","Alex Formenton","OTT","L","79","149.45","5","1","1","0","6","100.00","21","23.81","2.4","28","24","21","12","2","2","0","0","0","0","0","4","4","11","1","5","7","1","5","16.67"
"176","Evgeny Kuznetsov","WSH","C","79","89.116666666667","3","2","1","1","5","83.33","4","75.00","0.71","5","5","2","1","1","0","2","1","1","0","0","2","1","7","0","2","4","24","35","40.68"
"227","Adam Lowry","WPG","C, L","79","183.35","3","2","2","0","5","71.43","14","21.43","1.43","18","16","11","7","1","1","0","0","0","0","0","3","5","8","13","2","8","88","120","42.31"
"247","Ryan Nugent-Hopkins","EDM","C","63","127.26666666667","3","2","2","0","5","83.33","18","16.67","1.7","19","18","11","8","8","0","2","1","1","0","0","2","1","5","0","3","4","27","60","31.03"
"249","Jonathan Huberdeau","FLA","C, L","80","146.2","3","2","2","0","5","71.43","14","21.43","1.97","15","15","11","10","5","1","2","1","1","0","0","2","3","18","6","4","7","2","1","66.67"
"252","Mika Zibanejad","NYR","C","81","148.35","1","4","2","2","5","100.00","6","16.67","0.71","11","10","5","4","0","1","0","0","0","0","0","1","1","11","2","2","7","41","76","35.04"
"385","Aleksander Barkov","FLA","C","67","143.41666666667","4","1","1","0","5","100.00","11","36.36","1.19","13","11","11","8","2","0","0","0","0","0","0","0","4","13","1","2","9","78","88","46.99"
"94","Alex Pietrangelo","VGK","D","80","197.03333333333","1","3","0","3","4","80.00","11","9.09","0.32","14","12","4","0","0","0","4","2","2","0","0","0","5","10","5","2","28","0","0","-"
"112","Gustav Nyquist","CBJ","C","82","145.66666666667","4","0","0","0","4","80.00","16","25.00","1.64","22","21","15","5","3","0","2","1","1","0","0","4","0","7","5","2","8","3","2","60.00"
"145","Reilly Smith","VGK","R","56","98.85","2","2","2","0","4","100.00","10","20.00","1.31","13","12","8","5","4","0","0","0","0","0","0","1","3","4","7","2","4","2","2","50.00"
"193","Zach Hyman","EDM","C, L","76","136.56666666667","1","3","2","1","4","100.00","9","11.11","1.04","20","18","10","4","1","1","6","3","3","0","0","2","2","5","1","2","4","12","21","36.36"
"234","Jean-Gabriel Pageau","NYI","C","77","147.58333333333","1","3","3","0","4","100.00","12","8.33","0.94","17","14","8","5","3","0","2","1","1","0","0","0","2","6","2","2","10","81","72","52.94"
"267","Barclay Goodrow","NYR","C","79","182.78333333333","1","3","3","0","4","80.00","14","7.14","1.67","18","17","13","8","3","1","12","2","1","0","1","2","8","11","4","4","13","90","108","45.45"
"272","Yanni Gourde","SEA","C","74","116.68333333333","1","3","3","0","4","100.00","3","33.33","0.61","8","5","5","3","2","0","7","2","1","1","0","4","0","8","10","4","2","35","40","46.67"
"312","Dominic Toninato","WPG","C","77","112.71666666667","1","3","3","0","4","80.00","4","25.00","0.61","8","5","6","4","0","1","2","1","1","0","0","2","1","2","2","1","10","4","12","25.00"
"323","Connor Brown","OTT","R","64","166.58333333333","1","3","3","0","4","66.67","18","5.56","3.03","28","24","21","13","5","3","0","0","0","0","0","8","3","10","1","6","8","29","58","33.33"
"353","Pavel Buchnevich","STL","L","73","116.96666666667","2","2","2","0","4","100.00","9","22.22","1.37","13","12","9","4","2","0","2","1","1","0","0","3","2","7","4","0","2","0","2","0.00"
"501","Roope Hintz","DAL","C, L","80","93.966666666667","3","1","1","0","4","80.00","8","37.50","0.85","9","9","7","3","1","0","0","0","0","0","0","0","1","4","1","1","5","14","19","42.42"
"513","Mathieu Joseph","OTT, T.B","R","69","135.61666666667","2","2","2","0","4","100.00","11","18.18","1.72","17","14","12","5","2","1","6","3","3","0","0","2","2","11","0","3","4","3","2","60.00"
"518","Mitchell Marner","TOR","C, R","72","144.91666666667","3","1","1","0","4","80.00","22","13.64","2","31","30","15","6","3","1","2","1","1","0","0","1","7","14","3","2","3","6","5","54.55"
"710","David Kampf","TOR","C","82","202.66666666667","2","2","2","0","4","66.67","10","20.00","1.1","12","12","9","5","3","0","0","0","0","0","0","2","4","8","4","4","5","135","153","46.88"
"749","Isac Lundestrom","ANA","C","80","152.03333333333","4","0","0","0","4","100.00","7","57.14","1.85","8","8","8","5","3","0","0","0","0","0","0","3","1","3","1","2","12","28","50","35.90"
"791","Logan O'Connor","COL","R","81","169.88333333333","1","3","3","0","4","100.00","19","5.26","1.46","23","21","13","10","2","0","2","1","1","0","0","3","1","8","3","4","12","4","7","36.36"
"833","Ilya Mikheyev","TOR","R","53","73.95","4","0","0","0","4","80.00","17","23.53","2.06","20","20","15","7","2","2","0","0","0","0","0","1","3","4","4","3","0","0","1","0.00"
"854","Anton Lundell","FLA","C","65","153.86666666667","1","3","2","1","4","133.33","11","9.09","1.33","19","15","13","5","2","0","2","1","1","0","0","2","6","20","5","4","10","23","53","30.26"
"14","Patrice Bergeron","BOS","C","73","122.31666666667","0","3","1","2","3","100.00","13","0.00","1.11","16","15","10","4","2","2","8","4","4","0","0","1","0","3","6","1","10","90","90","50.00"
"70","Logan Couture","S.J","C","77","146.33333333333","2","1","1","0","3","100.00","22","9.09","1.44","24","22","13","7","6","0","4","2","2","0","0","4","1","10","4","2","6","83","106","43.92"
"103","John Carlson","WSH","D","78","135.08333333333","0","3","1","2","3","60.00","2","0.00","0.14","6","5","1","0","0","1","2","1","1","0","0","0","4","5","4","0","10","0","0","-"
"117","Cam Atkinson","PHI","R","73","127.7","3","0","0","0","3","75.00","17","17.65","1.66","22","21","15","6","5","1","2","1","1","0","0","0","4","6","0","0","7","1","4","20.00"
"133","Evander Kane","EDM","L","43","17","2","1","1","0","3","75.00","3","66.67","0.34","3","3","2","2","1","0","2","1","1","0","0","1","0","0","0","0","0","0","0","-"
"142","Chris Kreider","NYR","L","81","120.36666666667","3","0","0","0","3","100.00","11","27.27","1.17","16","13","8","5","2","2","0","0","0","0","0","0","2","7","4","2","6","3","3","50.00"
"171","Justin Holl","TOR","D","69","169.78333333333","1","2","0","2","3","42.86","1","100.00","0.07","1","1","1","0","0","0","0","0","0","0","0","1","6","4","9","8","22","0","0","-"
"173","Tyler Toffoli","CGY, MTL","C, R","74","80.966666666667","2","1","1","0","3","75.00","9","22.22","1.61","17","13","8","2","3","1","6","3","3","0","0","1","2","5","3","2","1","1","3","25.00"
"241","Brandon Saad","STL","L","78","77.45","1","2","2","0","3","100.00","11","9.09","1.03","13","12","10","4","2","0","2","1","1","0","0","1","3","7","3","0","2","0","1","0.00"
"262","Phillip Danault","L.A","C, L","79","135.2","0","3","3","0","3","150.00","10","0.00","0.75","11","10","5","2","1","2","4","2","2","0","0","1","1","3","5","1","3","57","75","43.18"
"275","Morgan Rielly","TOR","D","82","138.31666666667","0","3","3","0","3","75.00","6","0.00","0.14","10","8","2","1","1","0","0","0","0","0","0","1","9","5","5","4","8","0","0","-"
"286","Cody Ceci","EDM","D","78","203.03333333333","0","3","0","3","3","75.00","4","0.00","0.03","4","4","0","0","1","0","2","1","1","0","0","1","2","2","14","3","28","0","0","-"
"287","Tom Wilson","WSH","R","78","125.95","2","1","1","0","3","60.00","8","25.00","1.47","17","11","11","5","4","0","4","2","2","0","0","3","4","5","13","6","14","5","2","71.43"
"289","Teuvo Teravainen","CAR","L","77","122.7","2","1","1","0","3","100.00","8","25.00","1.11","12","12","7","4","2","1","0","0","0","0","0","4","1","8","2","4","5","0","1","0.00"
"298","Esa Lindell","DAL","D","76","201.65","1","2","0","2","3","100.00","9","11.11","0.39","10","10","2","0","1","0","0","0","0","0","0","3","6","3","5","4","27","0","1","0.00"
"325","Alexander Kerfoot","TOR","C","82","140.83333333333","0","3","3","0","3","100.00","10","0.00","1.54","18","15","12","7","3","2","2","1","1","0","0","3","2","9","5","5","6","16","30","34.78"
"337","Michael Raffl","DAL","L","76","132.71666666667","1","2","2","0","3","100.00","12","8.33","1.02","14","14","9","4","0","0","0","0","0","0","0","3","3","6","5","3","6","2","2","50.00"
"355","Mattias Janmark","VGK","C","67","79.75","2","1","1","0","3","100.00","5","40.00","0.46","5","5","4","3","1","0","0","0","0","0","0","2","0","4","2","1","1","1","1","50.00"
"362","Andrew Copp","NYR, WPG","C","72","166.35","2","1","1","0","3","100.00","20","10.00","4.22","31","27","24","14","4","4","0","0","0","0","0","0","5","8","1","5","11","55","61","47.41"
"390","Darnell Nurse","EDM","D","71","196.9","2","1","0","1","3","42.86","12","16.67","0.75","14","14","7","2","0","0","2","1","1","0","0","1","9","4","14","2","26","0","0","-"
"413","Aaron Ekblad","FLA","D","61","169.31666666667","0","3","2","1","3","50.00","5","0.00","0.36","9","6","4","1","1","0","0","0","0","0","0","0","8","8","5","4","15","0","0","-"
"433","Adrian Kempe","L.A","C, L","78","115.56666666667","3","0","0","0","3","100.00","13","23.08","1.94","19","17","13","6","1","1","2","1","1","0","0","0","3","5","7","0","1","1","4","20.00"
"462","Pierre Engvall","TOR","L","78","74.183333333333","2","1","1","0","3","100.00","9","22.22","0.99","13","12","9","4","0","0","0","0","0","0","0","1","1","5","1","5","2","8","8","50.00"
"469","Andrew Mangiapane","CGY","L","82","104.55","2","1","1","0","3","100.00","7","28.57","0.91","9","7","7","4","1","0","2","1","1","0","0","2","0","9","2","2","7","2","2","50.00"
"473","Kyle Connor","WPG","L","79","110.38333333333","3","0","0","0","3","75.00","18","16.67","2.27","23","21","18","8","5","0","0","0","0","0","0","0","4","17","0","1","1","1","0","100.00"
"489","Sebastian Aho","CAR","C, R","79","150.78333333333","1","2","2","0","3","100.00","15","6.67","1.75","23","20","17","7","3","1","6","3","3","0","0","6","2","11","5","5","1","29","30","49.15"
"580","Dillon Dube","CGY","C","79","63.483333333333","1","2","2","0","3","100.00","5","20.00","0.87","6","6","5","3","1","2","0","0","0","0","0","1","0","2","6","2","0","3","9","25.00"
