"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"488","Connor McDavid","EDM","C","80","297.86666666667","10","34","20","14","44","83.02","79","12.66","9.66","127","96","81","22","0","16","2","1","1","0","0","4","16","1","6","23","0","13","16","44.83"
"417","Leon Draisaitl","EDM","C","80","307.01666666667","24","17","7","10","41","75.93","96","25.00","14.43","173","138","95","32","1","10","0","0","0","0","0","1","11","5","3","12","0","184","130","58.60"
"132","Victor Hedman","T.B","D","82","293.53333333333","6","32","17","15","38","74.51","53","11.32","4.86","111","81","34","4","1","11","4","2","2","0","0","2","7","6","4","1","4","0","0","-"
"250","Jonathan Huberdeau","FLA","C, L","80","295.65","5","33","20","13","38","74.51","49","10.20","5.8","90","68","49","11","0","8","0","0","0","0","0","3","18","2","3","11","2","1","3","25.00"
"260","J.T. Miller","VAN","C","80","264.66666666667","8","30","18","12","38","76.00","52","15.38","5.67","85","71","41","13","0","5","4","2","2","0","0","0","11","0","5","11","2","38","25","60.32"
"105","Roman Josi","NSH","D","80","272.05","11","26","10","16","37","71.15","63","17.46","5.31","134","87","33","5","1","7","2","1","1","0","0","1","8","3","2","2","6","0","0","-"
"540","Artemi Panarin","NYR","L","75","224.95","5","32","15","17","37","82.22","45","11.11","5.82","109","79","47","2","1","8","0","0","0","0","0","0","13","4","1","2","0","0","0","-"
"94","Steven Stamkos","T.B","C","81","299.53333333333","16","20","12","8","36","69.23","104","15.38","11.89","162","134","71","10","2","7","2","1","1","0","0","0","5","1","6","7","0","91","71","56.17"
"143","Chris Kreider","NYR","L","81","240.05","26","9","3","6","35","67.31","66","39.39","14.24","93","88","84","66","0","9","4","2","2","0","0","1","4","1","10","9","1","2","4","33.33"
"496","Mikko Rantanen","COL","R","75","293.43333333333","16","19","15","4","35","64.81","91","17.58","10.19","146","126","76","16","0","12","4","2","2","0","0","3","15","4","2","13","2","19","18","51.35"
"717","Cale Makar","COL","D","77","294.03333333333","9","25","12","13","34","66.67","56","16.07","3.97","120","77","28","1","1","7","4","2","2","0","0","1","0","8","0","1","8","0","0","-"
"577","Adam Fox","NYR","D","78","230.33333333333","0","33","19","14","33","70.21","38","0.00","2.64","68","45","21","1","0","10","2","1","1","0","0","1","13","9","1","1","5","0","0","-"
"79","Patrick Kane","CHI","R","78","294.36666666667","9","22","15","7","31","81.58","88","10.23","7.95","154","112","58","9","0","7","2","1","1","0","0","0","8","3","2","7","1","0","0","-"
"293","Teuvo Teravainen","CAR","L","77","226.63333333333","9","22","12","10","31","81.58","73","12.33","6.69","109","88","52","7","2","7","4","2","2","0","0","0","16","1","0","7","1","0","0","-"
"416","Sam Reinhart","FLA","C","78","261.25","16","15","10","5","31","62.00","40","40.00","8.93","70","61","66","44","2","6","2","1","1","0","0","0","8","2","3","13","1","23","27","46.00"
"421","William Nylander","TOR","C, R","81","244.58333333333","13","18","9","9","31","62.00","57","22.81","9.5","112","90","74","28","2","5","6","3","3","0","0","0","11","1","1","6","1","2","1","66.67"
"551","Kirill Kaprizov","MIN","L","81","268.31666666667","14","17","8","9","31","77.50","72","19.44","7.32","123","89","71","15","0","8","6","2","2","0","0","1","14","0","4","14","0","1","1","50.00"
"764","Quinn Hughes","VAN","D","76","262.96666666667","0","31","12","19","31","72.09","46","0.00","2.88","101","59","27","2","1","6","4","2","2","0","0","0","4","5","3","8","0","0","0","-"
"29","Sidney Crosby","PIT","C","69","230.6","8","22","11","11","30","73.17","52","15.38","7","87","64","52","23","1","10","4","2","2","0","0","0","13","1","3","6","1","148","96","60.66"
"247","Nikita Kucherov","T.B","R","47","181.71666666667","9","21","12","9","30","78.95","43","20.93","5.2","81","63","44","12","2","6","4","2","2","0","0","1","9","0","4","7","0","0","0","-"
