"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"779","C.J. Smith","CAR","L","1","9.3666666666667","9.3666666666667","57.65","108.9","34.62","57.65","96.09","37.50","32.03","70.46","31.25","0","6.41","0.00","2.49","7.1","25.96","19.22","57.65","25.00","12.81","32.03","28.57","0","6.41","0.00","8.54","34.16","20.00","0","0","-","74.02","74.02","50.00","0","0","-","0.00","90.91","0.909","6.41","12.81","0","44.84","100.00","19.22","12.81","0","100.00"
"799","Ben Jones","VGK","C","2","16.083333333333","8.0416666666667","52.23","104.46","33.33","41.04","63.42","39.29","26.11","52.23","33.33","3.73","3.73","50.00","2.23","3.53","38.77","29.84","59.69","33.33","14.92","11.19","57.14","3.73","0","100.00","19.9","64.66","23.53","0","4.97","0.00","32.33","59.27","35.29","0","0","-","14.29","92.86","1.071","3.73","11.19","7.46","67.15","33.33","3.73","14.92","33.58","10.00"
"762","Dmitri Samorukov","EDM","D","1","2.4666666666667","2.4666666666667","121.62","97.3","55.56","72.97","97.3","42.86","48.65","97.3","33.33","0","48.65","0.00","3.68","6.97","34.55","48.65","97.3","33.33","24.32","72.97","25.00","0","48.65","0.00","32.43","32.43","50.00","0","0","-","105.41","0","100.00","0","0","-","0.00","50.00","0.500","0","0","0","97.3","-","0","0","0","-"
"503","Bokondji Imama","ARI","L","4","18.083333333333","4.5208333333333","29.86","92.9","24.32","26.54","89.59","22.86","26.54","59.72","30.77","6.64","13.27","33.33","1.78","6.1","22.61","13.27","43.13","23.53","9.95","33.18","23.08","3.32","9.95","25.00","4.42","13.27","25.00","0","0","-","19.17","67.1","22.22","4.79","4.79","50.00","25.00","77.78","1.028","13.27","16.59","6.64","66.36","66.67","19.91","23.23","23.23","46.15"
"851","Cameron Hillis","MTL","C","1","10.25","10.25","64.39","87.8","42.31","52.68","81.95","39.13","46.83","58.54","44.44","0","0","-","3.1","4.55","40.51","29.27","52.68","35.71","11.71","35.12","25.00","0","0","-","23.41","23.41","50.00","0","0","-","42.28","50.73","45.45","0","0","-","0.00","100.00","1.000","5.85","17.56","11.71","58.54","33.33","11.71","17.56","17.56","40.00"
"943","Viktor Lodin","OTT","C","1","10.416666666667","10.416666666667","40.32","86.4","31.82","34.56","74.88","31.58","34.56","57.6","37.50","0","0","-","1.87","6.81","21.50","23.04","51.84","30.77","11.52","23.04","33.33","0","0","-","15.36","38.4","28.57","0","0","-","24.96","41.6","37.50","0","0","-","0.00","100.00","1.000","11.52","17.28","0","51.84","100.00","17.28","23.04","0","100.00"
"402","Madison Bowey","VAN","D","2","31.466666666667","15.733333333333","32.42","85.81","27.42","20.97","64.83","24.44","17.16","45.76","27.27","0","7.63","0.00","1.5","4.99","23.15","20.97","51.48","28.95","9.53","24.79","27.78","0","3.81","0.00","15.25","35.59","30.00","0","5.08","0.00","13.77","44.07","23.81","0","0","-","0.00","83.33","0.833","3.81","11.44","0","72.46","100.00","9.53","22.88","11.44","45.45"
"353","Scott Sabourin","OTT","R","7","53.166666666667","7.5952380952381","58.68","81.25","41.94","47.4","58.68","44.68","29.34","49.66","37.14","3.39","5.64","37.50","2.26","3.77","37.48","27.08","44.01","38.10","9.03","16.93","34.78","1.13","3.39","25.00","24.08","36.11","40.00","0","0","-","44.01","48.9","47.37","3.26","3.26","50.00","11.54","88.64","1.002","3.39","19.18","12.41","66.58","21.43","9.03","23.7","15.8","36.36"
"593","Brett Seney","TOR","L","2","14.033333333333","7.0166666666667","21.38","81.24","20.83","8.55","47.03","15.38","8.55","42.76","16.67","0","0","-","0.98","2.91","25.10","21.38","38.48","35.71","4.28","17.1","20.00","0","0","-","22.8","28.5","44.44","0","0","-","0","43.23","0.00","0","0","-","0.00","100.00","1.000","8.55","4.28","0","72.68","100.00","12.83","12.83","4.28","75.00"
"607","Andrew Poturalski","CAR","C","2","20.283333333333","10.141666666667","56.2","79.87","41.30","47.33","62.12","43.24","35.5","44.37","44.44","5.92","2.96","66.67","3.09","4.44","41.08","29.58","35.5","45.45","11.83","17.75","40.00","2.96","2.96","50.00","23.66","23.66","50.00","3.94","0","100.00","47","55.55","45.83","0","0","-","16.67","93.33","1.100","14.79","11.83","0","50.29","100.00","20.71","14.79","8.87","70.00"
