"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"525","A.J. Greer","N.J","L","9","70.45","7.8277777777778","61.32","45.99","57.14","49.4","36.62","57.43","34.07","24.7","57.97","2.56","2.56","50.00","2.77","1.83","60.25","29.81","23.85","55.56","11.07","9.37","54.17","1.7","0.85","66.67","24.98","19.3","56.41","1.14","1.14","50.00","54.13","28.29","65.67","0","1.23","0.00","7.50","89.66","0.972","13.63","11.07","17.03","51.1","44.44","23.85","12.78","19.59","54.90"
"440","Aaron Ekblad","FLA","D","61","1134.9666666667","18.606010928962","68.72","48.9","58.43","51.28","35.74","58.93","38.8","28.44","57.70","4.44","2.59","63.16","3.63","2.65","57.81","36.05","25.53","58.54","14.59","11.42","56.10","2.11","1.37","60.61","28.62","18.82","60.33","1.83","0.85","68.42","42.99","29.17","59.58","1.07","0.61","63.64","11.44","90.89","1.023","14.01","15.86","9.25","38.91","60.23","26.49","22.47","18.08","59.43"
"914","Adam Beckman","MIN","L","3","28.333333333333","9.4444444444444","69.88","65.65","51.56","46.59","48.71","48.89","42.35","38.12","52.63","2.12","4.24","33.33","2.29","2.5","47.77","29.65","27.53","51.85","8.47","8.47","50.00","2.12","2.12","50.00","28.24","25.41","52.63","0","2.82","0.00","52","52","50.00","0","0","-","5.00","88.89","0.939","8.47","10.59","2.12","63.53","80.00","14.82","14.82","23.29","38.89"
"856","Adam Boqvist","CBJ","D","52","781.55","15.029807692308","57.5","62.8","47.80","43.68","50.13","46.56","32.32","37.54","46.26","3.22","4.07","44.21","2.56","3.58","41.64","28.79","31.63","47.65","8.83","13.43","39.66","1.38","1.92","41.86","26.61","24.26","52.31","1.64","1.54","51.61","38.15","40.25","48.66","0.89","1.22","42.11","9.98","89.16","0.991","11.05","11.36","6.83","47.6","61.80","22.11","16.2","14.82","59.88"
"604","Adam Brooks","MTL, VGK, WPG","C","25","214.91666666667","8.5966666666667","46.62","57.51","44.77","34.06","42.16","44.69","25.41","28.2","47.40","1.4","0.84","62.50","1.95","2.55","43.32","21.78","27.08","44.57","8.38","12","41.10","0.56","0.84","40.00","17.87","20.1","47.06","0.74","0","100.00","29.84","38.31","43.79","0.4","0","100.00","5.49","97.03","1.025","6.98","14.52","5.3","54.72","56.82","12.84","18.7","13.96","47.92"
"393","Adam Erne","DET","L","79","973.51666666667","12.322995780591","45.42","61.02","42.68","33.84","45.36","42.72","25.39","33.65","43.01","1.97","3.14","38.55","2.32","2.86","44.78","24.28","29.77","44.93","10.97","13.07","45.64","0.99","1.48","40.00","17.75","22.27","44.35","0.82","1.07","43.48","26.35","40.77","39.26","0.53","0.8","40.00","7.77","90.66","0.984","9.24","16.58","10.54","43.14","46.73","15.47","20.83","21.2","42.18"
"620","Adam Fox","NYR","D","78","1467.8166666667","18.818162393162","54.16","53.02","50.53","41.41","39.12","51.42","30.49","27.26","52.80","3.15","2.49","55.80","2.77","2.5","52.56","28.65","27.76","50.80","12.14","10.75","53.04","1.8","1.55","53.66","22.02","22.67","49.27","0.98","0.82","54.55","33.89","33.12","50.57","0.59","0.41","58.82","10.32","90.85","1.012","8.75","10.91","7.28","46.44","54.59","20.89","17.17","15.78","56.97"
"592","Adam Gaudette","CHI, OTT","C","58","588.66666666667","10.149425287356","50.35","56.16","47.27","38.32","43.93","46.59","27.72","33.43","45.33","1.73","2.45","41.46","2.07","2.89","41.74","23.65","29.66","44.36","8.46","12.64","40.10","0.92","1.33","40.91","20.25","22.7","47.15","0.54","1.49","26.67","33.57","33.42","50.11","0.59","0","100.00","6.25","92.68","0.989","9.78","12.03","6.63","52.9","59.63","16.51","16.1","14.98","52.43"
"114","Adam Henrique","ANA","C","58","878.16666666667","15.140804597701","58.14","57.26","50.38","44.07","44.41","49.81","31.5","31.77","49.78","3.55","3.69","49.06","3.26","3.09","51.39","30.75","28.63","51.78","13.25","10.8","55.11","1.84","1.84","50.00","23.32","23.78","49.52","1.09","1.46","42.86","34.94","37.01","48.56","0.99","0.89","52.63","11.28","88.39","0.997","10.93","14.01","12.57","39.56","46.51","17.7","18.52","22.41","44.12"
"262","Adam Larsson","SEA","D","82","1597.9","19.486585365854","51.56","51.82","49.87","37.47","39.31","48.80","25.91","28.58","47.55","2.37","3.3","41.72","2.17","2.38","47.62","23.58","26.02","47.54","8.94","10.96","44.91","1.05","1.84","36.36","19.53","20.08","49.30","1","1.35","42.55","35.85","33.79","51.48","0.71","0.65","52.00","9.13","88.44","0.976","6.42","12.69","7.96","42.32","44.65","17.35","18.89","18.96","47.78"
