"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"525","A.J. Greer","N.J","L","9","70.45","72","54","57.14","58","43","57.43","40","29","57.97","3","3","50.00","3.25","2.15","60.25","35","28","55.56","13","11","54.17","2","1","66.67","22","17","56.41","1","1","50.00","44","23","65.67","0","1","0.00","7.50","89.66","0.972","16","13","20","60","44.44","28","15","23","54.90"
"440","Aaron Ekblad","FLA","D","61","1134.9666666667","1300","925","58.43","970","676","58.93","734","538","57.70","84","49","63.16","68.75","50.17","57.81","682","483","58.54","276","216","56.10","40","26","60.61","406","267","60.33","26","12","68.42","563","382","59.58","14","8","63.64","11.44","90.89","1.023","265","300","175","736","60.23","501","425","342","59.43"
"914","Adam Beckman","MIN","L","3","28.333333333333","33","31","51.56","22","23","48.89","20","18","52.63","1","2","33.33","1.08","1.18","47.77","14","13","51.85","4","4","50.00","1","1","50.00","10","9","52.63","0","1","0.00","17","17","50.00","0","0","-","5.00","88.89","0.939","4","5","1","30","80.00","7","7","11","38.89"
"856","Adam Boqvist","CBJ","D","52","781.55","749","818","47.80","569","653","46.56","421","489","46.26","42","53","44.21","33.28","46.64","41.64","375","412","47.65","115","175","39.66","18","25","41.86","260","237","52.31","16","15","51.61","344","363","48.66","8","11","42.11","9.98","89.16","0.991","144","148","89","620","61.80","288","211","193","59.88"
"604","Adam Brooks","MTL, VGK, WPG","C","25","214.91666666667","167","206","44.77","122","151","44.69","91","101","47.40","5","3","62.50","6.99","9.15","43.32","78","97","44.57","30","43","41.10","2","3","40.00","48","54","47.06","2","0","100.00","74","95","43.79","1","0","100.00","5.49","97.03","1.025","25","52","19","196","56.82","46","67","50","47.92"
"393","Adam Erne","DET","L","79","973.51666666667","737","990","42.68","549","736","42.72","412","546","43.01","32","51","38.55","37.62","46.4","44.78","394","483","44.93","178","212","45.64","16","24","40.00","216","271","44.35","10","13","43.48","296","458","39.26","6","9","40.00","7.77","90.66","0.984","150","269","171","700","46.73","251","338","344","42.18"
"620","Adam Fox","NYR","D","78","1467.8166666667","1325","1297","50.53","1013","957","51.42","746","667","52.80","77","61","55.80","67.75","61.14","52.56","701","679","50.80","297","263","53.04","44","38","53.66","404","416","49.27","18","15","54.55","574","561","50.57","10","7","58.82","10.32","90.85","1.012","214","267","178","1136","54.59","511","420","386","56.97"
"592","Adam Gaudette","CHI, OTT","C","58","588.66666666667","494","551","47.27","376","431","46.59","272","328","45.33","17","24","41.46","20.29","28.33","41.74","232","291","44.36","83","124","40.10","9","13","40.91","149","167","47.15","4","11","26.67","228","227","50.11","4","0","100.00","6.25","92.68","0.989","96","118","65","519","59.63","162","158","147","52.43"
"114","Adam Henrique","ANA","C","58","878.16666666667","851","838","50.38","645","650","49.81","461","465","49.78","52","54","49.06","47.75","45.17","51.39","450","419","51.78","194","158","55.11","27","27","50.00","256","261","49.52","12","16","42.86","354","375","48.56","10","9","52.63","11.28","88.39","0.997","160","205","184","579","46.51","259","271","328","44.12"
"262","Adam Larsson","SEA","D","82","1597.9","1373","1380","49.87","998","1047","48.80","690","761","47.55","63","88","41.72","57.69","63.46","47.62","628","693","47.54","238","292","44.91","28","49","36.36","390","401","49.30","20","27","42.55","661","623","51.48","13","12","52.00","9.13","88.44","0.976","171","338","212","1127","44.65","462","503","505","47.78"
