"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"19","Alex Ovechkin","WSH","L","77","0.85","1","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","0.09","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","100.00","-","1.00","1","0","1","6","50.00","1","0","1","50.00"
"77","David Perron","STL","L","67","0.96666666666667","4","0","100.00","3","0","100.00","3","0","100.00","1","0","100.00","0.17","0","100.00","4","0","100.00","3","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","33.33","-","0.33","0","0","0","2","-","0","0","0","-"
"84","Jakub Voracek","CBJ","R","79","1.7","3","0","100.00","3","0","100.00","2","0","100.00","0","0","-","0.11","0","100.00","2","0","100.00","1","0","100.00","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","1","0","1","14","50.00","2","0","1","66.67"
"196","Brett Connolly","CHI","R","9","0.68333333333333","2","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.13","0","100.00","2","0","100.00","0","0","-","0","0","-","2","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","0","0","1","-","0","0","0","-"
"246","Nikita Kucherov","T.B","R","47","2.7333333333333","2","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.04","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","0","0","0","6","-","2","0","0","100.00"
"290","Derrick Pouliot","SEA, VGK","D","11","1.3333333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.04","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","0","0","5","-","0","0","0","-"
"359","Mason Geertsen","N.J","D","25","0.13333333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.07","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","0","0","1","-","0","0","0","-"
"422","Brendan Perlini","EDM","L","23","0.36666666666667","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.09","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","0","1","2","0.00","0","0","1","0.00"
"430","Kasperi Kapanen","PIT","R","79","0.98333333333333","2","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.08","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0.00","-","0.00","1","0","0","0","100.00","1","0","0","100.00"
"443","Brayden Point","T.B","C","66","4","4","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.08","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","4","0","100.00","0","0","-","0.00","-","0.00","2","0","1","15","66.67","4","0","1","80.00"
"496","Dylan Strome","CHI","C","69","2.5166666666667","2","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","2","1","0","7","100.00","3","1","0","100.00"
"559","Dan Renouf","DET","D","4","0.73333333333333","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","0","0","0","1","-","0","0","0","-"
"575","Patrik Laine","CBJ","L","56","0.61666666666667","3","0","100.00","3","0","100.00","2","0","100.00","0","0","-","0.14","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","1","0","1","4","50.00","1","0","1","50.00"
"646","Matt Luff","NSH","R","23","0.9","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.04","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","0","0","0","2","-","0","0","0","-"
"720","Drake Batherson","OTT","R","46","1.7666666666667","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.11","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","0","1","0","5","-","1","1","0","100.00"
"755","Jesperi Kotkaniemi","CAR","C","66","1.0666666666667","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","2","1","4","0.00","0","2","2","0.00"
"770","Rasmus Sandin","TOR","D","51","2.7666666666667","4","0","100.00","3","0","100.00","2","0","100.00","0","0","-","0.13","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","1","2","3","10","25.00","1","3","3","25.00"
"810","Cole Caufield","MTL","R","67","1.05","3","0","100.00","3","0","100.00","1","0","100.00","0","0","-","0.04","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","1","1","0","3","100.00","1","1","0","100.00"
"816","Matt Boldy","MIN","L","47","0.46666666666667","4","0","100.00","3","0","100.00","2","0","100.00","0","0","-","0.06","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","3","0","100.00","0","0","-","0.00","-","0.00","0","0","1","1","0.00","0","0","1","0.00"
"823","Connor McMichael","WSH","C","68","1.1166666666667","2","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.13","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","0","0","0","5","-","0","0","0","-"
"452","Michael Bunting","TOR","L","79","2.1333333333333","8","1","88.89","4","1","80.00","3","0","100.00","0","0","-","0.26","0.6","30.20","3","0","100.00","1","0","100.00","0","0","-","2","0","100.00","0","0","-","5","0","100.00","0","0","-","0.00","-","0.00","0","1","0","3","-","2","1","0","100.00"
"566","Auston Matthews","TOR","C","73","5.6666666666667","14","3","82.35","10","3","76.92","8","2","80.00","0","0","-","0.46","0.73","38.67","5","1","83.33","2","0","100.00","0","0","-","3","1","75.00","0","0","-","8","2","80.00","0","0","-","0.00","100.00","1.000","1","2","5","23","16.67","4","3","6","40.00"
"498","Brock Boeser","VAN","R","71","2.4166666666667","4","1","80.00","3","1","75.00","3","0","100.00","1","0","100.00","0.05","0.06","46.05","2","1","66.67","0","0","-","0","0","-","2","1","66.67","1","0","100.00","1","0","100.00","0","0","-","33.33","-","0.33","0","1","2","7","0.00","1","1","2","33.33"
"531","Artemi Panarin","NYR","L","75","1.0166666666667","4","1","80.00","3","1","75.00","3","1","75.00","0","0","-","0.17","0.1","63.16","2","1","66.67","2","0","100.00","0","0","-","0","1","0.00","0","0","-","2","0","100.00","0","0","-","0.00","100.00","1.000","1","1","0","9","100.00","1","1","1","50.00"
"78","Patrick Kane","CHI","R","78","2.6833333333333","3","1","75.00","0","1","0.00","0","1","0.00","0","0","-","0","0.16","0.00","2","1","66.67","1","1","50.00","0","0","-","1","0","100.00","0","0","-","1","0","100.00","0","0","-","-","100.00","1.00","0","0","0","3","-","1","0","2","33.33"
"769","Adam Boqvist","CBJ","D","52","2.1833333333333","3","1","75.00","2","1","66.67","1","0","100.00","0","0","-","0.13","0.04","76.87","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","3","1","75.00","0","0","-","0.00","-","0.00","1","0","1","10","50.00","2","0","1","66.67"
"116","Matt Martin","NYI","L","71","1.5333333333333","2","1","66.67","2","1","66.67","2","1","66.67","0","0","-","0.08","0.08","49.30","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","1","1","50.00","0","0","-","0.00","100.00","1.000","1","0","0","4","100.00","1","0","0","100.00"
"132","Matt Duchene","NSH","C","78","2.7666666666667","2","1","66.67","2","1","66.67","2","1","66.67","0","1","0.00","0.04","0.06","42.80","0","1","0.00","0","0","-","0","0","-","0","1","0.00","0","1","0.00","2","0","100.00","0","0","-","0.00","0.00","0.000","1","1","2","11","33.33","1","1","2","33.33"
"544","Christian Jaros","N.J","D","11","3.4666666666667","2","1","66.67","1","0","100.00","1","0","100.00","0","0","-","0","0","100.00","1","1","50.00","0","0","-","0","0","-","1","1","50.00","0","0","-","0","1","0.00","0","0","-","0.00","-","0.00","0","0","2","4","0.00","0","0","2","0.00"
"546","Troy Terry","ANA","C, R","75","1.4666666666667","2","1","66.67","2","1","66.67","1","1","50.00","0","1","0.00","0","0.2","1.06","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0.00","0.00","0.000","0","0","0","8","-","0","0","0","-"
"553","Lane Pederson","S.J","C","29","2.1333333333333","2","1","66.67","2","1","66.67","1","0","100.00","0","0","-","0.1","0.06","62.84","1","1","50.00","1","0","100.00","0","0","-","0","1","0.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","1","1","0","4","100.00","1","1","0","100.00"
"804","Kaedan Korczak","VGK","D","1","1.1666666666667","2","1","66.67","2","1","66.67","2","1","66.67","1","0","100.00","0.47","0.04","92.17","2","0","100.00","2","0","100.00","1","0","100.00","0","0","-","0","0","-","0","1","0.00","0","0","-","50.00","100.00","1.500","0","0","0","2","-","0","0","0","-"
"817","Jack Hughes","N.J","C","49","3.5333333333333","2","1","66.67","2","1","66.67","2","1","66.67","0","1","0.00","0.04","0.56","6.50","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","2","1","66.67","0","0","-","0.00","0.00","0.000","1","2","1","8","50.00","1","2","3","25.00"
"847","Lucas Raymond","DET","L","82","1.8333333333333","2","1","66.67","2","1","66.67","2","0","100.00","0","0","-","0.24","0.08","76.13","2","0","100.00","2","0","100.00","0","0","-","0","0","-","0","0","-","0","1","0.00","0","0","-","0.00","-","0.00","2","3","0","7","100.00","2","4","0","100.00"
"351","Hudson Fasching","ARI","R","11","2.8166666666667","3","2","60.00","1","2","33.33","1","2","33.33","0","1","0.00","0.08","0.27","22.98","3","1","75.00","1","1","50.00","0","1","0.00","2","0","100.00","0","0","-","0","1","0.00","0","0","-","0.00","50.00","0.500","0","0","2","4","0.00","0","0","2","0.00"
"461","Victor Olofsson","BUF","L","72","1.4","3","2","60.00","3","2","60.00","3","2","60.00","1","0","100.00","0.48","0.42","53.21","3","2","60.00","3","0","100.00","1","0","100.00","0","2","0.00","0","0","-","0","0","-","0","0","-","33.33","100.00","1.333","1","0","0","5","100.00","1","0","0","100.00"
"877","Nick Blankenburg","CBJ","D","7","4.3666666666667","3","2","60.00","3","1","75.00","2","1","66.67","0","0","-","0.19","0.1","65.75","1","1","50.00","0","0","-","0","0","-","1","1","50.00","0","0","-","2","2","50.00","0","0","-","0.00","100.00","1.000","0","0","3","5","0.00","2","1","4","33.33"
"603","Jordan Kyrou","STL","C","74","4.6166666666667","4","3","57.14","2","3","40.00","2","2","50.00","1","0","100.00","0.08","0.42","16.79","4","0","100.00","2","0","100.00","1","0","100.00","2","0","100.00","0","0","-","0","3","0.00","0","0","-","50.00","100.00","1.500","0","3","0","11","-","1","3","0","100.00"
"724","Marian Studenic","DAL, N.J","L, R","33","17.166666666667","12","10","54.55","12","9","57.14","12","6","66.67","0","1","0.00","0.64","0.6","51.71","4","4","50.00","2","2","50.00","0","0","-","2","2","50.00","0","0","-","3","6","33.33","0","1","0.00","0.00","83.33","0.833","2","2","4","21","33.33","2","2","4","33.33"
"122","Mike Hoffman","MTL","C","67","1.6666666666667","2","2","50.00","2","2","50.00","2","1","66.67","1","1","50.00","0.11","0.3","26.53","2","1","66.67","1","0","100.00","1","0","100.00","1","1","50.00","0","0","-","0","0","-","0","0","-","50.00","0.00","0.500","0","0","0","5","-","0","0","0","-"
"161","Anders Lee","NYI","C, L","76","0.78333333333333","1","1","50.00","1","1","50.00","1","1","50.00","0","0","-","0.08","0.08","52.20","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","0","1","0.00","0","0","-","0.00","100.00","1.000","0","0","2","5","0.00","0","0","2","0.00"
"222","Johnny Gaudreau","CGY","L","82","5.55","1","1","50.00","1","1","50.00","1","0","100.00","0","0","-","0.18","0.06","76.73","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","0","1","0.00","0","0","-","0.00","-","0.00","2","2","6","22","25.00","2","2","8","20.00"
"264","Rickard Rakell","ANA, PIT","L, R","70","3.1","1","1","50.00","1","1","50.00","1","1","50.00","0","0","-","0.06","0.03","64.21","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","1","0.00","0","0","-","0.00","100.00","1.000","1","0","2","10","33.33","1","0","2","33.33"
"266","Jonathan Marchessault","VGK","C","76","0.76666666666667","1","1","50.00","1","1","50.00","0","1","0.00","0","1","0.00","0.01","0.05","20.02","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","1","50.00","0","1","0.00","-","0.00","0.00","0","0","0","5","-","0","0","0","-"
"318","Josh Anderson","MTL","R","69","2.7666666666667","4","4","50.00","4","3","57.14","1","3","25.00","0","1","0.00","0.2","0.25","44.49","3","2","60.00","0","0","-","0","0","-","3","2","60.00","0","0","-","1","2","33.33","0","1","0.00","0.00","66.67","0.667","0","1","2","10","0.00","0","1","2","0.00"
"384","Nathan MacKinnon","COL","C","65","4.1666666666667","2","2","50.00","2","1","66.67","2","0","100.00","0","0","-","0.11","0.17","39.04","1","1","50.00","0","1","0.00","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","1","4","5","17","16.67","1","5","6","14.29"
"467","Darren Raddysh","T.B","D","4","1.2833333333333","1","1","50.00","1","1","50.00","0","1","0.00","0","0","-","0.04","0.12","22.89","1","1","50.00","0","1","0.00","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","0","0","1","-","0","0","0","-"
"468","Dryden Hunt","NYR","L","76","1.55","1","1","50.00","1","1","50.00","1","1","50.00","0","0","-","0.19","0.15","56.03","1","1","50.00","1","1","50.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0.00","100.00","1.000","0","1","0","7","-","0","2","0","-"
"483","Jakub Zboril","BOS","D","10","6.4166666666667","4","4","50.00","4","2","66.67","4","2","66.67","0","0","-","0.28","0.1","73.29","1","2","33.33","1","0","100.00","0","0","-","0","2","0.00","0","0","-","1","2","33.33","0","0","-","0.00","100.00","1.000","0","0","4","9","0.00","0","0","6","0.00"
"488","Brendan Guhle","ANA","D","6","0.9","1","1","50.00","1","1","50.00","0","1","0.00","0","0","-","0.04","0.05","42.35","0","1","0.00","0","0","-","0","0","-","0","1","0.00","0","0","-","1","0","100.00","0","0","-","-","100.00","1.00","0","0","0","1","-","0","0","0","-"
"515","Kyle Capobianco","ARI","D","45","6.25","4","4","50.00","4","3","57.14","3","2","60.00","0","1","0.00","0.38","0.49","43.49","3","4","42.86","2","2","50.00","0","1","0.00","1","2","33.33","0","0","-","1","0","100.00","0","0","-","0.00","50.00","0.500","1","1","1","16","50.00","1","2","1","50.00"
"578","Jesse Puljujarvi","EDM","R","65","1.4166666666667","1","1","50.00","1","1","50.00","1","1","50.00","0","0","-","0","0.08","4.71","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","1","0.00","0","0","-","0.00","100.00","1.000","1","1","1","3","50.00","1","1","1","50.00"
"590","Logan Brown","STL","C","39","3.2666666666667","2","2","50.00","2","2","50.00","1","1","50.00","0","0","-","0.14","0.18","44.49","1","2","33.33","1","2","33.33","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","100.00","1.000","0","0","0","7","-","0","0","0","-"
"665","Kole Lind","SEA","R","23","0.76666666666667","1","1","50.00","1","0","100.00","0","0","-","0","0","-","0.06","0","100.00","1","1","50.00","0","0","-","0","0","-","1","1","50.00","0","0","-","0","0","-","0","0","-","-","-","-","0","0","1","1","0.00","0","0","1","0.00"
"708","Filip Chytil","NYR","C","67","1.1333333333333","1","1","50.00","1","1","50.00","0","0","-","0","0","-","0.08","0.08","48.74","1","1","50.00","0","0","-","0","0","-","1","1","50.00","0","0","-","0","0","-","0","0","-","-","-","-","1","1","0","8","100.00","1","1","0","100.00"
