"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"16","Nate Thompson","PHI","C","33","2.85","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.31","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0.00","-","0.00","3","1","3","6","50.00","3","2","3","50.00"
"38","Kris Russell","EDM","D","31","1.1166666666667","4","0","100.00","3","0","100.00","3","0","100.00","0","0","-","0.31","0","100.00","3","0","100.00","1","0","100.00","0","0","-","2","0","100.00","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","0","1","0","1","-","0","1","0","-"
"40","Darren Helm","COL","C","68","3.3166666666667","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.03","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","0","1","0","14","-","0","1","0","-"
"74","Kyle Turris","EDM","C","23","9.85","11","0","100.00","10","0","100.00","8","0","100.00","2","0","100.00","1.04","0","100.00","5","0","100.00","2","0","100.00","2","0","100.00","3","0","100.00","0","0","-","6","0","100.00","0","0","-","25.00","-","0.25","5","0","0","17","100.00","9","2","0","100.00"
"75","Brad Malone","EDM","C","8","0.36666666666667","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.05","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","1","1","0","1","100.00","1","1","0","100.00"
"76","Brendan Smith","CAR","D","45","0.8","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.14","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","0","0","7","-","0","0","0","-"
"80","Robert Bortuzzo","STL","D","73","0.63333333333333","2","0","100.00","2","0","100.00","2","0","100.00","1","0","100.00","0.39","0","100.00","2","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","50.00","-","0.50","0","0","0","7","-","0","0","0","-"
"92","Jay Beagle","ARI","C","33","3.8333333333333","3","0","100.00","3","0","100.00","3","0","100.00","0","0","-","0.16","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","9","0","0","5","100.00","12","0","0","100.00"
"109","Marco Scandella","STL","D","70","1.3333333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.02","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","1","2","1","12","50.00","2","2","1","66.67"
"115","Greg Pateryn","ANA","D","10","0.56666666666667","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","-","-","2","0","0","1","100.00","2","0","0","100.00"
"120","Jordie Benn","MIN","D","39","3.1666666666667","4","0","100.00","4","0","100.00","4","0","100.00","1","0","100.00","0.18","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","1","0","100.00","3","0","100.00","0","0","-","25.00","-","0.25","1","2","0","4","100.00","2","2","0","100.00"
"140","Zack Kassian","EDM","R","58","19.033333333333","24","0","100.00","21","0","100.00","15","0","100.00","3","0","100.00","1.75","0","100.00","11","0","100.00","3","0","100.00","2","0","100.00","8","0","100.00","1","0","100.00","13","0","100.00","0","0","-","20.00","-","0.20","9","4","1","30","90.00","16","5","2","88.89"
"156","Casey Cizikas","NYI","C","74","6.2","2","0","100.00","1","0","100.00","0","0","-","0","0","-","0.04","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","2","0","100.00","0","0","-","-","-","-","14","2","1","25","93.33","16","2","1","94.12"
"157","David Savard","MTL","D","62","3.7","6","0","100.00","5","0","100.00","3","0","100.00","0","0","-","0.4","0","100.00","4","0","100.00","2","0","100.00","0","0","-","2","0","100.00","0","0","-","3","0","100.00","0","0","-","0.00","-","0.00","5","1","1","20","83.33","6","1","1","85.71"
"158","Nicolas Deslauriers","ANA, MIN","L","81","2.3333333333333","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.04","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","3","3","0","5","100.00","3","3","0","100.00"
"160","Kevin Connauton","FLA, PHI","D","39","1.15","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.07","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","1","0","100.00","0","0","-","-","-","-","2","0","0","2","100.00","3","0","0","100.00"
