Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
Zdeno Chara,NYI,D,72,1214.7833333333,2,12,8,4,14,26.42,79,2.53,3.87,166,109,27,3,1,11,85,27,20,5,2,11,44,12,119,45,78,0,0,-
Joe Thornton,FLA,C,34,332.41666666667,2,5,3,2,7,58.33,20,10.00,2.66,32,26,20,14,1,4,8,4,4,0,0,1,18,17,19,14,9,71,91,43.83
Jason Spezza,TOR,C,71,648.96666666667,9,6,4,2,15,65.22,80,11.25,7.24,140,108,67,31,8,8,20,10,10,0,0,6,28,32,31,38,22,249,216,53.55
Duncan Keith,EDM,D,64,1108.1333333333,1,18,10,8,19,34.55,72,1.39,3.17,163,103,31,4,5,8,22,11,11,0,0,2,60,30,18,59,94,0,0,-
Ryan Suter,DAL,D,82,1633.7166666667,3,16,4,12,19,28.36,90,3.33,4.47,217,147,64,10,3,15,30,15,15,0,0,5,42,17,43,61,73,0,0,-
Jeff Carter,PIT,C,76,1074.7,15,23,14,9,38,69.09,150,10.00,14.37,239,186,128,66,9,14,32,15,15,0,0,9,27,25,92,65,40,520,380,57.78
Dustin Brown,L.A,"L, R",64,806.2,8,17,9,8,25,80.65,121,6.61,8.98,198,159,95,36,6,8,14,7,7,0,0,14,17,13,85,64,5,2,8,20.00
Zach Parise,NYI,L,82,995.25,11,14,10,4,25,60.98,108,10.19,13.46,161,142,119,61,2,12,24,12,12,0,0,11,20,26,55,73,45,23,40,36.51
Ryan Getzlaf,ANA,C,56,875.41666666667,1,24,14,10,25,73.53,78,1.28,6.32,146,112,68,18,1,6,25,11,10,1,0,8,54,31,84,46,48,418,381,52.32
Brent Burns,S.J,D,82,1688.5833333333,6,29,14,15,35,41.67,145,4.14,5.78,334,215,73,8,9,26,40,20,20,0,0,6,79,53,45,53,33,0,1,0.00
Brian Boyle,PIT,C,66,580.8,10,10,5,5,20,76.92,80,12.50,6.96,115,102,67,36,2,7,25,7,4,3,0,8,6,10,93,48,21,138,154,47.26
Corey Perry,T.B,R,82,963.3,13,19,15,4,32,69.57,126,10.32,15.92,203,168,154,88,4,13,64,25,22,2,1,29,19,18,73,114,11,2,1,66.67
Loui Eriksson,ARI,L,73,832.86666666667,2,15,8,7,17,60.71,73,2.74,6.88,111,94,70,37,2,12,6,3,3,0,0,4,23,17,14,56,14,18,14,56.25
Patrice Bergeron,BOS,C,73,977.88333333333,17,22,13,9,39,67.24,214,7.94,17.57,302,259,176,68,12,21,10,5,5,0,0,10,17,34,68,46,32,731,427,63.13
Brad Richardson,"CGY, VAN",R,44,415.78333333333,4,4,2,2,8,66.67,29,13.79,2.94,66,45,31,13,1,4,31,10,8,1,1,9,9,7,57,53,17,134,89,60.09
Nate Thompson,PHI,C,33,320.53333333333,1,2,2,0,3,37.50,20,5.00,2.03,36,30,22,7,1,3,31,6,3,1,2,4,5,4,48,20,13,131,105,55.51
Joe Pavelski,DAL,C,82,1247.4333333333,15,41,25,16,56,71.79,166,9.04,18.67,282,230,180,103,10,22,14,7,7,0,0,18,39,31,101,51,64,308,279,52.47
Mark Giordano,"SEA, TOR",D,75,1252.5,6,15,8,7,21,34.43,113,5.31,4.35,267,171,63,4,5,16,53,21,19,1,1,11,43,14,70,151,106,0,0,-
Alex Ovechkin,WSH,L,77,1216.7166666667,33,27,17,10,60,71.43,204,16.18,24.35,404,299,219,61,13,12,16,8,8,0,0,11,39,22,154,46,23,4,9,30.77
Evgeni Malkin,PIT,C,41,596.76666666667,11,11,4,7,22,75.86,85,12.94,8.07,126,102,81,37,2,10,20,9,9,0,0,11,40,38,20,43,15,161,205,43.99
Andrew Ladd,ARI,L,51,597.13333333333,4,4,1,3,8,47.06,44,9.09,4.92,88,62,50,27,3,6,47,18,16,1,1,3,20,16,65,57,28,6,3,66.67
Blake Wheeler,WPG,R,65,1042.8333333333,14,26,18,8,40,75.47,142,9.86,15.48,219,175,160,72,6,13,30,15,15,0,0,11,34,30,60,51,31,1,14,6.67
Alexander Radulov,DAL,R,71,846.61666666667,3,11,8,3,14,56.00,71,4.23,10.07,152,119,108,58,3,11,30,15,15,0,0,13,23,30,42,67,43,10,11,47.62
Blake Comeau,DAL,L,6,62.716666666667,1,0,0,0,1,50.00,2,50.00,0.13,5,2,2,1,0,0,2,1,1,0,0,0,4,1,13,5,3,0,0,-
Alex Goligoski,MIN,D,72,1191.8333333333,2,24,9,15,26,29.21,73,2.74,2.72,160,100,52,3,2,9,30,15,15,0,0,7,29,6,54,70,71,0,0,-
Andrej Sekera,DAL,D,32,409.46666666667,1,3,1,2,4,33.33,25,4.00,0.8,51,34,7,1,1,5,16,8,8,0,0,2,13,3,13,33,22,0,0,-
Alexander Edler,L.A,D,41,663.63333333333,3,15,7,8,18,50.00,50,6.00,2.07,115,76,34,9,4,11,34,17,17,0,0,10,13,7,53,74,14,0,0,-
Paul Stastny,WPG,C,71,1040.8166666667,17,20,12,8,37,57.81,121,14.05,16.02,166,148,131,91,8,12,12,6,6,0,0,6,21,31,26,36,23,225,153,59.52
Sidney Crosby,PIT,C,69,1136.3833333333,23,31,20,11,54,71.05,156,14.74,17.2,247,208,158,81,8,14,28,14,14,0,0,15,41,33,47,65,34,607,590,50.71
Jack Johnson,COL,D,74,1082.95,1,7,2,5,8,18.60,55,1.82,1.86,122,79,31,3,3,9,42,14,11,2,1,9,20,8,84,69,47,0,0,-
Anze Kopitar,L.A,C,81,1270.9833333333,13,31,21,10,44,72.13,149,8.72,13.19,233,198,136,59,7,11,14,7,7,0,0,14,21,42,67,78,20,622,466,57.17
Marc Staal,DET,D,71,1072.1666666667,3,13,6,7,16,26.23,71,4.23,3.62,136,99,48,9,3,7,24,12,12,0,0,10,26,10,84,62,51,0,0,-
T.J. Oshie,WSH,R,44,599.4,7,7,3,4,14,58.33,56,12.50,6.5,100,77,56,28,2,6,8,4,4,0,0,20,16,15,77,41,28,15,18,45.45
