Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
Zdeno Chara,NYI,D,72,125.16666666667,0,0,0,0,0,0.00,2,0.00,0.22,5,5,2,0,0,0,0,0,0,0,0,0,1,2,6,1,8,0,0,-
Joe Thornton,FLA,C,34,0.5,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Jason Spezza,TOR,C,71,11.05,0,0,0,0,0,-,0,-,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,21,38.24
Duncan Keith,EDM,D,64,112.55,0,0,0,0,0,0.00,4,0.00,0.01,4,4,0,0,0,0,0,0,0,0,0,0,4,5,4,1,12,0,0,-
Ryan Suter,DAL,D,82,131.28333333333,0,0,0,0,0,0.00,2,0.00,0.2,4,4,2,0,1,0,6,3,3,0,0,0,4,1,3,0,10,0,0,-
Jeff Carter,PIT,C,76,111.18333333333,1,0,0,0,1,100.00,14,7.14,0.87,17,16,5,4,5,0,4,2,2,0,0,3,2,7,6,0,8,52,61,46.02
Dustin Brown,L.A,"L, R",64,1.3666666666667,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Zach Parise,NYI,L,82,124.3,2,0,0,0,2,100.00,11,18.18,1.16,14,13,8,4,2,0,0,0,0,0,0,2,1,1,2,0,9,3,1,75.00
Ryan Getzlaf,ANA,C,56,38.316666666667,0,0,0,0,0,0.00,0,-,0.0,0,0,0,0,0,0,4,2,2,0,0,0,1,1,3,0,3,42,45,48.28
Brent Burns,S.J,D,82,223.73333333333,0,1,0,1,1,33.33,10,0.00,0.03,10,10,0,0,1,0,2,1,1,0,0,1,8,7,8,4,4,0,0,-
