Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
Zdeno Chara,NYI,D,72,4.7833333333333,0,0,0,0,0,0.00,0,-,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Joe Thornton,FLA,C,34,44.633333333333,3,0,0,0,3,75.00,6,50.00,0.89,12,9,8,3,0,0,2,1,1,0,0,0,0,1,1,0,0,6,7,46.15
Jason Spezza,TOR,C,71,101.78333333333,3,7,5,2,10,71.43,17,17.65,1.96,34,23,16,2,0,5,6,3,3,0,0,0,3,0,0,2,0,43,35,55.13
Duncan Keith,EDM,D,64,41.116666666667,0,2,0,2,2,66.67,3,0.00,0.25,8,5,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,-
Ryan Suter,DAL,D,82,172.5,4,9,2,7,13,68.42,26,15.38,1.93,44,32,13,3,1,2,4,2,2,0,0,0,0,1,0,3,0,0,0,-
Jeff Carter,PIT,C,76,155.55,3,3,1,2,6,42.86,36,8.33,5.25,59,43,43,23,0,13,2,1,1,0,0,0,10,1,1,7,0,76,48,61.29
Dustin Brown,L.A,"L, R",64,135.08333333333,1,2,0,2,3,21.43,25,4.00,6.66,40,37,34,29,0,4,6,3,3,0,0,0,2,0,3,7,1,0,0,-
Zach Parise,NYI,L,82,129.81666666667,2,6,5,1,8,40.00,19,10.53,2.99,28,25,24,18,0,2,4,2,2,0,0,0,4,0,3,11,0,2,6,25.00
Ryan Getzlaf,ANA,C,56,146.48333333333,2,10,6,4,12,66.67,26,7.69,2.99,46,36,21,7,0,2,0,0,0,0,0,1,12,3,2,2,0,86,53,61.87
Brent Burns,S.J,D,82,220.55,4,14,11,3,18,64.29,48,8.33,3.32,102,68,17,1,0,8,0,0,0,0,0,1,10,8,2,3,3,0,0,-
Brian Boyle,PIT,C,66,5.1333333333333,0,0,0,0,0,-,2,0.00,0.37,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,50.00
Corey Perry,T.B,R,82,141.5,6,2,2,0,8,44.44,27,22.22,5.34,39,38,36,29,1,4,2,1,1,0,0,1,3,1,0,7,0,0,0,-
Loui Eriksson,ARI,L,73,14.766666666667,0,1,0,1,1,50.00,1,0.00,0.11,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.00
Patrice Bergeron,BOS,C,73,221.86666666667,8,15,5,10,23,60.53,66,12.12,10.77,109,95,92,43,0,10,14,7,7,0,0,1,4,0,4,5,1,170,92,64.89
Brad Richardson,"CGY, VAN",R,44,2.2,0,0,0,0,0,-,0,-,0.12,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,100.00
Nate Thompson,PHI,C,33,2.85,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,60.00
Joe Pavelski,DAL,C,82,224.56666666667,12,13,5,8,25,67.57,49,24.49,10.52,90,80,65,46,1,10,0,0,0,0,0,0,4,2,3,8,1,76,63,54.68
Mark Giordano,"SEA, TOR",D,75,184.86666666667,0,12,7,5,12,70.59,34,0.00,1.91,75,44,19,1,0,8,2,1,1,0,0,0,2,1,2,1,6,0,0,-
Alex Ovechkin,WSH,L,77,366.26666666667,16,13,6,7,29,65.91,129,12.40,11.15,237,168,66,9,1,14,2,1,1,0,0,0,11,10,1,5,2,0,0,-
Evgeni Malkin,PIT,C,41,154.36666666667,9,11,6,5,20,71.43,44,20.45,5.03,77,56,45,11,0,6,4,2,2,0,0,2,8,3,1,3,0,3,7,30.00
Andrew Ladd,ARI,L,51,82.7,3,1,1,0,4,50.00,12,25.00,3.24,17,17,15,14,0,2,0,0,0,0,0,0,6,0,2,4,1,1,0,100.00
Blake Wheeler,WPG,R,65,205.05,3,17,6,11,20,74.07,24,12.50,3.74,43,34,28,17,1,2,4,2,2,0,0,0,2,1,2,5,0,2,1,66.67
Alexander Radulov,DAL,R,71,149.18333333333,1,7,5,2,8,42.11,20,5.00,3.17,36,28,22,14,1,5,0,0,0,0,0,1,4,0,1,4,1,0,1,0.00
Blake Comeau,DAL,L,6,0.05,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Alex Goligoski,MIN,D,72,87.183333333333,0,4,2,2,4,57.14,3,0.00,0.16,9,4,3,0,0,1,2,1,1,0,0,0,1,0,0,1,3,0,0,-
Andrej Sekera,DAL,D,32,0.38333333333333,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Alexander Edler,L.A,D,41,13.816666666667,0,0,0,0,0,0.00,1,0.00,0.03,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-
Paul Stastny,WPG,C,71,123.66666666667,4,4,2,2,8,47.06,18,22.22,3.51,27,21,27,19,0,4,2,1,1,0,0,1,0,0,0,0,0,14,25,35.90
Sidney Crosby,PIT,C,69,230.6,8,22,11,11,30,73.17,52,15.38,7.0,87,64,52,23,1,10,4,2,2,0,0,0,13,1,3,6,1,148,96,60.66
Jack Johnson,COL,D,74,3.4666666666667,0,0,0,0,0,-,0,-,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Anze Kopitar,L.A,C,81,270.63333333333,6,16,8,8,22,75.86,56,10.71,5.5,113,75,50,10,1,9,0,0,0,0,0,0,4,4,1,6,1,158,101,61.00
Marc Staal,DET,D,71,3.35,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
T.J. Oshie,WSH,R,44,153.23333333333,4,6,2,4,10,52.63,21,19.05,4.51,38,36,32,15,0,3,10,5,5,0,0,1,1,3,9,12,0,57,76,42.86
