Player,Team,Position,Age,Date of Birth,Birth Country,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
Zdeno Chara,NYI,D,47,1977-03-18,SVK,81,250,1996,NYI,3,4,56
Joe Thornton,FLA,C,44,1979-07-02,CAN,76,220,1997,BOS,1,1,1
Jason Spezza,TOR,C,40,1983-06-13,CAN,75,219,2001,OTT,1,2,2
Duncan Keith,EDM,D,40,1983-07-16,CAN,73,192,2002,CHI,2,24,54
Ryan Suter,DAL,D,39,1985-01-21,USA,73,205,2003,NSH,1,7,7
Jeff Carter,PIT,C,39,1985-01-01,CAN,75,219,2003,PHI,1,11,11
Dustin Brown,L.A,"L, R",39,1984-11-04,USA,72,205,2003,L.A,1,13,13
Zach Parise,NYI,L,39,1984-07-28,USA,71,195,2003,N.J,1,17,17
Ryan Getzlaf,ANA,C,38,1985-05-10,CAN,76,220,2003,ANA,1,19,19
Brent Burns,S.J,D,39,1985-03-09,CAN,77,230,2003,MIN,1,20,20
Brian Boyle,PIT,C,39,1984-12-18,USA,78,245,2003,L.A,1,26,26
Corey Perry,T.B,R,38,1985-05-16,CAN,75,208,2003,ANA,1,28,28
Loui Eriksson,ARI,L,38,1985-07-17,SWE,74,179,2003,DAL,2,3,33
Patrice Bergeron,BOS,C,38,1985-07-24,CAN,73,196,2003,BOS,2,15,45
Brad Richardson,"CGY, VAN",R,39,1985-02-04,CAN,72,190,2003,COL,5,27,163
Nate Thompson,PHI,C,39,1984-10-05,USA,73,205,2003,BOS,6,16,183
Joe Pavelski,DAL,C,39,1984-07-11,USA,71,200,2003,S.J,7,8,205
Mark Giordano,"SEA, TOR",D,40,1983-10-03,CAN,72,205,-,-,-,-,-
Alex Ovechkin,WSH,L,38,1985-09-17,RUS,75,238,2004,WSH,1,1,1
Evgeni Malkin,PIT,C,37,1986-07-31,RUS,75,195,2004,PIT,1,2,2
Andrew Ladd,ARI,L,38,1985-12-12,CAN,75,205,2004,CAR,1,4,4
Blake Wheeler,WPG,R,37,1986-08-31,USA,77,220,2004,PHX,1,5,5
Alexander Radulov,DAL,R,37,1986-07-05,RUS,73,200,2004,NSH,1,15,15
Blake Comeau,DAL,L,38,1986-02-18,CAN,73,200,2004,NYI,2,17,47
Alex Goligoski,MIN,D,38,1985-07-30,USA,71,173,2004,PIT,2,31,61
Andrej Sekera,DAL,D,37,1986-06-08,SVK,72,200,2004,BUF,3,6,71
Alexander Edler,L.A,D,37,1986-04-21,SWE,76,210,2004,VAN,3,26,91
Paul Stastny,WPG,C,38,1985-12-27,CAN,72,193,2005,COL,2,14,44
Sidney Crosby,PIT,C,36,1987-08-07,CAN,71,200,2005,PIT,1,1,1
Jack Johnson,COL,D,37,1987-01-13,USA,73,227,2005,CAR,1,3,3
Anze Kopitar,L.A,C,36,1987-08-24,SVN,75,225,2005,L.A,1,11,11
Marc Staal,DET,D,37,1987-01-13,CAN,76,208,2005,NYR,1,12,12
T.J. Oshie,WSH,R,37,1986-12-23,USA,72,187,2005,STL,1,24,24
Andrew Cogliano,"COL, S.J",C,36,1987-06-14,CAN,70,179,2005,EDM,1,25,25
James Neal,STL,L,36,1987-09-03,CAN,75,212,2005,DAL,2,3,33
Marc-Edouard Vlasic,S.J,D,36,1987-03-30,CAN,73,205,2005,S.J,2,5,35
Kris Letang,PIT,D,36,1987-04-24,CAN,72,201,2005,PIT,3,1,62
Kris Russell,EDM,D,36,1987-05-02,CAN,70,170,2005,CBJ,3,6,67
Keith Yandle,PHI,D,37,1986-09-09,USA,73,192,2005,PHX,4,14,105
Darren Helm,COL,C,37,1987-01-21,CAN,72,192,2005,DET,5,7,132
Ryan Reaves,NYR,R,37,1987-01-20,CAN,74,225,2005,STL,5,31,156
Anton Stralman,ARI,D,37,1986-08-01,SWE,71,193,2005,TOR,7,22,216
Patric Hornqvist,FLA,R,37,1987-01-01,SWE,71,189,2005,NSH,7,36,230
Andy Greene,NYI,D,41,1982-10-30,USA,71,190,-,-,-,-,-
Alex Biega,TOR,D,35,1988-04-04,CAN,70,195,2006,BUF,5,24,147
Brad Marchand,BOS,L,35,1988-05-11,CAN,69,176,2006,BOS,3,8,71
Nick Foligno,BOS,L,36,1987-10-31,USA,72,210,2006,OTT,1,28,28
Erik Johnson,COL,D,36,1988-03-21,USA,76,225,2006,STL,1,1,1
Kyle Okposo,BUF,R,35,1988-04-16,USA,72,218,2006,NYI,1,7,7
Trevor Lewis,CGY,C,37,1987-01-08,USA,73,201,2006,L.A,1,17,17
Leo Komarov,NYI,R,37,1987-01-23,EST,71,205,2006,TOR,6,27,180
Milan Lucic,CGY,L,35,1988-06-07,CAN,75,240,2006,BOS,2,20,50
Cal Clutterbuck,NYI,R,36,1987-11-18,CAN,72,212,2006,MIN,3,9,72
Jeff Petry,MTL,D,36,1987-12-09,USA,75,209,2006,EDM,2,15,45
Claude Giroux,"FLA, PHI","C, R",36,1988-01-12,CAN,71,190,2006,PHI,1,22,22
Jordan Staal,CAR,C,35,1988-09-10,CAN,76,220,2006,PIT,1,2,2
Derick Brassard,"EDM, PHI",C,36,1987-09-22,CAN,73,200,2006,CBJ,1,6,6
Phil Kessel,ARI,"C, R",36,1987-10-02,USA,71,208,2006,BOS,1,5,5
Nicklas Backstrom,WSH,C,36,1987-11-23,SWE,73,202,2006,WSH,1,4,4
Jonathan Toews,CHI,C,35,1988-04-29,CAN,74,201,2006,CHI,1,3,3
Mathieu Perreault,MTL,C,36,1988-01-05,CAN,70,189,2006,WSH,6,24,177
Alex Killorn,T.B,"C, L",34,1989-09-14,CAN,73,194,2007,T.B,3,16,77
Jamie Benn,DAL,L,34,1989-07-18,CAN,74,205,2007,DAL,5,8,129
Nick Bonino,S.J,C,35,1988-04-20,USA,73,195,2007,S.J,6,22,173
Ian Cole,CAR,D,35,1989-02-21,USA,73,225,2007,STL,1,18,18
Justin Braun,"NYR, PHI",D,37,1987-02-10,USA,74,205,2007,S.J,7,20,201
Kevin Shattenkirk,ANA,D,35,1989-01-29,USA,72,212,2007,COL,1,14,14
Pat Maroon,T.B,L,35,1988-04-23,USA,75,234,2007,PHI,6,10,161
James van Riemsdyk,PHI,L,34,1989-05-04,USA,75,208,2007,PHI,1,2,2
Paul Byron,MTL,L,34,1989-04-27,CAN,69,164,2007,BUF,6,28,179
Sam Gagner,DET,C,34,1989-08-10,CAN,71,201,2007,EDM,1,6,6
Logan Couture,S.J,C,34,1989-03-28,CAN,73,206,2007,S.J,1,9,9
P.K. Subban,N.J,D,34,1989-05-13,CAN,72,210,2007,MTL,2,13,43
Riley Nash,"ARI, T.B, WPG",C,34,1989-05-09,CAN,74,188,2007,EDM,1,21,21
Thomas Hickey,NYI,D,35,1989-02-08,CAN,72,185,2007,L.A,1,4,4
Kyle Turris,EDM,C,34,1989-08-14,CAN,73,190,2007,PHX,1,3,3
Brad Malone,EDM,C,34,1989-05-20,CAN,74,217,2007,COL,4,14,105
Brendan Smith,CAR,D,35,1989-02-08,CAN,74,200,2007,DET,1,27,27
Colton Sceviour,EDM,C,34,1989-04-20,CAN,72,190,2007,DAL,4,21,112
David Perron,STL,L,35,1988-05-28,CAN,73,196,2007,STL,1,26,26
Patrick Kane,CHI,R,35,1988-11-19,USA,70,177,2007,CHI,1,1,1
Robert Bortuzzo,STL,D,35,1989-03-18,CAN,76,216,2007,PIT,3,17,78
Evgenii Dadonov,VGK,R,35,1989-03-12,RUS,71,189,2007,FLA,3,10,71
Mikael Backlund,CGY,C,35,1989-03-17,SWE,72,206,2007,CGY,1,24,24
Ryan McDonagh,T.B,D,34,1989-06-13,USA,73,215,2007,MTL,1,12,12
Max Pacioretty,VGK,L,35,1988-11-20,USA,74,217,2007,MTL,1,22,22
Jakub Voracek,CBJ,R,34,1989-08-15,CZE,74,216,2007,CBJ,1,7,7
Jake Muzzin,TOR,D,35,1989-02-21,CAN,75,227,2007,PIT,5,20,141
Alec Martinez,VGK,D,36,1987-07-26,USA,73,210,2007,L.A,4,4,95
Carl Hagelin,WSH,L,35,1988-08-23,SWE,72,183,2007,NYR,6,17,168
Lars Eller,WSH,C,34,1989-05-08,DNK,74,205,2007,STL,1,13,13
Wayne Simmonds,TOR,R,35,1988-08-26,CAN,74,184,2007,L.A,2,31,61
Nick Holden,OTT,D,36,1987-05-15,CAN,76,210,-,-,-,-,-
Jay Beagle,ARI,C,38,1985-10-16,CAN,75,210,-,-,-,-,-
Drew Doughty,L.A,D,34,1989-12-08,CAN,73,210,2008,L.A,1,2,2
Steven Stamkos,T.B,C,34,1990-02-07,CAN,72,182,2008,T.B,1,1,1
Alex Pietrangelo,VGK,D,34,1990-01-18,CAN,75,215,2008,STL,1,4,4
Zach Bogosian,T.B,D,33,1990-07-15,USA,74,222,2008,ATL,1,3,3
