"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"763","Damien Giroux","MIN","C","1","13.95","13.95","0","4.3","0","4.3","4.3","100.00","0","-","0","0","0","0","0","0","0","8.6","4.3","4.3","0","0","0","0","0","8.6","8.6","4.3","8.6","12.9","172.04"
"99","Kyle Clifford","TOR","L","2","15.816666666667","7.9083333333333","0","3.79","0","3.79","3.79","100.00","7.59","0.00","0.97","18.97","11.38","15.17","7.59","0","0","7.59","3.79","3.79","0","0","0","0","0","22.76","15.17","0","0","0","-"
"700","Kristian Reichel","WPG","C","2","21.116666666667","10.558333333333","0","2.84","0","2.84","2.84","100.00","2.84","0.00","0.26","5.68","5.68","2.84","0","0","0","0","0","0","0","0","2.84","0","2.84","5.68","8.52","0","0","0","-"
"888","Justin Richards","CBJ","C","2","21.583333333333","10.791666666667","0","2.78","0","2.78","2.78","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","2.78","0","2.78","11.12","5.56","0","13.9","22.24","106.92"
"648","Joel Teasdale","MTL","L","2","21.733333333333","10.866666666667","0","2.76","0","2.76","2.76","100.00","2.76","0.00","0.48","5.52","5.52","2.76","2.76","0","2.76","0","0","0","0","0","0","5.52","2.76","5.52","2.76","2.76","0","2.76","0.00"
"195","Andy Andreoff","NYI","C","3","22.05","7.35","0","2.72","0","2.72","2.72","100.00","2.72","0.00","0.2","2.72","2.72","2.72","0","0","2.72","0","0","0","0","0","0","2.72","2.72","19.05","2.72","2.72","8.16","10.88","116.62"
"851","Lukas Rousek","BUF","R","2","22.616666666667","11.308333333333","2.65","2.65","0","2.65","5.31","66.67","7.96","33.33","1.07","7.96","7.96","7.96","5.31","0","2.65","0","0","0","0","0","0","0","0","0","5.31","2.65","0","2.65","0.00"
"587","Otto Koivula","NYI","L","8","54.883333333333","6.8604166666667","0","2.19","0","2.19","2.19","100.00","5.47","0.00","0.48","8.75","6.56","6.56","3.28","0","0","4.37","2.19","2.19","0","0","2.19","1.09","2.19","6.56","4.37","4.37","14.21","8.75","67.68"
"824","Sam Poulin","PIT","R","3","29.9","9.9666666666667","0","2.01","0","2.01","2.01","100.00","4.01","0.00","0.69","10.03","8.03","4.01","0","0","2.01","4.01","2.01","2.01","0","0","0","2.01","0","6.02","8.03","2.01","16.05","18.06","94.43"
"918","Luke Hughes","N.J","D","2","32.466666666667","16.233333333333","1.85","1.85","0","1.85","3.7","100.00","3.7","50.00","0.32","7.39","3.7","5.54","1.85","0","3.7","0","0","0","0","0","0","0","1.85","1.85","3.7","0","0","0","-"
"273","Dominic Toninato","WPG","C","5","39.633333333333","7.9266666666667","0","1.51","0","1.51","1.51","50.00","10.6","0.00","0.61","12.11","10.6","9.08","1.51","1.51","0","3.03","1.51","1.51","0","0","1.51","1.51","3.03","9.08","3.03","3.03","13.62","13.62","75.69"
"922","Stanislav Svozil","CBJ","D","2","40.233333333333","20.116666666667","0","1.49","0","1.49","1.49","100.00","4.47","0.00","0.28","10.44","8.95","2.98","1.49","0","0","2.98","1.49","1.49","0","0","0","1.49","0","1.49","1.49","1.49","0","0","-"
"208","Ryan Nugent-Hopkins","EDM","C","82","1623.7","19.801219512195","1.37","2.48","1.03","1.44","3.84","62.65","7.43","18.41","1.05","12.12","9.83","8.76","3.77","0.33","0.81","1.29","0.55","0.52","0.04","0","0.41","1.15","2.07","1.77","2.4","0.85","11.38","13.82","1.67"
"568","Jake Bean","CBJ","D","14","219.85","15.703571428571","0.27","1.36","0","1.36","1.64","54.55","4.37","6.25","0.24","8.73","5.73","2.73","0.55","0.27","1.09","1.64","0.82","0.82","0","0","0","0.82","2.18","3.55","3.27","5.19","0","0","-"
"207","Nikita Kucherov","T.B","R","82","1650.85","20.132317073171","1.09","3.02","1.74","1.27","4.11","76.87","9.85","11.07","1.01","19.81","14.39","10.72","3.23","0.51","1.96","1.31","0.65","0.65","0","0","1.38","3.56","2.07","2.22","3.89","0.22","0.07","0","3.63"
