"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"763","Damien Giroux","MIN","C","1","12.866666666667","12.866666666667","0","4.66","0","4.66","4.66","100.00","0","-","0","0","0","0","0","0","0","9.33","4.66","4.66","0","0","0","0","0","9.33","9.33","4.66","9.33","13.99","186.53"
"99","Kyle Clifford","TOR","L","2","15.816666666667","7.9083333333333","0","3.79","0","3.79","3.79","100.00","7.59","0.00","0.97","18.97","11.38","15.17","7.59","0","0","7.59","3.79","3.79","0","0","0","0","0","22.76","15.17","0","0","0","-"
"888","Justin Richards","CBJ","C","2","18.3","9.15","0","3.28","0","3.28","3.28","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","3.28","0","3.28","13.11","6.56","0","16.39","22.95","136.61"
"195","Andy Andreoff","NYI","C","3","20.433333333333","6.8111111111111","0","2.94","0","2.94","2.94","100.00","2.94","0.00","0.22","2.94","2.94","2.94","0","0","2.94","0","0","0","0","0","0","2.94","2.94","20.55","2.94","2.94","8.81","11.75","125.84"
"648","Joel Teasdale","MTL","L","2","20.5","10.25","0","2.93","0","2.93","2.93","100.00","2.93","0.00","0.51","5.85","5.85","2.93","2.93","0","2.93","0","0","0","0","0","0","5.85","2.93","5.85","2.93","2.93","0","2.93","0.00"
"700","Kristian Reichel","WPG","C","2","21.116666666667","10.558333333333","0","2.84","0","2.84","2.84","100.00","2.84","0.00","0.26","5.68","5.68","2.84","0","0","0","0","0","0","0","0","2.84","0","2.84","5.68","8.52","0","0","0","-"
"851","Lukas Rousek","BUF","R","2","22.616666666667","11.308333333333","2.65","2.65","0","2.65","5.31","66.67","7.96","33.33","1.07","7.96","7.96","7.96","5.31","0","2.65","0","0","0","0","0","0","0","0","0","5.31","2.65","0","2.65","0.00"
"587","Otto Koivula","NYI","L","8","48.133333333333","6.0166666666667","0","2.49","0","2.49","2.49","100.00","4.99","0.00","0.44","8.73","6.23","6.23","3.74","0","0","2.49","1.25","1.25","0","0","1.25","1.25","2.49","6.23","4.99","4.99","13.71","8.73","76.18"
"918","Luke Hughes","N.J","D","2","32.283333333333","16.141666666667","1.86","1.86","0","1.86","3.72","100.00","3.72","50.00","0.33","7.43","3.72","5.58","1.86","0","3.72","0","0","0","0","0","0","0","1.86","1.86","3.72","0","0","0","-"
"273","Dominic Toninato","WPG","C","5","39.316666666667","7.8633333333333","0","1.53","0","1.53","1.53","50.00","10.68","0.00","0.62","12.21","10.68","9.16","1.53","1.53","0","3.05","1.53","1.53","0","0","1.53","1.53","3.05","9.16","3.05","3.05","13.73","12.21","80.79"
"588","Joona Koppanen","BOS","L","5","45.7","9.14","0","1.31","0","1.31","1.31","100.00","1.31","0.00","0.09","3.94","1.31","3.94","2.63","0","0","5.25","2.63","2.63","0","0","0","3.94","5.25","10.5","3.94","1.31","28.88","19.69","78.06"
"62","Jakub Voracek","CBJ","R","11","140.63333333333","12.784848484848","0","2.13","0.85","1.28","2.13","71.43","4.27","0.00","0.29","8.11","5.55","4.27","0","0.85","0.43","0","0","0","0","0","0.43","0.43","1.71","0.85","1.28","2.13","0.43","0.85","14.22"
"822","Nicholas Robertson","TOR","L","15","145.11666666667","9.6744444444444","0.83","1.24","0","1.24","2.07","71.43","8.68","9.52","0.85","16.12","12.4","8.68","3.72","1.65","0","0","0","0","0","0","1.24","2.07","2.48","7.03","5.37","2.89","0.83","0.41","27.56"
"568","Jake Bean","CBJ","D","14","199.91666666667","14.279761904762","0.3","1.2","0","1.2","1.5","55.56","4.2","7.14","0.22","8.1","5.1","3","0.6","0.3","0.9","1.8","0.9","0.9","0","0","0","0.9","2.1","3.9","3.3","5.7","0","0","-"
"887","Wyatt Kaiser","CHI","D","9","151.91666666667","16.87962962963","0","1.18","0","1.18","1.18","60.00","4.74","0.00","0.34","9.48","6.71","4.34","1.58","0","1.58","1.58","0.79","0.79","0","0","0.39","4.74","0","1.18","3.95","2.37","0","0","-"
