"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"542","Rem Pitlick","MTL","C","46","18.066666666667","0.39275362318841","0","3.32","0","3.32","3.32","100.00","0","-","0.31","3.32","3.32","3.32","3.32","0","0","0","0","0","0","0","0","3.32","0","0","3.32","3.32","3.32","0","332.10"
"729","Cam York","PHI","D","54","21.483333333333","0.39783950617284","0","2.79","0","2.79","2.79","50.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.59","5.59","0","0","-"
"413","Jack Eichel","VGK","C","67","26.183333333333","0.3907960199005","0","2.29","0","2.29","2.29","100.00","6.87","0.00","0.38","9.17","6.87","4.58","2.29","0","0","0","0","0","0","0","2.29","0","2.29","0","0","9.17","11.46","27.5","67.40"
"489","Matthew Tkachuk","FLA","L","79","31.083333333333","0.39345991561181","0","1.93","0","1.93","1.93","100.00","7.72","0.00","1.1","11.58","9.65","9.65","7.72","3.86","0","3.86","1.93","1.93","0","0","0","0","5.79","3.86","0","1.93","0","0","-"
"100","Evander Kane","EDM","L","41","33.95","0.8280487804878","1.77","1.77","0","1.77","3.53","100.00","8.84","20.00","0.87","10.6","10.6","5.3","3.53","1.77","0","3.53","1.77","1.77","0","0","0","0","5.3","0","1.77","1.77","0","0","-"
"514","Trent Frederic","BOS","C","79","35.9","0.45443037974684","0","1.67","0","1.67","1.67","100.00","5.01","0.00","1.17","8.36","6.69","6.69","1.67","0","1.67","3.34","1.67","1.67","0","0","1.67","0","1.67","0","0","1.67","3.34","1.67","111.42"
"305","Michael McCarron","NSH","R","32","42.066666666667","1.3145833333333","0","1.43","0","1.43","1.43","50.00","1.43","0.00","0.2","4.28","2.85","2.85","2.85","0","0","0","0","0","0","0","0","0","1.43","0","1.43","4.28","11.41","14.26","63.39"
"652","Evan Bouchard","EDM","D","82","44.933333333333","0.5479674796748","0","1.34","0","1.34","1.34","100.00","1.34","0.00","0.05","5.34","2.67","0","0","0","0","0","0","0","0","0","0","1.34","1.34","4.01","0","1.34","0","0","-"
"175","Lukas Sedlak","COL, PHI","C","30","48.55","1.6183333333333","0","1.24","0","1.24","1.24","100.00","4.94","0.00","0.69","6.18","6.18","4.94","3.71","0","1.24","0","0","0","0","0","2.47","1.24","1.24","2.47","1.24","8.65","6.18","18.54","30.90"
"624","Jacob Bryson","BUF","D","59","53.4","0.90508474576271","0","1.12","0","1.12","1.12","inf","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.12","0","2.25","11.24","0","0","-"
"102","Oliver Ekman-Larsson","VAN","D","54","55.783333333333","1.033024691358","0","1.08","0","1.08","1.08","50.00","1.08","0.00","0.06","1.08","1.08","1.08","0","0","0","0","0","0","0","0","0","1.08","2.15","2.15","0","7.53","0","0","-"
"168","Jesper Fast","CAR","R","80","115.31666666667","1.4414583333333","0","1.56","0.52","1.04","1.56","75.00","2.08","0.00","0.13","3.12","2.6","0.52","0","0","0","1.04","0.52","0.52","0","0","1.56","1.04","2.08","2.6","1.56","3.12","0.52","1.04","17.34"
"525","Boris Katchouk","CHI","L","58","59.133333333333","1.0195402298851","0","1.01","0","1.01","1.01","100.00","1.01","0.00","0","1.01","1.01","0","0","1.01","0","2.03","1.01","1.01","0","0","1.01","3.04","4.06","5.07","0","4.06","0","1.01","0.00"
"98","Victor Hedman","T.B","D","76","138.73333333333","1.8254385964912","0.43","0.86","0","0.86","1.3","75.00","3.46","12.50","0.27","5.62","5.62","2.59","0.43","0.43","0","0","0","0","0","0","0.43","2.16","2.16","2.16","0.86","1.3","0","0","-"
"328","Rasmus Ristolainen","PHI","D","74","159.2","2.1513513513514","0.38","0.75","0","0.75","1.13","60.00","1.88","20.00","0.07","2.64","1.88","0.75","0.75","0","0","0.75","0.38","0.38","0","0","0","1.51","1.13","6.78","1.51","11.68","0","0","-"
"551","Vincent Desharnais","EDM","D","36","80.15","2.2263888888889","0","0.75","0","0.75","0.75","20.00","0","-","0","0","0","0","0","0","0","1.5","0.75","0.75","0","0","0","1.5","0.75","2.99","2.25","13.47","0","0","-"
"109","Brayden McNabb","VGK","D","82","165.61666666667","2.0197154471545","0","0.72","0","0.72","0.72","40.00","0.36","0.00","0","0.72","0.36","0.36","0","0","0","1.45","0.72","0.72","0","0","0.36","1.09","1.09","7.25","0","13.77","0","0","-"
"18","Jack Johnson","CHI, COL","D","83","171.66666666667","2.0682730923695","0","0.7","0","0.7","0.7","66.67","1.75","0.00","0.11","2.1","2.1","0.7","0.35","0.7","0","0","0","0","0","0","0","1.4","0.7","3.84","1.05","3.84","0","0.35","0.00"
"454","Jake DeBrusk","BOS","L","64","87.15","1.36171875","0","0.69","0","0.69","0.69","50.00","6.88","0.00","0.88","8.26","7.57","6.88","6.2","0.69","1.38","0","0","0","0","0","0","0.69","4.13","3.44","2.75","2.07","0","0.69","0.00"
"811","Owen Power","BUF","D","79","86.566666666667","1.0957805907173","0","0.69","0","0.69","0.69","50.00","1.39","0.00","0.1","2.77","2.08","0.69","0","0","0.69","1.39","0.69","0.69","0","0","0","1.39","0.69","0","0.69","2.08","0","0","-"
"54","Brendan Smith","N.J","D","60","95.616666666667","1.5936111111111","0","0.63","0","0.63","0.63","25.00","1.26","0.00","0","1.26","1.26","0","0","0.63","0","0","0","0","0","0","2.51","0.63","5.65","2.51","0","0","0","0","-"
"602","Timothy Liljegren","TOR","D","67","96.083333333333","1.43407960199","0.62","0.62","0","0.62","1.25","100.00","1.87","33.33","0.09","1.87","1.87","0.62","0","0","0","0","0","0","0","0","0","1.25","1.25","8.12","1.25","6.24","0","0","-"
"530","Samuel Girard","COL","D","76","99.183333333333","1.3050438596491","0","0.6","0","0.6","0.6","100.00","1.81","0.00","0.01","3.02","1.81","0.6","0","1.21","0","1.21","0.6","0.6","0","0","0","0.6","0.6","1.81","1.21","4.84","0","0","-"
"649","Quinn Hughes","VAN","D","78","103.28333333333","1.3241452991453","0","0.58","0","0.58","0.58","20.00","1.74","0.00","0.01","1.74","1.74","0","0","0","0","0","0","0","0","0","0","0.58","1.74","1.16","0.58","1.74","0","0","-"
"436","Ethan Bear","VAN","D","61","108.81666666667","1.7838797814208","0","0.55","0","0.55","0.55","16.67","1.65","0.00","0","2.21","1.65","0","0","1.65","0","2.21","1.1","1.1","0","0","0.55","1.1","0","0.55","1.65","6.62","0","0","-"
"69","Luke Schenn","TOR, VAN","D","70","112.11666666667","1.6016666666667","0","1.07","0.54","0.54","1.07","40.00","0.54","0.00","0","0.54","0.54","0","0","0","0","1.07","0.54","0.54","0","0","0","1.07","1.07","13.38","0","8.03","0","0","-"
"235","Mike Matheson","MTL","D","48","111.75","2.328125","0","1.07","0.54","0.54","1.07","50.00","2.15","0.00","0.29","3.76","3.22","1.07","0","1.07","0","1.07","0.54","0.54","0","0","0","3.22","3.76","0","0.54","6.44","0","0","-"
"428","Travis Konecny","PHI","R","60","110.85","1.8475","1.62","1.62","1.08","0.54","3.25","85.71","7.04","23.08","0.73","10.28","9.74","7.58","4.33","1.08","0","3.25","1.62","1.62","0","0","0.54","0.54","2.17","4.87","1.08","3.25","3.25","1.08","40.60"
