"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"843","Stanislav Svozil","CBJ","D","2","3.3666666666667","1.6833333333333","0","17.82","0","17.82","17.82","100.00","17.82","0.00","0.72","17.82","17.82","0","0","0","0","0","0","0","0","0","0","0","0","0","17.82","0","0","0","-"
"759","Sam Poulin","PIT","R","3","3.55","1.1833333333333","0","16.9","0","16.9","16.9","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"692","Jordan Harris","MTL","D","65","4.1","0.063076923076923","0","14.63","0","14.63","14.63","100.00","0","-","0","14.63","0","14.63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"47","Pat Maroon","T.B","L","80","7.6","0.095","0","7.89","0","7.89","7.89","100.00","0","-","0.63","7.89","7.89","7.89","0","0","0","0","0","0","0","0","0","7.89","0","0","7.89","0","0","0","-"
"224","Phillip Di Giuseppe","VAN","L","30","9.3833333333333","0.31277777777778","0","6.39","0","6.39","6.39","50.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.39","6.39","0","0","0","0","-"
"866","Akito Hirose","VAN","D","7","11.05","1.5785714285714","0","10.86","5.43","5.43","10.86","100.00","10.86","0.00","0.52","16.29","16.29","0","0","0","0","0","0","0","0","0","0","0","0","0","5.43","0","0","0","-"
"196","Ryan Nugent-Hopkins","EDM","C","82","316.83333333333","3.8638211382114","2.84","7.2","2.46","4.73","10.04","60.92","11.36","25.00","1.63","17.8","13.82","13.26","4.73","0","0.95","0.38","0.19","0.19","0","0","0.19","1.33","0.19","0.76","1.33","0.38","1.33","1.89","7.80"
"732","Bowen Byram","COL","D","42","54.966666666667","1.3087301587302","2.18","4.37","0","4.37","6.55","75.00","9.82","22.22","1.12","17.47","12.01","9.82","1.09","0","0","4.37","2.18","2.18","0","0","1.09","0","0","0","4.37","1.09","0","0","-"
"497","Charlie McAvoy","BOS","D","67","180.86666666667","2.6995024875622","0.66","5.64","1.33","4.31","6.3","82.61","4.31","15.38","0.56","12.94","7.3","5.31","1","0","1","1.99","1","1","0","0","0.66","1.99","0.33","1","2.65","0.66","0","0","-"
"535","Mikhail Sergachev","T.B","D","79","202.2","2.5594936708861","0.89","7.12","2.97","4.15","8.01","77.14","7.12","12.50","0.43","14.84","8.9","3.86","0.3","0","1.78","0.59","0.3","0.3","0","0","0","1.19","1.48","0.89","0.89","0.3","0","0","-"
"763","Victor Soderstrom","ARI","D","30","29.3","0.97666666666667","0","6.14","2.05","4.1","6.14","60.00","6.14","0.00","0.56","12.29","10.24","0","0","0","0","4.1","2.05","2.05","0","0","0","2.05","0","0","0","0","0","0","-"
"452","Mitchell Marner","TOR","R","80","285.98333333333","3.5747916666667","1.89","5.66","1.68","3.99","7.55","66.67","9.86","19.15","1","21.19","12.38","9.65","1.47","0","2.1","0.42","0.21","0.21","0","0","0.21","4.41","0.84","0.63","2.31","0","0","0","-"
"646","Sean Durzi","L.A","D","72","151.65","2.10625","0.4","5.93","1.98","3.96","6.33","61.54","7.12","5.56","0.63","21.76","12.27","9.5","0.4","0","0.79","2.37","1.19","1.19","0","0","0","1.58","0","0.79","0","0.4","0","0","-"
"644","Sean Walker","L.A","D","70","15.233333333333","0.21761904761905","0","3.94","0","3.94","3.94","50.00","7.88","0.00","0.5","19.69","7.88","7.88","0","0","0","0","0","0","0","0","0","0","0","0","3.94","0","0","0","-"
"858","Nick Blankenburg","CBJ","D","36","45.866666666667","1.2740740740741","0","5.23","1.31","3.92","5.23","44.44","6.54","0.00","0.76","17.01","13.08","2.62","0","0","0","2.62","1.31","1.31","0","0","1.31","1.31","1.31","5.23","1.31","0","0","0","-"
"666","Joe Veleno","DET","C","81","31.2","0.38518518518519","1.92","5.77","1.92","3.85","7.69","100.00","9.62","20.00","1.15","11.54","9.62","7.69","5.77","0","0","0","0","0","0","0","0","0","1.92","5.77","3.85","0","11.54","19.23","72.12"
