"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"438","Connor McDavid","EDM","C","82","1835.6166666667","64","89","60","29","153","80.53","352","18.18","43.97","529","441","379","164","18","36","36","18","18","0","0","45","77","82","89","108","37","525","486","51.93"
"367","Leon Draisaitl","EDM","C","80","1738.7166666667","52","76","60","16","128","70.72","247","21.05","31.95","423","349","264","100","7","36","24","12","12","0","0","22","102","77","66","134","36","807","663","54.90"
"207","Nikita Kucherov","T.B","R","82","1650.85","30","83","48","35","113","76.87","271","11.07","27.78","545","396","295","89","14","54","36","18","18","0","0","38","98","57","61","107","6","2","0","100.00"
"384","David Pastrnak","BOS","R","82","1604.2833333333","61","52","31","21","113","78.47","407","14.99","40.17","727","541","374","120","19","51","38","18","18","0","0","29","109","52","91","130","31","8","11","42.11"
"334","Nathan MacKinnon","COL","C","71","1584.5333333333","42","69","42","27","111","76.03","366","11.48","32.26","629","480","329","99","16","36","30","15","15","0","0","33","47","43","53","73","33","519","649","44.43"
"519","Matthew Tkachuk","FLA","L","79","1614.4333333333","40","69","39","30","109","69.43","323","12.38","45.51","537","424","358","201","15","67","123","37","29","3","5","39","62","38","68","63","24","13","16","44.83"
"644","Jason Robertson","DAL","L","82","1544.7833333333","46","63","39","24","109","76.22","313","14.70","32.91","565","412","307","106","6","54","20","10","10","0","0","11","66","62","57","82","18","0","1","0.00"
"447","Mikko Rantanen","COL","R","82","1822.3833333333","55","50","37","13","105","69.08","307","17.92","36.02","559","428","310","115","14","36","82","33","31","0","2","30","45","61","77","130","34","222","231","49.01"
"208","Ryan Nugent-Hopkins","EDM","C","82","1623.7","37","67","28","39","104","62.65","201","18.41","28.46","328","266","237","102","9","22","35","15","14","1","0","11","31","56","48","65","23","308","374","45.16"
"637","Elias Pettersson","VAN","C","80","1644.3833333333","39","63","37","26","102","75.00","257","15.18","29.84","489","373","275","101","8","35","14","7","7","0","0","39","47","56","74","91","84","442","555","44.33"
"76","Erik Karlsson","S.J","D","82","2100.4333333333","25","76","42","34","101","67.33","209","11.96","12.46","505","287","166","28","15","44","36","14","13","0","1","14","101","81","33","98","19","0","1","0.00"
"478","Mitchell Marner","TOR","R","80","1702.1","30","69","40","29","99","74.44","196","15.31","19.83","402","262","200","62","12","33","28","14","14","0","0","21","94","104","53","117","41","0","4","0.00"
"812","Jack Hughes","N.J","C","78","1557.35","43","56","35","21","99","79.84","336","12.80","36.95","554","422","326","109","16","41","6","3","3","0","0","22","85","60","12","106","0","164","300","35.34"
"397","Brayden Point","T.B","C","82","1612.9166666667","51","44","23","21","95","64.63","235","21.70","35.72","393","320","340","183","14","35","7","2","1","1","0","17","45","51","37","99","4","417","405","50.73"
"574","Tage Thompson","BUF","C, R","78","1450.0333333333","47","47","27","20","94","74.02","295","15.93","30.35","542","410","299","119","15","43","39","18","17","1","0","24","40","43","55","84","24","350","463","43.05"
"17","Sidney Crosby","PIT","C","82","1651.7666666667","33","60","36","24","93","70.99","255","12.94","32.9","443","348","269","144","24","48","52","18","16","0","2","23","67","59","71","88","41","978","868","52.98"
"491","Artemi Panarin","NYR","L","82","1607.8333333333","29","63","34","29","92","74.80","204","14.22","21.02","430","306","220","48","9","33","36","18","18","0","0","16","102","36","26","44","9","6","13","31.58"
"212","Mika Zibanejad","NYR","C","82","1636.9","39","52","32","20","91","77.78","251","15.54","30.24","440","368","229","94","14","27","20","10","10","0","0","24","67","57","71","71","39","692","706","49.50"
"874","Tim Stützle","OTT","L","78","1658.6666666667","39","51","30","21","90","73.17","228","17.11","29.56","442","322","276","111","14","31","54","27","27","0","0","35","62","61","114","147","45","202","284","41.56"
"370","William Nylander","TOR","R","82","1520.45","40","47","27","20","87","67.44","293","13.65","34.52","516","404","325","140","21","35","28","14","14","0","0","17","37","70","18","98","25","25","34","42.37"
"537","Clayton Keller","ARI","R","82","1701.5166666667","37","49","38","11","86","78.18","224","16.52","22.54","383","302","216","69","8","28","49","19","17","1","1","24","63","58","18","67","29","22","41","34.92"
"522","Auston Matthews","TOR","C","74","1500.6","40","45","29","16","85","62.04","327","12.23","39.04","568","453","393","167","9","50","20","10","10","0","0","28","55","68","78","99","85","550","499","52.43"
