"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"334","Nathan MacKinnon","COL","C","71","1286.4","30","47","34","13","77","81.05","261","11.49","20.56","447","336","239","81","15","26","26","13","13","0","0","31","38","41","50","62","33","483","589","45.06"
"384","David Pastrnak","BOS","R","82","1286.3666666667","43","33","18","15","76","82.61","285","15.09","26.92","492","373","272","94","19","35","30","14","14","0","0","26","86","48","88","110","27","6","11","35.29"
"76","Erik Karlsson","S.J","D","82","1792.0333333333","20","54","34","20","74","67.27","165","12.12","8.93","391","225","134","25","13","34","36","14","13","0","1","14","91","76","30","92","19","0","1","0.00"
"438","Connor McDavid","EDM","C","82","1408.9","38","36","27","9","74","78.72","232","16.38","25.93","340","289","246","117","12","24","32","16","16","0","0","38","53","65","82","88","35","462","434","51.56"
"519","Matthew Tkachuk","FLA","L","79","1233.1","26","46","30","16","72","69.23","219","11.87","25.07","380","284","242","115","10","39","121","36","28","3","5","39","46","33","65","51","23","11","9","55.00"
"447","Mikko Rantanen","COL","R","82","1476.3833333333","42","26","18","8","68","70.83","231","18.18","25.6","417","317","230","94","11","28","80","32","30","0","2","28","36","58","74","114","34","172","166","50.89"
"637","Elias Pettersson","VAN","C","80","1193.3833333333","28","40","23","17","68","85.00","172","16.28","18.87","303","240","180","75","4","24","10","5","5","0","0","35","36","45","59","78","73","405","515","44.02"
"644","Jason Robertson","DAL","L","82","1270.1333333333","33","35","23","12","68","75.56","214","15.42","21.19","396","286","218","83","5","35","12","6","6","0","0","10","60","59","56","76","17","0","1","0.00"
"812","Jack Hughes","N.J","C","78","1307.2166666667","34","34","23","11","68","79.07","260","13.08","27.83","425","327","251","96","16","36","6","3","3","0","0","18","64","60","11","91","0","155","291","34.75"
"17","Sidney Crosby","PIT","C","82","1327.1666666667","24","42","26","16","66","79.52","187","12.83","21.24","328","260","187","101","23","35","50","17","15","0","2","19","59","54","70","79","40","778","708","52.36"
"397","Brayden Point","T.B","C","82","1296.5333333333","31","34","19","15","65","71.43","168","18.45","22.58","283","225","234","124","13","27","7","2","1","1","0","15","38","45","34","89","4","362","359","50.21"
"537","Clayton Keller","ARI","R","82","1389.9333333333","30","35","27","8","65","82.28","175","17.14","17.32","301","235","175","62","8","24","43","16","14","1","1","24","52","53","17","57","27","18","31","36.73"
"367","Leon Draisaitl","EDM","C","80","1368.5","19","45","39","6","64","69.57","132","14.39","14.01","245","196","155","57","6","20","18","9","9","0","0","21","86","67","62","118","32","548","489","52.84"
"207","Nikita Kucherov","T.B","R","82","1319.75","22","41","23","18","63","70.79","189","11.64","19.26","386","281","215","74","12","46","24","12","12","0","0","35","71","52","53","91","5","1","0","100.00"
"159","Jeff Skinner","BUF","L","79","1115.2","27","34","21","13","61","69.32","183","14.75","22.21","333","250","224","109","12","36","21","9","8","1","0","29","39","40","21","52","12","109","121","47.39"
