"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"588","Elias Pettersson","VAN","C","80","144","5","4","4","0","9","90.00","19","26.32","2.62","23","23","16","13","4","1","2","1","1","0","0","3","2","7","12","4","10","15","25","37.50"
"209","J.T. Miller","VAN","C","81","140.01666666667","4","4","4","0","8","88.89","7","57.14","0.98","9","8","6","5","2","0","4","2","2","0","0","2","1","8","6","2","11","69","79","46.62"
"232","Scott Laughton","PHI","C","78","170.01666666667","3","4","4","0","7","100.00","15","20.00","2.08","19","17","11","5","4","1","2","1","1","0","0","0","6","11","2","3","12","96","112","46.15"
"412","Connor McDavid","EDM","C","82","104.73333333333","4","3","3","0","7","87.50","11","36.36","2.51","18","15","12","6","5","1","0","0","0","0","0","3","1","11","2","0","1","42","40","51.22"
"428","Travis Konecny","PHI","R","60","110.85","3","3","2","1","6","85.71","13","23.08","1.35","19","18","14","8","2","0","6","3","3","0","0","1","1","4","9","2","6","6","2","75.00"
"139","Charlie Coyle","BOS","C","82","210.41666666667","1","4","3","1","5","100.00","12","8.33","0.88","15","14","8","3","2","1","2","1","1","0","0","3","5","16","4","3","12","61","64","48.80"
"185","Adam Lowry","WPG","C","82","188.68333333333","3","2","2","0","5","100.00","14","21.43","1.74","18","16","11","6","3","1","5","1","0","1","0","2","4","3","4","3","9","81","121","40.10"
"197","William Karlsson","VGK","C","82","127.58333333333","2","3","3","0","5","100.00","7","28.57","0.78","10","8","6","5","0","1","0","0","0","0","0","3","3","5","2","3","9","59","59","50.00"
"329","Bo Horvat","NYI, VAN","C","79","116.03333333333","4","1","1","0","5","100.00","10","40.00","1.31","12","11","6","2","1","1","0","0","0","0","0","3","2","5","0","0","4","101","100","50.25"
"348","Frederick Gaudreau","MIN","C","82","172.23333333333","4","1","1","0","5","83.33","9","44.44","2.01","13","12","7","3","6","1","0","0","0","0","0","0","2","5","0","2","10","95","96","49.74"
"386","Sam Lafferty","CHI, TOR","C","70","118.08333333333","4","1","1","0","5","100.00","14","28.57","1.23","17","15","10","4","2","0","0","0","0","0","0","0","3","8","4","1","10","47","54","46.53"
"450","Mitchell Marner","TOR","R","80","182.9","4","1","1","0","5","100.00","24","16.67","3.55","32","27","18","13","5","1","0","0","0","0","0","2","3","19","1","3","8","0","1","0.00"
"59","Mikael Backlund","CGY","C","82","175.26666666667","1","3","3","0","4","100.00","36","2.78","2.78","47","42","23","6","5","2","2","1","1","0","0","3","5","7","7","2","6","78","96","44.83"
"108","Chris Kreider","NYR","L","79","130.31666666667","4","0","0","0","4","100.00","19","21.05","2.62","30","28","23","15","5","1","6","3","3","0","0","2","3","6","2","1","4","2","3","40.00"
"110","Reilly Smith","VGK","R","78","102.95","4","0","0","0","4","80.00","10","40.00","0.91","10","10","8","2","0","0","0","0","0","0","0","1","2","2","2","3","2","2","1","66.67"
"189","Jean-Gabriel Pageau","NYI","C","70","136.55","3","1","1","0","4","80.00","9","33.33","0.88","10","10","6","3","0","0","0","0","0","0","0","1","0","5","3","4","11","83","89","48.26"
"200","Ryan Nugent-Hopkins","EDM","C","82","153.4","1","3","3","0","4","100.00","7","14.29","1.03","12","8","8","6","3","0","0","0","0","0","0","2","2","6","2","1","4","61","75","44.85"
"295","Mattias Janmark","EDM","C","66","128.18333333333","3","1","1","0","4","57.14","7","42.86","1.05","11","11","7","6","1","1","2","1","1","0","0","0","3","7","2","6","12","1","6","14.29"
"307","Jason Dickinson","CHI","C","78","150.65","0","4","4","0","4","66.67","7","0.00","0.63","8","7","5","2","1","0","2","1","1","0","0","0","5","11","5","2","16","51","65","43.97"
"308","Ryan Hartman","MIN","R","59","45.916666666667","2","2","2","0","4","80.00","8","25.00","0.5","8","8","3","2","1","0","2","1","1","0","0","0","1","7","2","0","1","19","19","50.00"
"423","Sebastian Aho","CAR","C","75","134.18333333333","3","1","1","0","4","100.00","12","25.00","2.07","19","16","16","13","5","2","0","0","0","0","0","1","5","12","5","8","4","30","28","51.72"
"582","Nico Hischier","N.J","C","81","169.93333333333","3","1","1","0","4","80.00","9","33.33","1.46","14","11","9","5","4","1","0","0","0","0","0","2","4","14","0","1","1","81","58","58.27"
"692","Connor Dewar","MIN","C","81","131.95","3","1","0","1","4","100.00","15","20.00","2.2","23","20","18","11","7","1","2","1","1","0","0","5","1","7","8","3","5","14","37","27.45"
"703","Yegor Sharangovich","N.J","C","75","149.43333333333","2","2","2","0","4","80.00","14","14.29","1.34","19","17","15","6","6","1","0","0","0","0","0","4","2","12","1","3","0","1","2","33.33"
"4","Zach Parise","NYI","L","82","146.93333333333","2","1","1","0","3","75.00","11","18.18","2.06","16","13","8","3","1","0","2","1","1","0","0","1","1","3","2","1","15","0","0","-"
"44","Jamie Benn","DAL","L","82","76.85","2","1","1","0","3","100.00","2","100.00","0.23","3","2","2","2","0","0","0","0","0","0","0","1","1","6","1","2","5","31","20","60.78"
"78","Travis Hamonic","OTT","D","75","244.96666666667","0","3","2","1","3","75.00","5","0.00","0.11","10","8","1","0","1","2","6","3","3","0","0","1","10","6","10","3","33","0","0","-"
"98","Victor Hedman","T.B","D","76","138.73333333333","1","2","0","2","3","75.00","8","12.50","0.63","13","13","6","1","1","0","0","0","0","0","0","1","5","5","5","2","3","0","0","-"
"124","Erik Haula","N.J","L","80","155.2","2","1","1","0","3","100.00","7","28.57","1.16","12","11","10","6","2","0","4","2","2","0","0","1","2","11","3","1","1","53","59","47.32"
"134","Calle Jarnkrok","TOR","C","73","117.05","1","2","2","0","3","100.00","5","20.00","0.64","9","6","6","3","2","0","0","0","0","0","0","2","1","5","5","4","3","13","13","50.00"
"150","Austin Watson","OTT","L","75","159.75","3","0","0","0","3","100.00","14","21.43","1.31","16","16","8","4","5","1","0","0","0","0","0","0","1","3","6","3","24","3","2","60.00"
"168","Jesper Fast","CAR","R","80","115.31666666667","0","3","1","2","3","75.00","4","0.00","0.24","6","5","1","0","0","0","2","1","1","0","0","3","2","4","5","3","6","1","2","33.33"
"179","Dylan DeMelo","WPG","D","75","199.2","1","2","1","1","3","50.00","4","25.00","0.12","6","6","1","0","1","0","0","0","0","0","0","1","4","5","7","3","24","0","0","-"
"193","Brandon Saad","STL","L","71","81.533333333333","2","1","1","0","3","100.00","5","40.00","0.54","5","5","4","3","1","0","0","0","0","0","0","0","1","3","0","0","0","0","0","-"
"233","Mark Jankowski","NSH","C","50","92.233333333333","3","0","0","0","3","100.00","5","60.00","0.85","8","7","6","3","1","0","0","0","0","0","0","1","0","3","2","0","5","27","37","42.19"
"240","Teuvo Teravainen","CAR","L","68","121.13333333333","2","1","1","0","3","75.00","13","15.38","1.55","22","18","14","5","0","1","2","1","1","0","0","0","2","3","1","1","1","3","1","75.00"
"249","Chandler Stephenson","VGK","C","81","114.05","1","2","2","0","3","60.00","5","20.00","1.01","8","8","6","6","1","1","0","0","0","0","0","0","2","11","6","1","4","40","46","46.51"
"265","Brett Kulak","EDM","D","82","142.61666666667","0","3","3","0","3","37.50","3","0.00","0.05","3","3","1","0","1","0","0","0","0","0","0","0","3","1","8","3","18","0","0","-"
"325","Elias Lindholm","CGY","C","80","184.2","1","2","1","1","3","75.00","12","8.33","2.38","24","23","18","7","2","1","0","0","0","0","0","2","2","6","12","2","3","121","117","50.84"
