"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"414","Connor McDavid","EDM","C","82","321.88333333333","21","50","30","20","71","81.61","108","19.44","15.53","170","136","120","40","1","11","4","2","2","0","0","4","23","6","5","20","1","21","12","63.64"
"350","Leon Draisaitl","EDM","C","80","316.86666666667","32","30","20","10","62","71.26","105","30.48","17.12","168","143","100","39","0","15","6","3","3","0","0","1","14","5","2","14","1","202","139","59.24"
"196","Ryan Nugent-Hopkins","EDM","C","82","316.83333333333","15","38","13","25","53","60.92","60","25.00","8.58","94","73","70","25","0","5","2","1","1","0","0","1","7","1","4","7","2","7","10","41.18"
"195","Nikita Kucherov","T.B","R","82","328.3","8","42","25","17","50","86.21","82","9.76","8.52","159","115","80","15","2","8","10","5","5","0","0","3","27","5","8","16","1","0","0","-"
"599","Jason Robertson","DAL","L","82","273.16666666667","13","28","16","12","41","77.36","99","13.13","11.73","169","126","89","23","1","19","8","4","4","0","0","1","6","3","1","6","1","0","0","-"
"97","John Tavares","TOR","C","80","276.2","18","21","15","6","39","72.22","103","17.48","21.38","152","139","137","104","1","26","4","2","2","0","0","0","10","0","4","14","0","175","113","60.76"
"200","Mika Zibanejad","NYR","C","82","287.71666666667","20","19","10","9","39","82.98","98","20.41","13.42","175","144","76","25","0","11","2","1","1","0","0","1","11","1","3","3","0","66","48","57.89"
"367","David Pastrnak","BOS","R","82","313.05","18","19","13","6","37","71.15","122","14.75","13.24","235","168","102","26","0","16","8","4","4","0","0","3","23","4","2","20","4","1","0","100.00"
"423","Mikko Rantanen","COL","R","82","341.2","13","24","19","5","37","66.07","76","17.11","10.42","142","111","80","21","3","8","2","1","1","0","0","2","9","3","3","16","0","50","65","43.48"
"11","Evgeni Malkin","PIT","C","82","334.26666666667","11","25","15","10","36","72.00","71","15.49","9.47","145","100","85","23","1","11","6","3","3","0","0","3","28","4","3","9","3","24","19","55.81"
"452","Mitchell Marner","TOR","R","80","285.98333333333","9","27","8","19","36","66.67","47","19.15","4.77","101","59","46","7","0","10","2","1","1","0","0","1","21","4","3","11","0","0","0","-"
"463","Artemi Panarin","NYR","L","82","294.03333333333","9","27","12","15","36","70.59","68","13.24","8.84","148","105","78","12","0","14","6","3","3","0","0","1","12","1","2","3","1","0","0","-"
"489","Matthew Tkachuk","FLA","L","79","350.13333333333","14","22","9","13","36","69.23","100","14.00","19.87","151","135","111","82","3","28","0","0","0","0","0","0","16","2","1","12","0","2","7","22.22"
"67","Steven Stamkos","T.B","C","81","321.95","14","21","13","8","35","58.33","91","15.38","10.99","178","134","97","9","0","13","8","4","4","0","0","0","15","1","4","13","0","108","90","54.55"
"319","Nathan MacKinnon","COL","C","71","290.48333333333","12","22","8","14","34","66.67","105","11.43","11.65","180","143","89","18","1","10","4","2","2","0","0","2","9","2","3","11","0","32","56","36.36"
"538","Tage Thompson","BUF","C, R","78","264.33333333333","20","14","6","8","34","70.83","82","24.39","7.52","135","103","60","13","2","6","0","0","0","0","0","1","9","2","2","10","0","13","13","50.00"
"604","Miro Heiskanen","DAL","D","79","258.16666666667","2","32","19","13","34","66.67","44","4.55","3.3","107","57","38","4","1","17","2","1","1","0","0","0","7","9","0","3","6","0","0","-"
"660","Quinn Hughes","VAN","D","78","320.78333333333","2","32","17","15","34","79.07","48","4.17","3.42","108","64","28","3","1","8","4","2","2","0","0","0","9","4","0","8","2","0","0","-"
"374","Brandon Montour","FLA","D","80","339.51666666667","3","30","14","16","33","60.00","61","4.92","5.64","115","85","36","8","0","9","12","6","6","0","0","2","5","3","1","3","6","0","0","-"
"474","Kirill Kaprizov","MIN","L","67","261.55","17","15","13","2","32","74.42","89","19.10","14.27","149","118","104","45","1","15","0","0","0","0","0","5","10","1","3","7","1","0","0","-"
"676","Rasmus Dahlin","BUF","D","78","282.16666666667","6","26","17","9","32","65.31","46","13.04","3.67","85","58","26","3","2","3","8","4","4","0","0","2","8","1","6","7","2","0","0","-"
"112","Tyson Barrie","EDM, NSH","D","85","262.26666666667","4","27","13","14","31","55.36","37","10.81","3.35","91","57","18","2","1","8","8","4","4","0","0","1","4","6","2","2","6","0","0","-"
"358","Dylan Larkin","DET","C","80","277.31666666667","16","15","5","10","31","68.89","71","22.54","11.32","127","97","102","43","2","12","2","1","1","0","0","3","10","4","0","6","1","172","117","59.52"
"747","Jack Hughes","N.J","C","78","245.08333333333","9","22","12","10","31","81.58","74","12.16","8.99","127","93","73","12","0","5","0","0","0","0","0","4","21","0","1","15","0","7","6","53.85"
"42","Jamie Benn","DAL","L","82","240.41666666667","13","17","9","8","30","61.22","57","22.81","10.99","85","74","70","38","0","5","4","2","2","0","0","0","11","5","7","8","0","117","92","55.98"
"205","J.T. Miller","VAN","C","81","322.96666666667","11","19","14","5","30","61.22","84","13.10","9.06","155","121","85","25","1","13","6","3","3","0","0","1","14","3","4","11","0","76","49","60.80"
"320","Aleksander Barkov","FLA","C","68","278.91666666667","8","22","12","10","30","63.83","57","14.04","6.65","101","80","56","16","1","9","2","1","1","0","0","1","8","4","2","14","1","149","90","62.34"
"379","Brayden Point","T.B","C","82","311.86666666667","20","10","4","6","30","53.57","67","29.85","13.14","110","95","106","59","1","8","0","0","0","0","0","2","6","6","2","10","0","54","46","54.00"
"502","Alex DeBrincat","OTT","R","82","334.9","11","19","13","6","30","58.82","80","13.75","10.77","149","103","95","15","1","16","4","2","2","0","0","2","10","6","4","11","1","1","0","100.00"
"613","Cale Makar","COL","D","60","241.18333333333","5","25","18","7","30","75.00","40","12.50","3.84","93","63","32","2","0","8","4","2","2","0","0","0","7","3","4","5","3","0","0","-"
"132","Mats Zuccarello","MIN","R","78","296.05","9","20","9","11","29","61.70","56","16.07","5.48","111","80","47","12","0","12","4","2","2","0","0","3","8","2","3","7","1","0","0","-"
"410","Kyle Connor","WPG","L","82","301.83333333333","8","21","13","8","29","63.04","86","9.30","9.32","164","120","81","16","3","16","2","1","1","0","0","1","10","2","0","8","0","0","0","-"
"495","Adam Fox","NYR","D","82","293.68333333333","1","28","14","14","29","58.00","41","2.44","3.73","95","62","40","5","1","7","6","3","3","0","0","1","8","10","0","6","6","0","0","-"
"631","Drake Batherson","OTT","R","82","317.46666666667","14","15","8","7","29","59.18","68","20.59","15.5","120","100","105","57","1","17","4","2","2","0","0","0","10","3","5","13","2","0","2","0.00"
"661","Brady Tkachuk","OTT","L","82","339.23333333333","11","18","11","7","29","53.70","97","11.34","20.89","149","134","129","98","0","24","20","7","5","2","0","7","11","0","10","9","2","160","157","50.47"
"27","Brad Marchand","BOS","L","73","249.7","8","20","12","8","28","63.64","46","17.39","5.87","86","64","51","9","0","6","8","4","4","0","0","2","24","2","2","12","0","10","6","62.50"
"202","Dougie Hamilton","N.J","D","82","251.95","8","20","10","10","28","70.00","50","16.00","4.36","115","68","45","4","0","10","6","3","3","0","0","0","6","1","1","3","0","0","0","-"
"330","Josh Morrissey","WPG","D","78","289.13333333333","2","26","14","12","28","68.29","27","7.41","3.51","84","51","26","4","1","1","2","1","1","0","0","0","5","4","5","2","6","0","0","-"
"353","William Nylander","TOR","R","82","293.75","9","19","13","6","28","51.85","67","13.43","11","122","99","80","29","1","11","2","1","1","0","0","0","5","0","1","12","2","1","3","25.00"
"492","Auston Matthews","TOR","C","74","268.3","13","15","7","8","28","56.00","77","16.88","11.38","138","109","92","35","0","11","6","3","3","0","0","0","11","5","7","8","1","8","17","32.00"
"804","Tim Stützle","OTT","L","78","313.13333333333","10","18","8","10","28","66.67","64","15.63","8.44","132","95","68","14","0","12","2","1","1","0","0","1","12","2","3","20","1","1","4","20.00"
"8","Joe Pavelski","DAL","C","82","253.01666666667","13","14","2","12","27","54.00","63","20.63","12.21","103","89","88","60","1","15","4","2","2","0","0","2","6","2","2","3","2","58","45","56.31"
"17","Sidney Crosby","PIT","C","82","319.86666666667","9","18","10","8","27","56.25","68","13.24","11.66","115","88","82","43","1","13","2","1","1","0","0","4","8","5","1","9","1","190","154","55.23"
"66","Drew Doughty","L.A","D","81","253.1","4","23","8","15","27","69.23","47","8.51","4.17","85","61","26","2","0","6","8","4","4","0","0","0","3","0","9","4","1","0","0","-"
"73","Erik Karlsson","S.J","D","82","277.41666666667","5","22","8","14","27","69.23","44","11.36","3.47","113","61","32","3","2","10","0","0","0","0","0","0","10","4","2","6","0","0","0","-"
"349","Sam Reinhart","FLA","C","82","328.53333333333","16","11","9","2","27","51.92","73","21.92","16.22","123","108","107","77","1","13","4","2","2","0","0","0","7","0","5","17","2","60","58","50.85"
"535","Mikhail Sergachev","T.B","D","79","202.2","3","24","10","14","27","77.14","24","12.50","1.43","50","30","13","1","0","6","2","1","1","0","0","0","4","5","3","3","1","0","0","-"
"152","Zach Hyman","EDM","L","79","276.06666666667","15","11","6","5","26","36.11","60","25.00","14.09","88","82","87","73","1","13","6","3","3","0","0","2","8","0","2","9","0","0","0","-"
"606","Martin Necas","CAR","C","82","250.33333333333","9","17","11","6","26","72.22","48","18.75","5.21","97","74","40","5","1","7","4","2","2","0","0","4","17","2","1","9","0","27","28","49.09"
"746","Matt Boldy","MIN","L","81","307.46666666667","8","18","10","8","26","53.06","76","10.53","10.48","141","110","80","23","1","13","0","0","0","0","0","1","7","1","1","14","1","18","19","48.65"
"10","Alex Ovechkin","WSH","L","73","343.65","14","11","6","5","25","54.35","96","14.58","9.65","206","138","62","7","0","11","6","3","3","0","0","1","6","7","7","5","0","0","0","-"
"136","Tyler Toffoli","CGY","R","82","237.76666666667","10","15","9","6","25","65.79","56","17.86","7.66","119","79","64","20","1","7","2","1","1","0","0","1","5","3","2","11","1","0","0","-"
"385","Viktor Arvidsson","L.A","L, R","77","173.91666666667","10","15","10","5","25","69.44","44","22.73","6.65","67","56","36","20","0","6","0","0","0","0","0","1","6","0","1","16","0","5","9","35.71"
"592","Elias Pettersson","VAN","C","80","306.93333333333","6","19","10","9","25","54.35","66","9.09","8.35","163","110","79","13","0","10","2","1","1","0","0","1","9","4","3","9","1","22","15","59.46"
"35","Claude Giroux","OTT","R","82","225.28333333333","7","17","9","8","24","72.73","36","19.44","4.28","77","55","32","10","1","9","4","2","2","0","0","1","1","0","4","2","0","109","68","61.58"
"76","Roman Josi","NSH","D","67","226.53333333333","8","16","5","11","24","82.76","74","10.81","5.46","127","89","37","6","0","14","2","1","1","0","0","1","3","1","4","2","5","0","0","-"
"175","Johnny Gaudreau","CBJ","L","80","253.48333333333","3","21","11","10","24","77.42","53","5.66","7.5","96","74","49","16","1","7","8","4","4","0","0","1","14","3","0","1","1","0","0","-"
"356","Kevin Fiala","L.A","L","69","207.28333333333","7","17","13","4","24","82.76","50","14.00","7.59","99","69","67","24","0","6","12","6","6","0","0","1","5","0","3","8","0","0","0","-"
"5","Brent Burns","CAR","D","82","246.6","4","19","10","9","23","74.19","52","7.69","4.36","107","74","28","2","2","3","4","2","2","0","0","0","9","7","0","3","4","0","0","-"
