"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"430","Cole Bardreau","NYI","C","1","6.6166666666667","8","1","88.89","5","0","100.00","4","0","100.00","0","0","-","0.16","0","100.00","4","0","100.00","1","0","100.00","0","0","-","3","0","100.00","0","0","-","4","1","80.00","0","0","-","0.00","-","0.00","0","1","1","8","0.00","0","2","1","0.00"
"917","Matt Coronato","CGY","R","1","14.633333333333","28","9","75.68","18","6","75.00","15","4","78.95","1","0","100.00","0.75","0.57","56.85","12","4","75.00","2","0","100.00","0","0","-","10","4","71.43","0","0","-","12","4","75.00","1","0","100.00","6.67","100.00","1.067","2","3","0","13","100.00","10","5","2","83.33"
"904","Matthew Kessel","STL","D","2","29.1","34","13","72.34","25","11","69.44","22","7","75.86","0","1","0.00","1.41","0.72","66.27","17","9","65.38","3","1","75.00","0","1","0.00","14","8","63.64","0","0","-","14","3","82.35","0","0","-","0.00","85.71","0.857","5","8","2","23","71.43","9","11","5","64.29"
"583","Fredrik Karlstrom","DAL","C","5","47.783333333333","57","25","69.51","41","13","75.93","29","11","72.50","1","0","100.00","2.05","0.59","77.64","23","12","65.71","11","2","84.62","0","0","-","12","10","54.55","0","0","-","30","9","76.92","1","0","100.00","3.45","100.00","1.034","7","10","5","39","58.33","16","15","7","69.57"
"419","Ondrej Kase","CAR","R","1","9.1333333333333","20","9","68.97","17","8","68.00","6","6","50.00","0","0","-","0.92","0.35","72.26","7","4","63.64","4","1","80.00","0","0","-","3","3","50.00","0","0","-","12","2","85.71","0","0","-","0.00","100.00","1.000","8","2","3","3","72.73","9","3","4","69.23"
"585","Lucas Carlsson","FLA","D","2","19.5","26","12","68.42","13","10","56.52","8","7","53.33","0","1","0.00","0.62","0.41","59.84","8","6","57.14","2","3","40.00","0","1","0.00","6","3","66.67","0","0","-","15","5","75.00","0","0","-","0.00","85.71","0.857","3","4","1","20","75.00","5","10","7","41.67"
"647","Shane Bowers","COL","C","1","1.7666666666667","4","2","66.67","4","1","80.00","3","1","75.00","0","0","-","0.26","0.12","68.75","3","1","75.00","2","1","66.67","0","0","-","1","0","100.00","0","0","-","1","1","50.00","0","0","-","0.00","100.00","1.000","1","1","0","1","100.00","2","1","0","100.00"
"602","Dylan Coghlan","CAR","D","17","196.63333333333","240","123","66.12","175","91","65.79","108","69","61.02","8","8","50.00","11.28","7.04","61.57","117","74","61.26","51","35","59.30","6","6","50.00","66","39","62.86","2","2","50.00","117","40","74.52","0","0","-","7.41","88.41","0.958","27","48","17","159","61.36","72","70","41","63.72"
"83","Derek Stepan","CAR","C","73","609.56666666667","773","417","64.96","583","314","64.99","385","227","62.91","22","15","59.46","35.49","18.78","65.40","371","192","65.90","152","91","62.55","10","9","52.63","219","101","68.44","7","6","53.85","347","180","65.84","5","0","100.00","5.71","93.39","0.991","154","143","80","470","65.81","273","188","174","61.07"
"746","Adam Ginning","PHI","D","1","16.4","24","13","64.86","19","10","65.52","16","8","66.67","1","1","50.00","1.33","0.57","70.03","16","5","76.19","5","1","83.33","1","0","100.00","11","4","73.33","0","1","0.00","7","7","50.00","0","0","-","6.25","87.50","0.938","1","1","1","18","50.00","7","3","2","77.78"
"729","Jack Drury","CAR","C","38","369.66666666667","467","254","64.77","343","187","64.72","237","137","63.37","14","11","56.00","19.62","11.27","63.52","207","125","62.35","92","51","64.34","2","7","22.22","115","74","60.85","5","3","62.50","216","97","69.01","6","0","100.00","5.91","91.97","0.979","64","96","41","285","60.95","128","123","89","58.99"
"61","Max Pacioretty","CAR","L","5","48.716666666667","70","40","63.64","50","28","64.10","32","21","60.38","2","2","50.00","3.04","3.88","43.97","30","16","65.22","13","8","61.90","1","2","33.33","17","8","68.00","1","0","100.00","33","19","63.46","0","0","-","6.25","90.48","0.967","12","14","4","35","75.00","19","17","14","57.58"
"565","Dennis Cholowski","NYI","D","2","20.966666666667","26","15","63.41","16","13","55.17","9","9","50.00","1","2","33.33","1.14","1.01","52.82","13","7","65.00","4","4","50.00","1","1","50.00","9","3","75.00","0","0","-","10","7","58.82","0","1","0.00","11.11","77.78","0.889","5","6","1","16","83.33","9","7","1","90.00"
"866","Tyler Kleven","OTT","D","8","105.3","122","71","63.21","98","49","66.67","67","35","65.69","5","6","45.45","5.25","3.8","58.01","54","32","62.79","25","15","62.50","4","3","57.14","29","17","63.04","1","2","33.33","61","34","64.21","0","1","0.00","7.46","82.86","0.903","20","19","12","90","62.50","50","28","23","68.49"
"513","Philippe Myers","T.B","D","11","121.21666666667","144","85","62.88","107","70","60.45","84","59","58.74","7","7","50.00","6.14","3.69","62.47","69","38","64.49","23","11","67.65","2","2","50.00","46","27","63.01","1","5","16.67","79","42","65.29","4","0","100.00","8.33","88.14","0.965","9","23","6","125","60.00","36","36","21","63.16"
