"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"99","Matt Duchene","NSH","C","71","1.7","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.04","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","0","1","2","10","0.00","0","1","2","0.00"
"149","Vladimir Tarasenko","NYR, STL","R","69","1.15","1","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","0.05","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","1","0","100.00","0","0","-","0","0","-","100.00","-","1.00","0","2","1","7","0.00","0","2","1","0.00"
"167","Brendan Gallagher","MTL","R","37","0.25","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.02","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","0","0","1","3","0.00","1","0","1","50.00"
"213","Stefan Noesen","CAR","R","78","0.9","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.01","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","1","0","7","-","1","1","0","100.00"
"306","Shea Theodore","VGK","D","55","1.4","2","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.4","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","0","0","1","8","0.00","0","0","1","0.00"
"318","Tyler Bertuzzi","BOS, DET","L","50","0.81666666666667","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","1","0","1","3","50.00","2","0","1","66.67"
"357","Nikolaj Ehlers","WPG","L","45","0.7","2","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","1","0","100.00","0","0","-","-","-","-","1","0","0","0","100.00","3","0","0","100.00"
"431","Brock Boeser","VAN","R","74","0.98333333333333","2","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.01","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","0","1","0","4","-","0","1","0","-"
"483","Mason Marchment","DAL","L","68","0.85","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.02","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","0","2","3","0.00","0","0","2","0.00"
"533","Jesper Bratt","N.J","L","82","2.75","2","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.12","0","100.00","2","0","100.00","1","0","100.00","0","0","-","1","0","100.00","0","0","-","0","1","0.00","0","0","-","0.00","-","0.00","1","3","1","20","50.00","1","3","1","50.00"
"544","Lucas Carlsson","FLA","D","2","0.68333333333333","2","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.1","0","100.00","2","0","100.00","1","0","100.00","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","1","0","0","1","100.00","2","0","0","100.00"
"732","Jack Hughes","N.J","C","78","5.05","2","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.12","0","100.00","2","0","100.00","1","0","100.00","0","0","-","1","0","100.00","0","0","-","0","1","0.00","0","0","-","0.00","-","0.00","1","3","2","34","33.33","1","3","2","33.33"
"808","Kent Johnson","CBJ","C","79","0.38333333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.11","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","0","0","1","-","0","0","0","-"
"812","Dylan Guenther","ARI","R","33","2.05","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.17","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","0","0","5","-","0","0","0","-"
"823","Marco Kasper","DET","C","1","0.16666666666667","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.04","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","0","0","1","-","0","0","0","-"
"767","Lucas Raymond","DET","L","74","3.9166666666667","4","1","80.00","4","1","80.00","4","1","80.00","0","0","-","0.25","0.02","91.45","3","0","100.00","1","0","100.00","0","0","-","2","0","100.00","0","0","-","0","1","0.00","0","0","-","0.00","100.00","1.000","1","2","3","15","25.00","2","2","3","40.00"
"10","Alex Ovechkin","WSH","L","73","2.35","7","2","77.78","6","2","75.00","4","1","80.00","0","1","0.00","0.13","1.41","8.29","3","1","75.00","2","1","66.67","0","1","0.00","1","0","100.00","0","0","-","4","0","100.00","0","0","-","0.00","0.00","0.000","0","0","1","7","0.00","2","0","1","66.67"
"629","Nick Perbix","T.B","D","69","4.6333333333333","3","1","75.00","2","1","66.67","2","1","66.67","0","1","0.00","0.27","0.04","87.97","2","0","100.00","1","0","100.00","0","0","-","1","0","100.00","0","0","-","1","2","33.33","0","1","0.00","0.00","0.00","0.000","0","2","1","19","0.00","0","3","1","0.00"
"11","Evgeni Malkin","PIT","C","82","1.1333333333333","2","1","66.67","2","1","66.67","2","1","66.67","0","1","0.00","0.24","0.08","74.25","1","1","50.00","1","0","100.00","0","0","-","0","1","0.00","0","1","0.00","1","0","100.00","0","0","-","0.00","0.00","0.000","1","0","0","13","100.00","2","0","0","100.00"
"125","Anders Lee","NYI","L","82","2.4333333333333","2","1","66.67","1","1","50.00","1","0","100.00","0","0","-","0.03","0.38","6.95","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","1","0","0","5","100.00","2","0","0","100.00"
