"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"15","Alexander Edler","L.A","D","64","3.6","4","0","100.00","3","0","100.00","3","0","100.00","1","0","100.00","0.47","0","100.00","2","0","100.00","2","0","100.00","1","0","100.00","0","0","-","0","0","-","2","0","100.00","0","0","-","33.33","-","0.33","0","2","0","10","-","0","2","0","-"
"22","Andrew Cogliano","COL","C","79","1.3833333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.06","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","1","0","1","11","50.00","2","0","1","66.67"
"44","Ian Cole","T.B","D","78","3.7","4","0","100.00","4","0","100.00","3","0","100.00","1","0","100.00","0.3","0","100.00","4","0","100.00","0","0","-","0","0","-","4","0","100.00","1","0","100.00","0","1","0.00","0","0","-","33.33","-","0.33","0","0","0","26","-","0","0","1","0.00"
"45","Justin Braun","PHI","D","51","2.4","2","0","100.00","2","0","100.00","1","0","100.00","1","0","100.00","0.14","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","100.00","-","1.00","3","2","0","6","100.00","3","2","0","100.00"
"47","Pat Maroon","T.B","L","80","7.6","9","0","100.00","6","0","100.00","3","0","100.00","1","0","100.00","0.4","0","100.00","2","0","100.00","0","0","-","0","0","-","2","0","100.00","0","0","-","10","1","90.91","1","0","100.00","33.33","-","0.33","5","3","0","10","100.00","5","3","1","83.33"
"51","Brad Malone","EDM","C","10","0.76666666666667","3","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.13","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","3","0","0","2","100.00","3","0","0","100.00"
"65","Nick Holden","OTT","D","65","3.4166666666667","6","0","100.00","5","0","100.00","3","0","100.00","0","0","-","0.35","0","100.00","3","0","100.00","1","0","100.00","0","0","-","2","0","100.00","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","4","3","0","11","100.00","5","3","0","100.00"
"78","Zac Dalpe","FLA","C","14","1.1333333333333","3","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.05","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","3","0","100.00","0","0","-","0.00","-","0.00","2","0","1","0","66.67","4","0","1","80.00"
"80","Derek Stepan","CAR","C","73","4.0833333333333","6","0","100.00","6","0","100.00","5","0","100.00","0","0","-","0.3","0","100.00","3","0","100.00","1","0","100.00","0","0","-","2","0","100.00","0","0","-","3","0","100.00","0","0","-","0.00","-","0.00","2","0","0","7","100.00","3","0","0","100.00"
"81","Marco Scandella","STL","D","20","1.25","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","1","0","0","2","100.00","2","0","0","100.00"
