"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"424","Hayden Hodgson","PHI","R","1","4.7666666666667","4.7666666666667","0","138.46","0.00","0","62.94","0.00","0","50.35","0.00","0","0","-","0","1.74","0.00","0","62.94","0.00","0","12.59","0.00","0","0","-","0","67.13","0.00","0","0","-","36.36","127.27","22.22","0","0","-","-","100.00","1.00","25.17","25.17","12.59","62.94","66.67","25.17","25.17","25.17","50.00"
"760","Semyon Der-Arguchintsev","TOR","C","1","7.2666666666667","7.2666666666667","33.03","132.11","20.00","33.03","82.57","28.57","24.77","57.8","30.00","8.26","0","100.00","2.74","6.41","29.93","24.77","57.8","30.00","8.26","24.77","25.00","0","0","-","22.02","44.04","33.33","11.01","0","100.00","11.93","83.49","12.50","0","0","-","33.33","100.00","1.333","0","8.26","0","74.31","-","8.26","8.26","16.51","33.33"
"936","Marco Kasper","DET","C","1","14.983333333333","14.983333333333","40.04","116.13","25.64","36.04","92.1","28.13","20.02","68.08","22.73","0","0","-","3.03","7.44","28.97","24.03","60.07","28.57","12.01","36.04","25.00","0","0","-","16.02","32.04","33.33","0","0","-","23.14","75.19","23.53","0","0","-","0.00","100.00","1.000","12.01","24.03","8.01","40.04","60.00","16.02","32.04","20.02","44.44"
"663","Lias Andersson","L.A","C","1","8.6166666666667","8.6166666666667","55.71","111.41","33.33","34.82","83.56","29.41","20.89","48.74","30.00","0","6.96","0.00","1.78","7.01","20.29","20.89","48.74","30.00","6.96","27.85","20.00","0","6.96","0.00","18.57","27.85","40.00","0","0","-","50.29","120.7","29.41","0","0","-","0.00","85.71","0.857","6.96","13.93","6.96","55.71","50.00","6.96","20.89","34.82","16.67"
"888","Justin Richards","CBJ","C","2","21.583333333333","10.791666666667","41.7","111.2","27.27","36.14","83.4","30.23","25.02","58.38","30.00","2.78","8.34","25.00","1.87","7.1","20.85","22.24","61.16","26.67","2.78","30.58","8.33","0","8.34","0.00","25.95","40.77","38.89","3.71","0","100.00","20.08","68.26","22.73","0","0","-","11.11","85.71","0.968","8.34","13.9","13.9","52.82","37.50","8.34","16.68","19.46","30.00"
"934","Owen Beck","MTL","C","1","9.8","9.8","24.49","110.2","18.18","12.24","97.96","11.11","6.12","55.1","10.00","0","6.12","0.00","0.51","5.39","8.57","18.37","48.98","27.27","0","24.49","0.00","0","6.12","0.00","24.49","32.65","42.86","0","0","-","8.84","61.9","12.50","0","0","-","0.00","88.89","0.889","0","18.37","12.24","55.1","0.00","6.12","18.37","30.61","16.67"
"515","Dan Renouf","BOS","D","1","11.566666666667","11.566666666667","77.81","108.93","41.67","57.06","83","40.74","41.5","77.81","34.78","0","15.56","0.00","5.09","5.55","47.85","25.94","62.25","29.41","5.19","25.94","16.67","0","10.37","0.00","27.67","48.41","36.36","0","0","-","59.94","59.94","50.00","0","7.49","0.00","0.00","80.00","0.800","15.56","20.75","5.19","46.69","75.00","25.94","20.75","15.56","62.50"
"689","Nick Swaney","MIN","R","1","9.55","9.55","6.28","106.81","5.56","6.28","75.39","7.69","6.28","62.83","9.09","0","0","-","0.6","5.66","9.62","6.28","62.83","9.09","0","37.7","0.00","0","0","-","8.38","33.51","20.00","0","0","-","0","63.53","0.00","0","0","-","0.00","100.00","1.000","6.28","6.28","0","62.83","100.00","6.28","6.28","0","100.00"
"763","Damien Giroux","MIN","C","1","13.95","13.95","25.81","98.92","20.69","25.81","64.52","28.57","21.51","55.91","27.78","4.3","4.3","50.00","2.87","4.47","39.10","12.9","55.91","18.75","8.6","30.11","22.22","4.3","0","100.00","5.73","34.41","14.29","0","5.73","0.00","18.64","62.13","23.08","0","0","-","20.00","92.31","1.123","0","4.3","0","77.42","-","4.3","17.2","0","100.00"
"195","Andy Andreoff","NYI","C","3","22.05","7.35","32.65","97.96","25.00","13.61","78.91","14.71","13.61","57.14","19.23","2.72","10.88","20.00","1.49","7.07","17.36","24.49","62.59","28.13","5.44","29.93","15.38","2.72","5.44","33.33","25.4","43.54","36.84","0","7.26","0.00","3.93","43.24","8.33","0","0","-","20.00","80.95","1.010","2.72","10.88","0","78.91","100.00","8.16","19.05","8.16","50.00"
