"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"424","Hayden Hodgson","PHI","R","1","4.7666666666667","4.7666666666667","0","138.46","0.00","0","62.94","0.00","0","50.35","0.00","0","0","-","0","1.74","0.00","0","62.94","0.00","0","12.59","0.00","0","0","-","0","67.13","0.00","0","0","-","36.36","127.27","22.22","0","0","-","-","100.00","1.00","25.17","25.17","12.59","62.94","66.67","25.17","25.17","25.17","50.00"
"760","Semyon Der-Arguchintsev","TOR","C","1","6.3666666666667","6.3666666666667","37.7","122.51","23.53","37.7","65.97","36.36","28.27","47.12","37.50","9.42","0","100.00","3.12","3.78","45.28","28.27","37.7","42.86","9.42","9.42","50.00","0","0","-","25.13","37.7","40.00","12.57","0","100.00","13.61","95.29","12.50","0","0","-","33.33","100.00","1.333","0","9.42","0","75.39","-","9.42","9.42","9.42","50.00"
"936","Marco Kasper","DET","C","1","14.816666666667","14.816666666667","36.45","117.44","23.68","32.4","93.14","25.81","16.2","68.84","19.05","0","0","-","2.91","7.52","27.90","20.25","60.74","25.00","12.15","36.45","25.00","0","0","-","10.8","32.4","25.00","0","0","-","23.4","76.04","23.53","0","0","-","0.00","100.00","1.000","12.15","24.3","8.1","36.45","60.00","16.2","32.4","20.25","44.44"
"934","Owen Beck","MTL","C","1","9.65","9.65","24.87","111.92","18.18","12.44","99.48","11.11","6.22","55.96","10.00","0","6.22","0.00","0.51","5.47","8.57","18.65","49.74","27.27","0","24.87","0.00","0","6.22","0.00","24.87","33.16","42.86","0","0","-","8.98","62.87","12.50","0","0","-","0.00","88.89","0.889","0","12.44","12.44","49.74","0.00","6.22","12.44","31.09","16.67"
"888","Justin Richards","CBJ","C","2","18.3","9.15","36.07","111.48","24.44","29.51","81.97","26.47","19.67","59.02","25.00","3.28","6.56","33.33","1.27","6.8","15.74","19.67","55.74","26.09","3.28","29.51","10.00","0","6.56","0.00","21.86","34.97","38.46","4.37","0","100.00","14.21","75.77","15.79","0","0","-","16.67","88.89","1.056","9.84","16.39","13.11","45.9","42.86","9.84","19.67","19.67","33.33"
"663","Lias Andersson","L.A","C","1","8.6166666666667","8.6166666666667","55.71","111.41","33.33","34.82","83.56","29.41","20.89","48.74","30.00","0","6.96","0.00","1.78","7.01","20.29","20.89","48.74","30.00","6.96","27.85","20.00","0","6.96","0.00","18.57","27.85","40.00","0","0","-","50.29","120.7","29.41","0","0","-","0.00","85.71","0.857","6.96","13.93","6.96","55.71","50.00","6.96","20.89","34.82","16.67"
"689","Nick Swaney","MIN","R","1","9.2166666666667","9.2166666666667","6.51","110.67","5.56","6.51","78.12","7.69","6.51","65.1","9.09","0","0","-","0.62","5.87","9.62","6.51","65.1","9.09","0","39.06","0.00","0","0","-","8.68","34.72","20.00","0","0","-","0","65.82","0.00","0","0","-","0.00","100.00","1.000","6.51","6.51","0","58.59","100.00","6.51","6.51","0","100.00"
"195","Andy Andreoff","NYI","C","3","20.433333333333","6.8111111111111","32.3","105.71","23.40","14.68","85.15","14.71","14.68","61.66","19.23","2.94","11.75","20.00","1.6","7.63","17.36","26.43","67.54","28.13","5.87","32.3","15.38","2.94","5.87","33.33","27.41","46.98","36.84","0","7.83","0.00","0","46.66","0.00","0","0","-","20.00","80.95","1.010","2.94","11.75","0","76.35","100.00","5.87","20.55","8.81","40.00"
"515","Dan Renouf","BOS","D","1","10.816666666667","10.816666666667","83.2","105.39","44.12","61.02","83.2","42.31","44.38","77.66","36.36","0","16.64","0.00","5.44","5.53","49.62","27.73","61.02","31.25","5.55","27.73","16.67","0","11.09","0.00","29.58","44.38","40.00","0","0","-","64.1","56.09","53.33","0","8.01","0.00","0.00","78.57","0.786","16.64","22.19","5.55","44.38","75.00","27.73","22.19","16.64","62.50"
"763","Damien Giroux","MIN","C","1","12.866666666667","12.866666666667","27.98","102.59","21.43","27.98","65.28","30.00","23.32","55.96","29.41","4.66","4.66","50.00","3.11","4.48","40.98","13.99","55.96","20.00","9.33","27.98","25.00","4.66","0","100.00","6.22","37.31","14.29","0","6.22","0.00","20.21","67.36","23.08","0","0","-","20.00","91.67","1.117","0","4.66","0","69.95","-","4.66","18.65","0","100.00"
"820","Connor McMichael","WSH","C","6","53.083333333333","8.8472222222222","39.56","93.81","29.66","28.26","72.34","28.09","22.61","53.12","29.85","2.26","2.26","50.00","1.32","4.48","22.68","20.35","44.08","31.58","7.91","16.95","31.82","1.13","2.26","33.33","16.58","36.17","31.43","1.51","0","100.00","21.22","66.94","24.07","0","0","-","10.00","95.74","1.057","13.56","10.17","5.65","55.38","70.59","16.95","13.56","13.56","55.56"
