"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"733","Arthur Kaliyev","L.A","R","56","0.1","0.0017857142857143","0","600","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","866.67","0.00","0","0","-","-","-","-","0","0","0","600","-","0","0","0","-"
"315","Dillon Heatherington","OTT","D","3","0.16666666666667","0.055555555555556","0","360","0.00","0","360","0.00","0","360","0.00","0","0","-","0","6.56","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","520","0.00","0","0","-","-","100.00","1.00","0","0","360","0","0.00","0","0","360","0.00"
"826","Ben Meyers","COL","C","39","0.45","0.011538461538462","0","266.67","0.00","0","133.33","0.00","0","133.33","0.00","0","0","-","0","18.49","0.00","0","133.33","0.00","0","133.33","0.00","0","0","-","0","0","-","0","0","-","0","192.59","0.00","0","0","-","-","100.00","1.00","0","133.33","0","133.33","-","0","133.33","0","-"
"643","Kiefer Sherwood","NSH","L","32","1.4666666666667","0.045833333333333","0","245.45","0.00","0","122.73","0.00","0","122.73","0.00","0","0","-","0","9.04","0.00","0","163.64","0.00","0","0","-","0","0","-","0","218.18","0.00","0","0","-","0","118.18","0.00","0","0","-","-","100.00","1.00","0","0","0","204.55","-","40.91","0","0","100.00"
"679","Adam Ginning","PHI","D","1","0.26666666666667","0.26666666666667","0","225","0.00","0","225","0.00","0","225","0.00","0","225","0.00","0","25.1","0.00","0","225","0.00","0","225","0.00","0","225","0.00","0","0","-","0","0","-","0","0","-","0","0","-","-","0.00","0.00","0","0","0","0","-","0","0","0","-"
"90","Tyler Johnson","CHI","C","56","2.45","0.04375","0","195.92","0.00","0","171.43","0.00","0","122.45","0.00","0","48.98","0.00","0","16.91","0.00","0","171.43","0.00","0","73.47","0.00","0","24.49","0.00","0","130.61","0.00","0","32.65","0.00","0","35.37","0.00","0","0","-","-","60.00","0.60","0","48.98","48.98","171.43","0.00","0","48.98","48.98","0.00"
"717","Ronnie Attard","PHI","D","2","1.35","0.675","44.44","177.78","20.00","44.44","133.33","25.00","0","88.89","0.00","0","44.44","0.00","5.55","26.61","17.25","44.44","133.33","25.00","44.44","88.89","33.33","0","44.44","0.00","0","59.26","0.00","0","0","-","0","64.2","0.00","0","0","-","-","50.00","0.50","0","0","44.44","88.89","0.00","0","0","44.44","0.00"
"152","Riley Sheahan","BUF","C","2","0.35","0.175","171.43","171.43","50.00","171.43","0","100.00","0","0","-","0","0","-","10.31","0","100.00","171.43","171.43","50.00","0","0","-","0","0","-","228.57","228.57","50.00","0","0","-","0","0","-","0","0","-","-","-","-","0","0","0","171.43","-","0","0","0","-"
"184","Joseph Cramarossa","MIN","C","4","0.35","0.0875","0","171.43","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","171.43","0.00","0","0","-","0","0","-","0","228.57","0.00","0","0","-","0","0","-","0","0","-","-","-","-","0","171.43","0","0","-","0","171.43","0","-"
"510","Kale Clague","BUF","D","33","1.4","0.042424242424242","0","171.43","0.00","0","128.57","0.00","0","128.57","0.00","0","0","-","0","18.71","0.00","0","85.71","0.00","0","42.86","0.00","0","0","-","0","57.14","0.00","0","0","-","0","123.81","0.00","0","0","-","-","100.00","1.00","0","0","42.86","85.71","0.00","0","0","42.86","0.00"
