"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"448","A.J. Greer","BOS","L","27","1996-12-14","Joliette","QC","CAN","CAN","75","208","2015","COL","2","9","39"
"365","Aaron Ekblad","FLA","D","28","1996-02-07","Windsor","ON","CAN","CAN","76","215","2014","FLA","1","1","1"
"919","Aatu Raty","NYI, VAN","C","21","2002-11-14","Oulu","","FIN","FIN","74","190","2021","NYI","2","20","52"
"809","Adam Beckman","MIN","L","22","2001-05-10","Saskatoon","SK","CAN","CAN","74","182","2019","MIN","3","13","75"
"744","Adam Boqvist","CBJ","D","23","2000-08-15","Falun","","SWE","SWE","72","182","2018","CHI","1","8","8"
"321","Adam Erne","DET","L","28","1995-04-20","New Haven","CT","USA","USA","73","212","2013","T.B","2","3","33"
"526","Adam Fox","NYR","D","26","1998-02-17","Jericho","NY","USA","USA","71","182","2016","CGY","3","5","66"
"746","Adam Ginning","PHI","D","24","2000-01-13","Linkoping","","SWE","SWE","75","188","2018","PHI","2","19","50"
"86","Adam Henrique","ANA","C","34","1990-02-06","Brantford","ON","CAN","CAN","72","195","2008","N.J","3","21","82"
"210","Adam Larsson","SEA","D","31","1992-11-12","Skellefteå","","SWE","SWE","75","209","2011","N.J","1","4","4"
"191","Adam Lowry","WPG","C","31","1993-03-29","St. Louis","MO","USA","USA","78","208","2011","WPG","3","6","67"
"262","Adam Pelech","NYI","D","29","1994-08-16","Toronto","ON","CAN","CAN","75","210","2012","NYI","3","4","65"
"891","Adam Raska","S.J","R","22","2001-09-25","Frydek-Mistek","","CZE","CZE","70","178","2020","S.J","7","15","201"
"634","Adam Ruzicka","CGY","C","24","1999-05-11","Bratislava","","SVK","SVK","76","215","2017","CGY","4","16","109"
"385","Adrian Kempe","L.A","C, R","27","1996-09-13","Kramfors","","SWE","SWE","74","200","2014","L.A","1","29","29"
"842","Aidan McDonough","VAN","L","24","1999-11-06","Milton","MA","USA","USA","75","190","2019","VAN","7","9","195"
"949","Akito Hirose","VAN","D","24","1999-04-09","CALGARY","AB","CAN","CAN","72","170","-","-","-","-","-"
"64","Alec Martinez","VGK","D","36","1987-07-26","Rochester Hills","MI","USA","USA","73","210","2007","L.A","4","4","95"
