"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"390","A.J. Greer","CGY","L","27","1996-12-14","Joliette","QC","CAN","CAN","75","208","2015","COL","2","9","39"
"316","Aaron Ekblad","FLA","D","28","1996-02-07","Windsor","ON","CAN","CAN","76","215","2014","FLA","1","1","1"
"710","Adam Beckman","MIN","L","22","2001-05-10","Saskatoon","SK","CAN","CAN","74","182","2019","MIN","3","13","75"
"646","Adam Boqvist","CBJ","D","23","2000-08-15","Falun","","SWE","SWE","72","182","2018","CHI","1","8","8"
"753","Adam Edstrom","NYR","C","23","2000-10-12","","","SWE","SWE","79","220","2019","NYR","6","6","161"
"275","Adam Erne","EDM","L","28","1995-04-20","New Haven","CT","USA","USA","73","212","2013","T.B","2","3","33"
"907","Adam Fantilli","CBJ","C","19","2004-10-12","","","CAN","","74","194","2023","CBJ","1","3","3"
"460","Adam Fox","NYR","D","26","1998-02-17","Jericho","NY","USA","USA","71","182","2016","CGY","3","5","66"
"440","Adam Gaudette","STL","C","27","1996-10-03","Braintree","MA","USA","USA","73","194","2015","VAN","5","28","149"
"648","Adam Ginning","PHI","D","24","2000-01-13","Linkoping","","SWE","SWE","75","188","2018","PHI","2","19","50"
"65","Adam Henrique","ANA, EDM","C","34","1990-02-06","Brantford","ON","CAN","CAN","72","195","2008","N.J","3","21","82"
"897","Adam Klapka","CGY","R","23","2000-09-14","Praha","","CZE","CZE","80","235","-","-","-","-","-"
"172","Adam Larsson","SEA","D","31","1992-11-12","Skellefteå","","SWE","SWE","75","209","2011","N.J","1","4","4"
"158","Adam Lowry","WPG","C","31","1993-03-29","St. Louis","MO","USA","USA","78","208","2011","WPG","3","6","67"
"222","Adam Pelech","NYI","D","29","1994-08-16","Toronto","ON","CAN","CAN","75","210","2012","NYI","3","4","65"
"813","Adam Raska","MIN","R","22","2001-09-25","Frydek-Mistek","","CZE","CZE","70","178","2020","S.J","7","15","201"
"551","Adam Ruzicka","ARI, CGY","C","24","1999-05-11","Bratislava","","SVK","SVK","76","215","2017","CGY","4","16","109"
"335","Adrian Kempe","L.A","R","27","1996-09-13","Kramfors","","SWE","SWE","74","200","2014","L.A","1","29","29"
"640","Akil Thomas","L.A","C","24","2000-01-02","Toronto","ON","CAN","CAN","72","171","2018","L.A","2","20","51"
"909","Akito Hirose","VAN","D","25","1999-04-09","CALGARY","AB","CAN","CAN","72","170","-","-","-","-","-"
"50","Alec Martinez","VGK","D","36","1987-07-26","Rochester Hills","MI","USA","USA","73","210","2007","L.A","4","4","95"
"287","Aleksander Barkov","FLA","C","28","1995-09-02","Tampere","","FIN","FIN","75","215","2013","FLA","1","2","2"
"525","Alex Barré-Boulet","T.B","C","26","1997-05-21","Montmagny","QC","CAN","CAN","70","180","-","-","-","-","-"
"466","Alex DeBrincat","DET","R","26","1997-12-18","Farmington Hills","MI","USA","USA","68","178","2016","CHI","2","9","39"
"11","Alex Goligoski","MIN","D","38","1985-07-30","Grand Rapids","MN","USA","USA","71","173","2004","PIT","2","31","61"
"580","Alex Iafallo","WPG","L","30","1993-12-21","Eden","NY","USA","USA","72","200","-","-","-","-","-"
"241","Alex Kerfoot","ARI","C","29","1994-08-11","Vancouver","BC","CAN","CAN","71","186","2012","N.J","5","29","150"
"32","Alex Killorn","ANA","C, L","34","1989-09-14","Halifax","NS","CAN","CAN","73","194","2007","T.B","3","16","77"
"802","Alex Laferriere","L.A","R","22","2001-10-28","Chatham","NJ","USA","USA","72","173","2020","L.A","3","21","83"
"739","Alex Newhook","MTL","C","23","2001-01-28","St. John's","NL","CAN","CAN","70","190","2019","COL","1","16","16"
"8","Alex Ovechkin","WSH","L","38","1985-09-17","Moscow","","RUS","RUS","75","238","2004","WSH","1","1","1"
"121","Alex Petrovic","DAL","D","32","1992-03-03","Edmonton","AB","CAN","CAN","76","220","2010","FLA","2","6","36"
"54","Alex Pietrangelo","VGK","D","34","1990-01-18","King City","ON","CAN","CAN","75","215","2008","STL","1","4","4"
"829","Alex Steeves","TOR","C","24","1999-12-10","Bedford","NH","USA","USA","72","196","-","-","-","-","-"
"328","Alex Tuch","BUF","R","27","1996-05-10","Syracuse","NY","USA","USA","76","219","2014","MIN","1","18","18"
"700","Alex Turcotte","L.A","C","23","2001-02-26","Elk Grove","IL","USA","USA","71","185","2019","L.A","1","5","5"
"719","Alex Vlasic","CHI","D","22","2001-06-05","Wilmette","IL","USA","USA","78","199","2019","CHI","2","12","43"
"298","Alex Wennberg","NYR, SEA","C","29","1994-09-22","Stockholm","","SWE","SWE","74","190","2013","CBJ","1","14","14"
"629","Alexander Alexeyev","WSH","D","24","1999-11-15","St. Petersburg","","RUS","RUS","76","213","2018","WSH","1","31","31"
"815","Alexander Barabanov","S.J","L","29","1994-06-17","St. Petersburg","","RUS","RUS","70","195","-","-","-","-","-"
"790","Alexander Holtz","N.J","R","22","2002-01-23","Stockholm","","SWE","SWE","72","195","2020","N.J","1","7","7"
"501","Alexander Nylander","CBJ, PIT","L","26","1998-03-02","Calgary","AB","CAN","CAN","73","192","2016","BUF","1","8","8"
"663","Alexander Romanov","NYI","D","24","2000-01-06","Moscow","","RUS","RUS","73","215","2018","MTL","2","7","38"
"434","Alexandre Carrier","NSH","D","27","1996-10-08","Quebec City","QC","CAN","CAN","71","174","2015","NSH","4","24","115"
"576","Alexandre Texier","CBJ","C","24","1999-09-13","St. Martin D'heres","","FRA","FRA","73","186","2017","CBJ","2","14","45"
"601","Alexey Toropchenko","STL","R","24","1999-06-25","Moscow","","RUS","RUS","78","222","2017","STL","4","20","113"
"781","Alexis Lafrenière","NYR","L","22","2001-10-11","St-Eustache","QC","CAN","CAN","73","195","2020","NYR","1","1","1"
"743","Aliaksei Protas","WSH","C","23","2001-01-06","VITEBSK","","BLR","BLR","78","225","2019","WSH","3","29","91"
"103","Anders Lee","NYI","L","33","1990-07-03","Edina","MN","USA","USA","75","235","2009","NYI","6","1","152"
"270","Andre Burakovsky","SEA","L","29","1995-02-09","Klagenfurt","","AUT","SWE","75","209","2013","WSH","1","23","23"
"233","Andreas Athanasiou","CHI","C","29","1994-08-06","London","ON","CAN","CAN","74","190","2012","DET","4","19","110"
"339","Andreas Englund","L.A","D","28","1996-01-21","Stockholm","","SWE","SWE","75","189","2014","OTT","2","10","40"
"901","Andrei Kuzmenko","CGY, VAN","L","28","1996-02-04","YAKUTSK","","RUS","RUS","71","194","-","-","-","-","-"
"631","Andrei Svechnikov","CAR","R","24","2000-03-26","Barnual","","RUS","RUS","74","195","2018","CAR","1","2","2"
"17","Andrew Cogliano","COL","C","36","1987-06-14","Toronto","ON","CAN","CAN","70","179","2005","EDM","1","25","25"
"268","Andrew Copp","DET","C","29","1994-07-08","Ann Arbor","MI","USA","USA","73","199","2013","WPG","4","13","104"
"373","Andrew Mangiapane","CGY","L","28","1996-04-04","Toronto","ON","CAN","CAN","70","184","2015","CGY","6","15","166"
"480","Andrew Peeke","BOS, CBJ","D","26","1998-03-17","Parkland","FL","USA","USA","75","210","2016","CBJ","2","4","34"
"451","Andrew Poturalski","SEA","C","30","1994-01-14","Williamsville","NY","USA","USA","70","183","-","-","-","-","-"
"673","Angus Crookshank","OTT","L","24","1999-10-02","North Vancouver","BC","CAN","CAN","70","181","2018","OTT","5","2","126"
"411","Anthony Beauvillier","CHI, NSH, VAN","L","26","1997-06-08","Sorel-Tracy","QC","CAN","CAN","71","180","2015","NYI","1","28","28"
"427","Anthony Cirelli","T.B","C","26","1997-07-15","Etobicoke","ON","CAN","CAN","72","189","2015","T.B","3","11","72"
"263","Anthony Duclair","S.J, T.B","L","28","1995-08-26","Pointe-Claire","QC","CAN","CAN","71","197","2013","NYR","3","19","80"
"302","Anthony Mantha","VGK, WSH","R","29","1994-09-16","Longueuil","QC","CAN","CAN","77","234","2013","DET","1","20","20"
"385","Anthony Richard","BOS","C","27","1996-12-20","Trois-Rivieres","QC","CAN","CAN","71","183","2015","NSH","4","9","100"
"249","Anton Blidh","NYR","L","29","1995-03-14","Molnlycke","","SWE","SWE","73","197","2013","BOS","6","29","180"
"784","Anton Lundell","FLA","C","22","2001-10-03","Espoo","","FIN","FIN","73","185","2020","FLA","1","12","12"
"14","Anze Kopitar","L.A","C","36","1987-08-24","Jesenice","","SVN","SVN","75","225","2005","L.A","1","11","11"
"865","Arber Xhekaj","MTL","D","23","2001-01-30","Hamilton","ON","CAN","CAN","76","238","-","-","-","-","-"
"868","Arshdeep Bains","VAN","L","23","2001-01-09","Surrey","BC","CAN","CAN","72","184","-","-","-","-","-"
"817","Artem Zub","OTT","D","28","1995-10-03","Khabarovsk","","RUS","RUS","74","200","-","-","-","-","-"
"429","Artemi Panarin","NYR","L","32","1991-10-30","Korkino","","RUS","RUS","72","173","-","-","-","-","-"
