"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"696","Kirby Dach","MTL","C","2","26.033333333333","13.016666666667","0","4.61","0","4.61","4.61","66.67","6.91","0.00","0.42","11.52","6.91","6.91","4.61","0","0","0","0","0","0","0","2.3","0","2.3","6.91","9.22","0","6.91","11.52","86.43"
"847","Logan Mailloux","MTL","D","1","21.233333333333","21.233333333333","0","2.83","0","2.83","2.83","50.00","5.65","0.00","0.29","11.3","11.3","2.83","0","0","0","0","0","0","0","0","2.83","0","0","2.83","8.48","2.83","0","0","-"
"737","Vladislav Kolyachonok","ARI","D","4","45.966666666667","11.491666666667","1.31","2.61","0","2.61","3.92","60.00","5.22","25.00","0.24","11.75","7.83","3.92","0","0","1.31","2.61","1.31","1.31","0","0","0","0","1.31","1.31","9.14","6.53","0","0","-"
"369","Matthew Highmore","OTT","C","7","53.966666666667","7.7095238095238","0","2.22","0","2.22","2.22","100.00","1.11","0.00","0.69","6.67","6.67","4.45","3.34","0","1.11","0","0","0","0","0","1.11","2.22","0","2.22","7.78","4.45","2.22","2.22","55.59"
"472","Kale Clague","BUF","D","3","36.816666666667","12.272222222222","0","1.63","0","1.63","1.63","50.00","3.26","0.00","0.15","9.78","4.89","6.52","0","0","1.63","3.26","1.63","1.63","0","0","0","0","0","1.63","6.52","0","0","0","-"
"381","Connor McDavid","EDM","C","75","1605.1333333333","21.401777777778","1.2","3.74","2.32","1.42","4.93","79.04","9.76","12.26","1.23","16.82","13.16","10.47","4.22","0.41","1.68","1.12","0.56","0.56","0","0","1.53","3.07","2.54","3.89","4.49","1.42","16.26","15.62","1.91"
"885","Liam Ohgren","MIN","L","3","42.516666666667","14.172222222222","1.41","1.41","0","1.41","2.82","66.67","11.29","12.50","0.97","15.52","14.11","8.47","4.23","2.82","1.41","0","0","0","0","0","1.41","0","2.82","2.82","2.82","0","0","2.82","0.00"
"662","Jonatan Berggren","DET","R","12","130.33333333333","10.861111111111","0.92","1.84","0.46","1.38","2.76","66.67","6.45","14.29","0.49","10.59","9.21","4.6","1.84","0","0.92","0.92","0.46","0.46","0","0","2.3","0","1.38","0.92","3.68","3.22","0","0","-"
"169","Nikita Kucherov","T.B","R","80","1731.25","21.640625","1.49","3.43","2.11","1.32","4.92","82.56","10.47","14.24","1.11","21.73","15.7","9.05","2.95","0.21","1.46","0.76","0.38","0.38","0","0","0.76","3.33","2.11","1.35","2.46","1.18","0.07","0.07","1.73"
"573","Cale Makar","COL","D","76","1886.2666666667","24.819298245614","0.67","2.16","0.89","1.27","2.83","59.73","7.25","9.21","0.49","17.05","11.1","5.66","0.73","0.45","1.18","0.51","0.25","0.25","0","0","0.8","1.27","2.23","1.15","0.89","4.64","0","0","-"
