"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"696","Kirby Dach","MTL","C","2","18.933333333333","9.4666666666667","0","6.34","0","6.34","6.34","100.00","9.51","0.00","0.58","15.85","9.51","9.51","6.34","0","0","0","0","0","0","0","3.17","0","3.17","9.51","9.51","0","9.51","15.85","118.84"
"847","Logan Mailloux","MTL","D","1","21.116666666667","21.116666666667","0","2.84","0","2.84","2.84","50.00","5.68","0.00","0.29","11.37","11.37","2.84","0","0","0","0","0","0","0","0","2.84","0","0","2.84","8.52","2.84","0","0","-"
"369","Matthew Highmore","OTT","C","7","45.283333333333","6.4690476190476","0","2.65","0","2.65","2.65","100.00","1.32","0.00","0.71","6.62","6.62","5.3","3.97","0","1.32","0","0","0","0","0","1.32","1.32","0","2.65","9.27","3.97","2.65","2.65","66.25"
"737","Vladislav Kolyachonok","ARI","D","4","45.966666666667","11.491666666667","1.31","2.61","0","2.61","3.92","60.00","5.22","25.00","0.24","11.75","7.83","3.92","0","0","1.31","2.61","1.31","1.31","0","0","0","0","1.31","1.31","9.14","6.53","0","0","-"
"472","Kale Clague","BUF","D","3","36.816666666667","12.272222222222","0","1.63","0","1.63","1.63","50.00","3.26","0.00","0.15","9.78","4.89","6.52","0","0","1.63","3.26","1.63","1.63","0","0","0","0","0","1.63","6.52","0","0","0","-"
"885","Liam Ohgren","MIN","L","3","37.85","12.616666666667","1.59","1.59","0","1.59","3.17","100.00","11.1","14.29","1.01","15.85","14.27","9.51","4.76","3.17","1.59","0","0","0","0","0","1.59","0","3.17","3.17","1.59","0","0","3.17","0.00"
"662","Jonatan Berggren","DET","R","12","121.63333333333","10.136111111111","0.99","1.97","0.49","1.48","2.96","75.00","6.91","14.29","0.48","10.36","8.88","4.93","1.97","0","0.99","0.99","0.49","0.49","0","0","2.47","0","1.48","0.99","3.45","3.45","0","0","-"
"754","Marc Del Gaizo","NSH","D","9","134.05","14.894444444444","0","1.34","0","1.34","1.34","37.50","3.58","0.00","0.16","11.64","5.82","3.58","0.9","0.9","0","0.9","0.45","0.45","0","0","0.9","1.79","1.79","8.5","4.92","4.03","0","0","-"
"805","Roby Jarventie","OTT","L","7","52.65","7.5214285714286","0","1.14","0","1.14","1.14","100.00","5.7","0.00","0.76","9.12","6.84","5.7","4.56","0","1.14","4.56","2.28","2.28","0","0","0","3.42","1.14","4.56","4.56","6.84","12.54","27.35","35.82"
"476","Riley Tufte","COL","L","5","53.866666666667","10.773333333333","1.11","1.11","0","1.11","2.23","100.00","7.8","14.29","0.69","12.25","11.14","8.91","4.46","3.34","1.11","2.23","1.11","1.11","0","0","1.11","1.11","2.23","7.8","4.46","2.23","1.11","1.11","55.69"
"850","James Malatesta","CBJ","L","11","108.03333333333","9.8212121212121","1.11","1.11","0","1.11","2.22","100.00","6.11","18.18","0.49","11.66","10","6.11","2.78","0.56","0.56","2.78","0.56","0","0.56","0","1.67","1.11","0.56","22.77","5.55","1.11","0","0.56","0.00"
"381","Connor McDavid","EDM","C","75","1318.1333333333","17.575111111111","1.05","2.87","1.78","1.09","3.91","78.90","8.92","11.73","1.06","15.7","12.38","9.65","4.1","0.41","1.68","1","0.5","0.5","0","0","1.68","3.28","2.82","4.55","4.6","1.68","18.75","17.62","2.35"
"811","Marat Khusnutdinov","MIN","C","15","169.1","11.273333333333","0","1.06","0","1.06","1.06","75.00","1.77","0.00","0.24","5.68","4.26","2.84","1.42","0.71","0","2.13","1.06","1.06","0","0","1.06","1.42","1.77","5.68","4.26","3.19","15.26","16.32","17.14"
"799","Hendrix Lapierre","WSH","C","51","529.13333333333","10.375163398693","0.91","1.36","0.34","1.02","2.27","90.91","5.33","17.02","0.54","9.53","8.05","4.88","2.95","0.34","0.34","0.45","0.11","0.11","0","0","0.91","2.04","2.15","2.72","3.97","3.4","11.91","19.28","4.33"
"201","Mark Jankowski","NSH","C","32","357.96666666667","11.186458333333","1.01","1.17","0.17","1.01","2.18","72.22","7.54","13.33","0.98","14.25","11.57","12.07","4.69","0.34","0.67","1.34","0.67","0.67","0","0","0.34","1.68","2.85","1.34","4.02","1.84","11.23","11.4","8.32"
"483","Josh Mahura","FLA","D","30","357.63333333333","11.921111111111","0","1.34","0.34","1.01","1.34","61.54","4.03","0.00","0.16","7.89","5.37","2.18","0.34","0","0","3.36","1.68","1.68","0","0","1.34","1.01","0.5","5.2","8.05","4.53","0","0","-"
"640","Akil Thomas","L.A","C","7","59.5","8.5","3.03","1.01","0","1.01","4.03","100.00","9.08","33.33","0.76","16.13","12.1","9.08","3.03","3.03","1.01","2.02","1.01","1.01","0","0","4.03","0","2.02","8.07","11.09","3.03","4.03","6.05","40.34"
"669","Cole Koepke","T.B","L","9","59.616666666667","6.6240740740741","0","2.01","1.01","1.01","2.01","66.67","9.06","0.00","1.16","15.1","13.08","6.04","4.03","0","1.01","0","0","0","0","0","1.01","1.01","2.01","17.11","7.05","1.01","0","0","-"
"727","Jakob Pelletier","CGY","L","13","119.08333333333","9.1602564102564","0.5","1.01","0","1.01","1.51","60.00","4.53","11.11","0.47","9.07","5.54","4.03","2.52","0.5","0.5","1.01","0.5","0.5","0","0","0","1.51","2.52","5.04","2.52","1.51","2.02","2.02","25.19"
"146","Mark Stone","VGK","R","56","789.08333333333","14.090773809524","0.76","1.9","0.91","0.99","2.66","79.55","5.85","12.99","0.79","11.18","8.29","6.54","2.74","0.23","0.91","0.76","0.38","0.38","0","0","0.68","1.6","3.73","1.9","1.6","2.43","0","0.23","0.00"
"879","Tristan Luneau","ANA","D","7","121.78333333333","17.397619047619","0.49","0.99","0","0.99","1.48","50.00","4.93","10.00","0.25","8.87","6.9","2.46","0.49","0","0.99","1.97","0.49","0.49","0","0","0.49","1.48","0","2.46","3.45","1.97","0","0","-"
"700","Alex Turcotte","L.A","C","20","183.11666666667","9.1558333333333","0.33","0.98","0","0.98","1.31","44.44","4.59","7.14","0.71","11.14","8.52","5.9","3.93","0","0.66","1.97","0.98","0.98","0","0","0.98","0.33","1.97","2.29","11.47","3.28","6.88","6.88","16.38"
