"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"405","Artemi Panarin","NYR","L","82","2.8166666666667","0.034349593495935","0","21.3","0","21.3","21.3","100.00","0","-","0.35","21.3","21.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"713","Jamie Drysdale","ANA, PHI","D","34","6.3333333333333","0.18627450980392","0","9.47","0","9.47","9.47","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"734","Ilya Solovyov","CGY","D","9","11.583333333333","1.287037037037","0","5.18","0","5.18","5.18","50.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.36","0","0","-"
"130","Ryan Johansen","COL","C","63","19.516666666667","0.30978835978836","0","3.07","0","3.07","3.07","100.00","3.07","0.00","0.02","3.07","3.07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.22","119.9","98.38","168.87"
"527","Josh Norris","OTT","C","50","35.783333333333","0.71566666666667","0","1.68","0","1.68","1.68","100.00","1.68","0.00","0.06","3.35","3.35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.68","16.77","25.15","67.07"
"149","Nick Seeler","PHI","D","71","139.9","1.9704225352113","0","1.72","0.43","1.29","1.72","66.67","0.86","0.00","0.09","2.14","1.72","0.86","0","0","0","0","0","0","0","0","0.86","2.14","0.86","4.29","0.43","18.87","0","0","-"
"524","Timothy Liljegren","TOR","D","54","57.45","1.0638888888889","0","1.04","0","1.04","1.04","100.00","1.04","0.00","0.14","2.09","2.09","1.04","1.04","1.04","0","0","0","0","0","0","1.04","2.09","2.09","6.27","1.04","9.4","0","0","-"
"521","Henri Jokiharju","BUF","D","74","68.25","0.9222972972973","0","0.88","0","0.88","0.88","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0.88","0","0.88","0.88","1.76","2.64","0","0","-"
"327","Warren Foegele","EDM","L","80","70.083333333333","0.87604166666667","0.86","0.86","0","0.86","1.71","100.00","7.71","11.11","0.78","13.7","12.84","7.71","3.42","1.71","0","0","0","0","0","0","0","0","2.57","1.71","0","5.14","0","0","-"
"170","Sean Couturier","PHI","C","74","84.466666666667","1.1414414414414","0","1.42","0.71","0.71","1.42","100.00","7.1","0.00","0.62","7.1","7.1","3.55","1.42","0.71","0","1.42","0.71","0.71","0","0","0","2.84","5.68","0","0","2.13","21.31","31.97","28.41"
"192","Brady Skjei","CAR","D","80","175.83333333333","2.1979166666667","0.34","1.02","0.34","0.68","1.36","66.67","2.73","12.50","0.07","3.41","3.07","0.68","0","0.34","0","0","0","0","0","0","0.68","1.02","1.71","2.73","0.68","6.14","0","0","-"
"239","MacKenzie Weegar","CGY","D","81","177.51666666667","2.1915637860082","0","0.68","0","0.68","0.68","40.00","1.35","0.00","0.04","1.35","1.35","0","0","0.34","0","1.35","0.34","0.34","0","0","0.68","2.03","1.35","4.06","0.68","15.21","0","0","-"
"51","Zach Bogosian","MIN, T.B","D","64","96.65","1.51015625","0","0.62","0","0.62","0.62","100.00","0","-","0.01","0.62","0.62","0","0","0","0","2.48","1.24","1.24","0","0","0.62","1.24","1.24","4.35","0.62","7.45","0","0","-"
"646","Cam York","PHI","D","82","192.9","2.3524390243902","0","0.62","0","0.62","0.62","28.57","1.87","0.00","0.03","2.18","1.87","0.31","0","0.31","0","0","0","0","0","0","0.31","1.24","0.62","1.87","0.93","10.58","0","0","-"
"741","J.J. Moser","ARI","D","79","192.11666666667","2.4318565400844","0","0.62","0","0.62","0.62","50.00","0.62","0.00","0.15","1.25","1.25","0.62","0.62","0.31","0","0","0","0","0","0","0.31","0.94","1.25","1.25","1.56","7.81","0","0","-"
"529","Cale Makar","COL","D","76","196.4","2.5842105263158","0.31","0.92","0.31","0.61","1.22","80.00","3.36","9.09","0.13","4.58","3.97","1.53","0","0.92","0.31","0","0","0","0","0","0.61","1.22","2.75","0.92","0","7.94","0","0","-"
"292","Trevor van Riemsdyk","WSH","D","70","111.2","1.5885714285714","0","0.54","0","0.54","0.54","100.00","2.16","0.00","0.21","3.24","2.7","1.08","0.54","0.54","0.54","0","0","0","0","0","1.08","1.62","0.54","0","0","5.4","0","0","-"
"407","Derek Ryan","EDM","C","69","111.61666666667","1.6176328502415","1.08","0.54","0","0.54","1.61","100.00","3.23","33.33","0.48","4.84","4.3","3.23","2.69","0.54","1.08","1.08","0.54","0.54","0","0","1.61","0.54","2.69","2.69","0","1.61","35.48","40.32","25.16"
"566","Martin Fehervary","WSH","D","66","111.73333333333","1.6929292929293","0","0.54","0","0.54","0.54","100.00","0","-","0","0","0","0","0","0","0","1.07","0.54","0.54","0","0","0.54","0","0","3.76","0.54","10.2","0","0","-"
"420","Matt Roy","L.A","D","80","230.66666666667","2.8833333333333","0","0.52","0","0.52","0.52","28.57","1.04","0.00","0","1.3","1.04","0.26","0","0.52","0","1.04","0.52","0.52","0","0","0.26","1.56","0.78","4.42","0.78","12.75","0","0","-"
"26","Jeff Petry","DET","D","73","120.66666666667","1.6529680365297","0","0.5","0","0.5","0.5","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0.5","4.97","0.5","10.94","0","0","-"
"210","Chandler Stephenson","VGK","C","75","119.36666666667","1.5915555555556","1.01","0.5","0","0.5","1.51","75.00","3.52","28.57","0.44","4.02","4.02","2.51","2.51","2.01","0","0","0","0","0","0","0.5","0","3.02","1.01","1.01","2.01","16.59","19.6","23.04"
"374","Travis Konecny","PHI","R","76","119.03333333333","1.5662280701754","3.02","0.5","0","0.5","3.53","87.50","12.1","25.00","1.09","16.13","14.62","9.58","3.02","3.53","1.01","2.02","1.01","1.01","0","0","0.5","1.51","4.54","7.56","0.5","2.02","1.51","3.02","16.80"
"617","Yegor Sharangovich","CGY","C","81","122.11666666667","1.5076131687243","1.47","1.97","1.47","0.49","3.44","100.00","6.39","23.08","0.63","9.34","7.37","5.4","2.46","1.47","0.49","0","0","0","0","0","0","1.47","3.44","0.98","1.47","1.47","7.37","8.84","22.33"
"83","Chris Kreider","NYR","L","82","129.96666666667","1.5849593495935","0.92","1.38","0.92","0.46","2.31","83.33","9.69","9.52","1.24","14.77","13.39","10.16","6","3.23","0.46","0","0","0","0","0","1.38","1.38","2.77","0.46","0.92","0.92","0.92","3.69","9.23"
"162","William Karlsson","VGK","C","69","130.95","1.8978260869565","0.46","0.46","0","0.46","0.92","100.00","4.58","10.00","0.56","6.87","6.87","5.04","3.21","0.46","0","0","0","0","0","0","0.92","0.46","1.83","0.46","0.92","4.58","10.54","12.37","21.08"
"506","Urho Vaakanainen","ANA","D","68","132.75","1.9522058823529","0","0.45","0","0.45","0.45","25.00","1.36","0.00","0.04","1.36","1.36","0.45","0","0.9","0","0","0","0","0","0","0","1.81","0","0.9","0.45","9.04","0","0","-"
"194","Scott Laughton","PHI","C","82","139.1","1.6963414634146","0.86","2.59","2.16","0.43","3.45","100.00","8.2","10.53","1.05","10.78","9.92","7.76","3.45","1.29","0.43","3.45","1.73","1.73","0","0","2.16","0.86","1.73","1.29","0.86","3.88","29.33","30.63","21.10"
"213","Adam Pelech","NYI","D","57","145.3","2.5491228070175","0","0.41","0","0.41","0.41","50.00","1.65","0.00","0.25","1.65","1.65","1.24","0","0.83","0","0","0","0","0","0","0.41","1.65","1.24","2.06","0","14.87","0","0","-"
"133","Mikael Granlund","S.J","C","68","148.18333333333","2.1791666666667","0","0.4","0","0.4","0.4","100.00","1.62","0.00","0.16","2.43","2.02","2.02","1.62","0","0.4","1.62","0.81","0.81","0","0","1.21","0.4","4.45","0.81","0.81","4.45","19.44","18.63","20.68"
"145","Josh Manson","COL","D","75","149.53333333333","1.9937777777778","0.4","0.4","0","0.4","0.8","100.00","2.01","20.00","0.15","2.81","2.81","0.8","0","0","0","2.01","0.4","0","0.4","0","1.2","0.4","3.21","7.22","2.01","10.03","0","0.4","0.00"
"576","K'Andre Miller","NYR","D","80","150.43333333333","1.8804166666667","0","0.4","0","0.4","0.4","16.67","0.8","0.00","0.34","2.79","2.39","1.2","1.2","0.4","0","1.6","0.8","0.8","0","0","0.8","0.8","3.19","1.2","0.8","4.39","0","0","-"
"168","Mika Zibanejad","NYR","C","81","154.03333333333","1.901646090535","0.78","1.56","1.17","0.39","2.34","85.71","4.28","18.18","0.4","7.01","7.01","3.51","0.78","0.78","0.78","0","0","0","0","0","1.56","0.78","5.45","0.39","0.78","3.51","22.59","37","14.77"
"330","Jake Walman","DET","D","63","154.25","2.4484126984127","0","0.39","0","0.39","0.39","20.00","1.94","0.00","0.08","3.11","2.33","0.78","0.78","1.56","0.39","0.78","0.39","0.39","0","0","1.94","1.94","1.94","0.78","0.39","12.84","0","0","-"
"482","Vincent Desharnais","EDM","D","76","154.98333333333","2.0392543859649","0","0.39","0","0.39","0.39","33.33","0","-","0","0","0","0","0","0","0","2.32","1.16","1.16","0","0","0.39","1.16","0.39","5.81","1.16","14.71","0","0","-"
"525","Dylan Samberg","WPG","D","77","154.15","2.0019480519481","0","0.39","0","0.39","0.39","33.33","1.17","0.00","0.02","1.17","1.17","0","0","0.39","0","1.56","0.78","0.78","0","0","0.78","2.72","2.34","3.5","1.95","9.73","0","0","-"
