"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"690","Kirby Dach","MTL","C","2","26.033333333333","13.016666666667","0","4.61","0","4.61","4.61","66.67","6.91","0.00","0.42","11.52","6.91","6.91","4.61","0","0","0","0","0","0","0","2.3","0","2.3","6.91","9.22","0","6.91","11.52","86.43"
"470","Kale Clague","BUF","D","2","20.4","10.2","0","2.94","0","2.94","2.94","100.00","2.94","0.00","0.16","8.82","2.94","8.82","0","0","0","5.88","2.94","2.94","0","0","0","0","0","0","2.94","0","0","0","-"
"368","Matthew Highmore","OTT","C","7","53.966666666667","7.7095238095238","0","2.22","0","2.22","2.22","100.00","1.11","0.00","0.69","6.67","6.67","4.45","3.34","0","1.11","0","0","0","0","0","1.11","2.22","0","2.22","7.78","4.45","2.22","2.22","55.59"
"353","Viktor Arvidsson","L.A","R","10","159.45","15.945","0.75","1.51","0","1.51","2.26","60.00","11.67","6.45","0.84","20.7","15.8","8.65","3.01","0.75","1.88","3.01","1.51","1.51","0","0","1.88","1.51","2.63","1.88","9.78","3.01","1.13","1.88","14.11"
"823","Josh Doan","ARI","R","3","40.433333333333","13.477777777778","2.97","4.45","2.97","1.48","7.42","100.00","17.81","16.67","2.69","23.74","20.77","20.77","16.32","1.48","2.97","0","0","0","0","0","0","1.48","2.97","1.48","2.97","2.97","0","0","-"
"379","Connor McDavid","EDM","C","71","1528.4666666667","21.527699530516","1.14","3.81","2.39","1.41","4.95","79.75","9.34","12.18","1.2","16.6","12.8","10.36","4.2","0.39","1.69","1.18","0.59","0.59","0","0","1.61","2.94","2.51","3.93","4.55","1.45","16.33","15.7","2.00"
"657","Jonatan Berggren","DET","R","12","130.33333333333","10.861111111111","0.92","1.84","0.46","1.38","2.76","66.67","6.45","14.29","0.49","10.59","9.21","4.6","1.84","0","0.92","0.92","0.46","0.46","0","0","2.3","0","1.38","0.92","3.68","3.22","0","0","-"
"618","Evan Bouchard","EDM","D","73","1684.5666666667","23.076255707763","0.57","2.14","0.82","1.32","2.71","49.03","7.02","8.12","0.4","15.67","9.65","4.27","0.39","0.18","1.28","0.85","0.43","0.43","0","0","0.36","2.49","1.89","2.07","3.56","3.53","0","0","-"
"169","Nikita Kucherov","T.B","R","73","1581.7","21.667123287671","1.59","3.22","1.93","1.29","4.82","80.89","10.92","14.58","1.15","22.38","16.16","9.29","3.07","0.23","1.44","0.83","0.42","0.42","0","0","0.72","3.45","2.05","1.37","2.35","1.18","0.08","0.08","1.90"
"285","Nathan MacKinnon","COL","C","75","1725.2333333333","23.003111111111","1.63","2.78","1.5","1.29","4.42","74.27","12.87","12.70","1.15","22.26","16.94","10.99","3.34","0.9","1.53","1.32","0.52","0.49","0","0.03","1.04","2.64","1.29","1.6","2.36","2.23","19.48","22.5","1.61"
"778","Tim Stützle","OTT","C","74","1564.05","21.135810810811","0.69","1.99","0.73","1.27","2.69","70.71","7.29","9.47","0.89","13.89","10.2","8.25","3.34","0.46","1.5","1.07","0.54","0.54","0","0","1.53","2.61","1.84","3.26","4.64","1.53","9.17","10.43","1.79"
"615","Quinn Hughes","VAN","D","74","1830.0166666667","24.729954954955","0.43","2.26","1.02","1.25","2.69","55.03","5.84","7.30","0.34","15.97","8.62","5.02","0.3","0.23","1.57","1.11","0.56","0.56","0","0","0.49","1.61","1.31","0.82","3.25","1.54","0","0","-"
"427","Artemi Panarin","NYR","L","75","1507.4","20.098666666667","1.75","2.55","1.31","1.23","4.3","78.83","10.71","16.36","1","22.73","15.13","9.87","2.35","0.52","1.71","0.88","0.44","0.44","0","0","0.88","2.59","1.27","0.56","1.31","0.56","0.04","0.36","0.40"
"748","Marc Del Gaizo","NSH","D","9","148.15","16.461111111111","0","1.21","0","1.21","1.21","37.50","3.24","0.00","0.14","10.53","5.26","3.24","0.81","0.81","0","0.81","0.4","0.4","0","0","0.81","1.62","1.62","7.69","4.45","4.05","0","0","-"
"799","Landon Slaggert","CHI","L","9","99.416666666667","11.046296296296","0","1.21","0","1.21","1.21","40.00","4.83","0.00","0.5","9.05","6.64","5.43","3.02","0","0.6","2.41","1.21","1.21","0","0","1.21","0","1.81","6.64","5.43","1.81","0","1.21","0.00"
"568","Cale Makar","COL","D","70","1742.8833333333","24.898333333333","0.65","2.13","0.93","1.2","2.79","58.27","7.4","8.84","0.51","17.49","11.33","5.89","0.79","0.48","1.14","0.48","0.24","0.24","0","0","0.83","1.34","2.2","1.17","0.9","4.54","0","0","-"
"557","Jason Robertson","DAL","L","75","1373.8666666667","18.318222222222","1.18","2.14","0.96","1.18","3.32","69.72","9.39","12.56","0.95","19.3","13.49","9.13","3.36","0.57","1.79","0.87","0.44","0.44","0","0","0.7","1.83","2.31","2.8","3.93","1.22","0","0","-"
"796","Roby Jarventie","OTT","L","7","52.65","7.5214285714286","0","1.14","0","1.14","1.14","100.00","5.7","0.00","0.76","9.12","6.84","5.7","4.56","0","1.14","4.56","2.28","2.28","0","0","0","3.42","1.14","4.56","4.56","6.84","12.54","27.35","35.82"
"458","Adam Fox","NYR","D","65","1517.4666666667","23.345641025641","0.59","2.02","0.91","1.11","2.61","61.68","4.74","12.50","0.36","10.2","6.76","3.4","0.67","0.32","0.71","1.42","0.71","0.71","0","0","0.87","1.11","1.62","1.38","2.49","4.31","0","0","-"
"792","Brendan Brisson","VGK","C","13","161.51666666667","12.424358974359","0.74","1.86","0.74","1.11","2.6","63.64","7.06","10.53","0.74","17.09","12.63","8.54","2.23","0.37","1.49","0.74","0.37","0.37","0","0","0.37","1.11","1.86","4.46","8.54","1.11","0.74","1.11","14.86"
"891","Sam Malinski","COL","D","23","327.18333333333","14.225362318841","0.55","1.28","0.18","1.1","1.83","52.63","5.68","9.68","0.2","13.57","8.99","3.3","0.55","0.55","0.92","1.1","0.55","0.55","0","0","0.55","1.83","1.47","2.38","4.03","4.03","0","0","-"
"474","Riley Tufte","COL","L","5","55.6","11.12","1.08","1.08","0","1.08","2.16","100.00","7.55","14.29","0.66","11.87","10.79","8.63","4.32","3.24","1.08","2.16","1.08","1.08","0","0","1.08","1.08","2.16","7.55","4.32","2.16","1.08","1.08","53.96"
"271","Shea Theodore","VGK","D","39","872.45","22.370512820513","0.34","2.2","1.17","1.03","2.54","67.27","6.05","5.68","0.34","16.23","9.28","3.92","0.41","0.07","1.51","0","0","0","0","0","0.21","1.31","1.51","0.41","2.48","4.54","0","0","-"
"218","Shayne Gostisbehere","DET","D","74","1407.75","19.023648648649","0.43","1.66","0.64","1.02","2.09","59.04","5.29","8.06","0.32","11.68","7.59","3.71","0.51","0.09","0.94","0.68","0.34","0.34","0","0","0.9","1.36","0.77","1.07","1.32","2.86","0","0","-"
"75","Ryan O'Reilly","NSH","C","75","1478.9833333333","19.719777777778","1.01","1.46","0.45","1.01","2.47","58.10","6.82","14.88","1.04","11.08","9.33","8.56","4.99","0.16","1.3","0.65","0.32","0.32","0","0","0.45","1.01","2.39","0.85","2.19","2.19","30.67","26.13","2.19"
"177","Dougie Hamilton","N.J","D","20","419.5","20.975","0.72","1.57","0.57","1","2.29","59.26","8.72","8.20","0.44","21.45","12.59","7.01","0.57","0.57","2.29","2.86","1.43","1.43","0","0","0","2","0.72","1.57","2.15","3.43","0","0","-"
"286","Aleksander Barkov","FLA","C","67","1316.4666666667","19.648756218905","1","2.32","1.32","1","3.33","68.87","8.29","12.09","1.02","15.82","12.21","9.34","3.87","0.59","1.37","1.09","0.5","0.5","0","0","0.68","1.32","2.51","3.55","3.33","2.14","26.53","19.73","2.61"
"721","Jakob Pelletier","CGY","L","13","120.51666666667","9.2705128205128","0.5","1","0","1","1.49","60.00","4.48","11.11","0.46","8.96","5.48","3.98","2.49","0.5","0.5","1","0.5","0.5","0","0","0","1.49","2.49","4.98","2.49","1.49","1.99","1.99","24.89"
"78","Victor Hedman","T.B","D","71","1760.8833333333","24.80117370892","0.41","2.01","1.02","0.99","2.42","51.45","5.08","8.05","0.38","12.54","8.28","4.09","0.61","0.17","1.16","2.18","0.82","0.75","0","0.07","0.24","1.64","0.72","1.6","1.7","3.2","0","0","-"
"664","Cole Koepke","T.B","L","9","60.316666666667","6.7018518518519","0","1.99","0.99","0.99","1.99","66.67","8.95","0.00","1.15","14.92","12.93","5.97","3.98","0","0.99","0","0","0","0","0","0.99","0.99","1.99","16.91","6.96","0.99","0","0","-"
"790","Hendrix Lapierre","WSH","C","43","484.3","11.262790697674","0.99","1.36","0.37","0.99","2.35","65.52","5.7","17.39","0.56","10.04","8.18","5.45","2.85","0.37","0.5","0.5","0.12","0.12","0","0","0.74","1.86","1.36","2.11","2.97","3.1","10.78","16.97","4.81"
"864","Tristan Luneau","ANA","D","7","122.85","17.55","0.49","0.98","0","0.98","1.47","50.00","4.88","10.00","0.25","8.79","6.84","2.44","0.49","0","0.98","1.95","0.49","0.49","0","0","0.49","1.47","0","2.44","3.42","1.95","0","0","-"
"201","Mark Jankowski","NSH","C","25","310.2","12.408","1.16","1.35","0.39","0.97","2.51","81.25","7.54","15.38","0.9","13.35","11.03","10.25","4.26","0.39","0.19","0.39","0.19","0.19","0","0","0.19","1.16","2.71","1.35","4.06","1.74","11.22","11.61","9.51"
"694","Alex Turcotte","L.A","C","20","185.6","9.28","0.32","0.97","0","0.97","1.29","44.44","4.53","7.14","0.73","11.64","8.73","6.14","3.88","0","0.65","1.94","0.97","0.97","0","0","0.97","0.32","1.94","2.26","11.31","3.23","6.79","6.79","16.16"
"219","Mackenzie MacEachern","STL","L","8","62.95","7.86875","0","0.95","0","0.95","0.95","50.00","3.81","0.00","0.21","5.72","5.72","1.91","0.95","0","0","0","0","0","0","0","0.95","0.95","1.91","8.58","7.63","1.91","0","0","-"
"317","Leon Draisaitl","EDM","C","73","1517.5833333333","20.788812785388","1.54","2.37","1.42","0.95","3.91","69.23","8.03","19.21","1.04","15.62","11.94","8.9","3.12","0.28","1.3","2.93","1.15","1.07","0","0.08","0.75","3.08","3.12","1.74","4.43","0.87","29.45","22.38","2.25"
"322","Kevin Fiala","L.A","L","74","1328","17.945945945946","1.13","1.85","0.9","0.95","2.98","74.16","9.04","12.50","1","19.07","13.87","9.4","3.3","0.36","1.63","2.62","1.08","1.04","0","0.05","0.77","2.26","1.99","2.35","3.7","1.13","0.45","1.17","1.26"
"550","Elias Pettersson","VAN","C","74","1456.3333333333","19.68018018018","1.36","2.1","1.15","0.95","3.46","66.67","7.87","17.28","1.07","15.24","11.33","7.91","3.25","0.54","1.24","0.41","0.21","0.21","0","0","1.11","1.11","1.81","3.91","4.33","2.51","14.67","14.17","2.10"
"146","Mark Stone","VGK","R","56","1086.8","19.407142857143","0.88","2.04","1.1","0.94","2.93","73.61","6.46","13.68","0.96","11.7","8.94","7.56","3.81","0.22","1.1","1.21","0.61","0.61","0","0","0.66","1.6","3.42","1.6","1.6","2.21","0","0.22","0.00"
"506","Hardy Haman Aktell","WSH","D","6","63.783333333333","10.630555555556","0","0.94","0","0.94","0.94","50.00","4.7","0.00","0.21","13.17","7.53","4.7","0","0","0","1.88","0.94","0.94","0","0","0","1.88","0.94","7.53","6.58","4.7","0","0","-"
"407","Zach Werenski","CBJ","D","63","1541.0333333333","24.460846560847","0.27","1.6","0.66","0.93","1.87","48.98","7.32","3.72","0.41","15.92","10.32","5.06","1.05","0.23","1.52","0.86","0.43","0.43","0","0","0.12","0.93","1.17","0.7","1.44","4.63","0","0","-"
"500","Filip Hronek","VAN","D","74","1740.9833333333","23.526801801802","0.17","1.41","0.48","0.93","1.59","40.71","4.76","3.62","0.25","12.06","7.44","3.17","0.38","0.17","0.83","1.24","0.62","0.62","0","0","0.48","1.69","0.76","2.79","2.79","2.65","0","0","-"
"277","Nic Petan","MIN","C","6","65","10.833333333333","0","1.85","0.92","0.92","1.85","66.67","10.15","0.00","1.16","17.54","12.92","8.31","3.69","0","0.92","1.85","0.92","0.92","0","0","0","0.92","1.85","2.77","0.92","0.92","1.85","2.77","36.92"
"481","Josh Mahura","FLA","D","26","329.03333333333","12.655128205128","0","1.46","0.55","0.91","1.46","72.73","4.19","0.00","0.19","8.39","5.65","2.55","0.36","0.18","0.18","3.28","1.64","1.64","0","0","1.28","0.91","0.55","5.29","6.93","3.65","0","0","-"
"33","Jamie Benn","DAL","L","75","1128.15","15.042","0.96","1.91","1.01","0.9","2.87","67.50","7.66","12.50","0.99","13.56","10.11","7.76","4.41","0.48","1.54","2.18","0.9","0.85","0.05","0","1.06","1.44","2.45","4.47","2.87","2.5","21.7","13.51","3.28"
"138","Mikael Granlund","S.J","C","61","1263.1333333333","20.707103825137","0.57","1.85","0.95","0.9","2.42","69.86","5.42","10.53","0.64","10.64","7.7","5.65","2","0.43","0.9","1.43","0.71","0.71","0","0","0.81","0.86","2.04","2.23","4.09","2.47","20.71","23.23","2.24"
"770","Jack Quinn","BUF","R","21","332.4","15.828571428571","0.9","1.44","0.54","0.9","2.35","81.25","7.22","12.50","0.95","14.8","11.55","7.22","2.89","0.18","1.08","1.08","0.54","0.54","0","0","0.36","1.08","1.26","3.43","5.42","1.26","0.54","1.08","6.02"
"295","Max Domi","TOR","C","74","1010.4166666667","13.654279279279","0.48","2.02","1.13","0.89","2.49","61.76","7.3","6.50","0.66","13.6","10.27","6.35","2.73","0.65","1.01","5.76","1.72","1.25","0.3","0.18","1.01","2.26","1.43","2.73","3.68","1.25","13.24","12.95","3.00"
"296","Josh Morrissey","WPG","D","75","1817.4","24.232","0.3","1.72","0.83","0.89","2.01","52.59","6.21","4.79","0.36","14","9.11","4.23","0.63","0.13","0.76","1.45","0.73","0.73","0","0","0.63","1.32","1.35","2.54","2.74","3.2","0","0","-"
"320","William Nylander","TOR","R","74","1476.4666666667","19.952252252252","1.63","2.24","1.34","0.89","3.86","77.87","11.74","13.84","1.16","20.89","15.65","10.89","3.82","0.77","1.79","0.89","0.45","0.45","0","0","0.73","1.75","2.64","1.06","3.33","1.14","1.91","2.32","1.84"
"53","Steven Stamkos","T.B","C","71","1296.25","18.257042253521","1.43","1.67","0.79","0.88","3.1","65.05","10.41","13.78","1.12","19.39","14.67","10.37","2.96","0.14","1.57","1.39","0.69","0.69","0","0","0.56","2.08","0.88","2.96","2.64","1.85","14.35","12.03","2.52"
