"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"690","Kirby Dach","MTL","C","2","18.933333333333","9.4666666666667","0","6.34","0","6.34","6.34","100.00","9.51","0.00","0.58","15.85","9.51","9.51","6.34","0","0","0","0","0","0","0","3.17","0","3.17","9.51","9.51","0","9.51","15.85","118.84"
"470","Kale Clague","BUF","D","2","20.4","10.2","0","2.94","0","2.94","2.94","100.00","2.94","0.00","0.16","8.82","2.94","8.82","0","0","0","5.88","2.94","2.94","0","0","0","0","0","0","2.94","0","0","0","-"
"368","Matthew Highmore","OTT","C","7","45.283333333333","6.4690476190476","0","2.65","0","2.65","2.65","100.00","1.32","0.00","0.71","6.62","6.62","5.3","3.97","0","1.32","0","0","0","0","0","1.32","1.32","0","2.65","9.27","3.97","2.65","2.65","66.25"
"657","Jonatan Berggren","DET","R","12","121.63333333333","10.136111111111","0.99","1.97","0.49","1.48","2.96","75.00","6.91","14.29","0.48","10.36","8.88","4.93","1.97","0","0.99","0.99","0.49","0.49","0","0","2.47","0","1.48","0.99","3.45","3.45","0","0","-"
"823","Josh Doan","ARI","R","3","40.433333333333","13.477777777778","2.97","4.45","2.97","1.48","7.42","100.00","17.81","16.67","2.69","23.74","20.77","20.77","16.32","1.48","2.97","0","0","0","0","0","0","1.48","2.97","1.48","2.97","2.97","0","0","-"
"748","Marc Del Gaizo","NSH","D","9","134.05","14.894444444444","0","1.34","0","1.34","1.34","37.50","3.58","0.00","0.16","11.64","5.82","3.58","0.9","0.9","0","0.9","0.45","0.45","0","0","0.9","1.79","1.79","8.5","4.92","4.03","0","0","-"
"799","Landon Slaggert","CHI","L","9","93.833333333333","10.425925925926","0","1.28","0","1.28","1.28","40.00","5.12","0.00","0.53","8.95","7.03","5.12","3.2","0","0.64","2.56","1.28","1.28","0","0","1.28","0","1.28","7.03","5.75","1.92","0","0.64","0.00"
"379","Connor McDavid","EDM","C","71","1260.1833333333","17.749061032864","0.95","2.95","1.81","1.14","3.9","80.39","8.67","10.99","1.05","15.66","12.19","9.52","4.09","0.38","1.67","1.05","0.52","0.52","0","0","1.76","3.19","2.76","4.57","4.62","1.71","18.81","17.62","2.46"
"796","Roby Jarventie","OTT","L","7","52.65","7.5214285714286","0","1.14","0","1.14","1.14","100.00","5.7","0.00","0.76","9.12","6.84","5.7","4.56","0","1.14","4.56","2.28","2.28","0","0","0","3.42","1.14","4.56","4.56","6.84","12.54","27.35","35.82"
"474","Riley Tufte","COL","L","5","53.866666666667","10.773333333333","1.11","1.11","0","1.11","2.23","100.00","7.8","14.29","0.69","12.25","11.14","8.91","4.46","3.34","1.11","2.23","1.11","1.11","0","0","1.11","1.11","2.23","7.8","4.46","2.23","1.11","1.11","55.69"
"201","Mark Jankowski","NSH","C","25","273.01666666667","10.920666666667","1.32","1.32","0.22","1.1","2.64","85.71","8.13","16.22","1.01","14.5","12.09","11.65","4.83","0.44","0.22","0.44","0.22","0.22","0","0","0.22","1.1","2.86","1.54","4.4","1.98","10.77","10.77","10.99"
"790","Hendrix Lapierre","WSH","C","43","439.93333333333","10.231007751938","1.09","1.36","0.27","1.09","2.45","90.00","5.86","18.60","0.54","9.96","8.46","5.32","3","0.41","0.41","0.55","0.14","0.14","0","0","0.82","1.91","1.5","2.18","3","3.27","11.87","18.41","5.34"
"664","Cole Koepke","T.B","L","9","59.616666666667","6.6240740740741","0","2.01","1.01","1.01","2.01","66.67","9.06","0.00","1.16","15.1","13.08","6.04","4.03","0","1.01","0","0","0","0","0","1.01","1.01","2.01","17.11","7.05","1.01","0","0","-"
"721","Jakob Pelletier","CGY","L","13","119.08333333333","9.1602564102564","0.5","1.01","0","1.01","1.51","60.00","4.53","11.11","0.47","9.07","5.54","4.03","2.52","0.5","0.5","1.01","0.5","0.5","0","0","0","1.51","2.52","5.04","2.52","1.51","2.02","2.02","25.19"
"75","Ryan O'Reilly","NSH","C","75","1090.9","14.545333333333","0.61","1.43","0.44","0.99","2.04","56.06","6.33","9.57","0.8","10.12","8.47","7.43","4.18","0.17","1.1","0.44","0.22","0.22","0","0","0.55","1.05","2.81","0.88","2.26","2.64","31.35","25.85","3.01"
"146","Mark Stone","VGK","R","56","789.08333333333","14.090773809524","0.76","1.9","0.91","0.99","2.66","79.55","5.85","12.99","0.79","11.18","8.29","6.54","2.74","0.23","0.91","0.76","0.38","0.38","0","0","0.68","1.6","3.73","1.9","1.6","2.43","0","0.23","0.00"
"864","Tristan Luneau","ANA","D","7","121.78333333333","17.397619047619","0.49","0.99","0","0.99","1.48","50.00","4.93","10.00","0.25","8.87","6.9","2.46","0.49","0","0.99","1.97","0.49","0.49","0","0","0.49","1.48","0","2.46","3.45","1.97","0","0","-"
"694","Alex Turcotte","L.A","C","20","183.11666666667","9.1558333333333","0.33","0.98","0","0.98","1.31","44.44","4.59","7.14","0.71","11.14","8.52","5.9","3.93","0","0.66","1.97","0.98","0.98","0","0","0.98","0.33","1.97","2.29","11.47","3.28","6.88","6.88","16.38"
"481","Josh Mahura","FLA","D","26","310.15","11.928846153846","0","1.35","0.39","0.97","1.35","63.64","4.26","0.00","0.18","8.71","5.8","2.51","0.39","0","0","3.48","1.74","1.74","0","0","1.35","0.97","0.58","4.84","7.16","3.87","0","0","-"
"723","Shane Pinto","OTT","C","33","493.35","14.95","0.61","1.82","0.85","0.97","2.43","68.97","8.63","7.04","1.1","14.23","12.04","9.24","5.47","0.61","1.09","0.73","0.36","0.36","0","0","0.49","1.46","1.95","3.16","4.13","3.16","24.32","22.26","6.35"
"219","Mackenzie MacEachern","STL","L","8","62.883333333333","7.8604166666667","0","0.95","0","0.95","0.95","50.00","3.82","0.00","0.21","5.72","5.72","1.91","0.95","0","0","0","0","0","0","0","0.95","0.95","1.91","8.59","7.63","1.91","0","0","-"
"506","Hardy Haman Aktell","WSH","D","6","63.366666666667","10.561111111111","0","0.95","0","0.95","0.95","50.00","4.73","0.00","0.21","13.26","7.57","4.73","0","0","0","1.89","0.95","0.95","0","0","0","1.89","0.95","7.57","6.63","4.73","0","0","-"
