"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"169","Nikita Kucherov","T.B","R","73","1581.7","42","85","51","34","127","80.89","288","14.58","30.3","590","426","245","81","6","38","22","11","11","0","0","19","91","54","36","62","31","2","2","50.00"
"285","Nathan MacKinnon","COL","C","75","1725.2333333333","47","80","43","37","127","74.27","370","12.70","33.06","640","487","316","96","26","44","38","15","14","0","1","30","76","37","46","68","64","560","647","46.40"
"379","Connor McDavid","EDM","C","71","1528.4666666667","29","97","61","36","126","79.75","238","12.18","30.64","423","326","264","107","10","43","30","15","15","0","0","41","75","64","100","116","37","416","400","50.98"
"427","Artemi Panarin","NYR","L","75","1507.4","44","64","33","31","108","78.83","269","16.36","25.08","571","380","248","59","13","43","22","11","11","0","0","22","65","32","14","33","14","1","9","10.00"
"333","David Pastrnak","BOS","R","76","1520.6666666667","46","58","36","22","104","81.25","359","12.81","35.38","679","498","315","97","20","58","47","18","16","1","1","26","85","52","55","121","19","6","16","27.27"
"387","Mikko Rantanen","COL","R","75","1746.5833333333","39","61","36","25","100","62.50","254","15.35","30.08","500","376","292","110","10","37","48","23","23","0","0","21","39","42","43","129","46","261","223","53.93"
"317","Leon Draisaitl","EDM","C","73","1517.5833333333","39","60","36","24","99","69.23","203","19.21","26.42","395","302","225","79","7","33","74","29","27","0","2","19","78","79","44","112","22","745","566","56.83"
"455","Auston Matthews","TOR","C","73","1532.65","62","36","22","14","98","71.01","324","19.14","39.87","602","467","385","173","18","54","16","4","3","0","1","16","52","77","76","74","85","646","553","53.88"
"320","William Nylander","TOR","R","74","1476.4666666667","40","55","33","22","95","77.87","289","13.84","28.47","514","385","268","94","19","44","22","11","11","0","0","18","43","65","26","82","28","47","57","45.19"
"180","J.T. Miller","VAN","C","74","1447.6166666667","35","59","41","18","94","74.60","173","20.23","25.94","339","274","210","104","13","27","49","23","22","1","0","17","47","34","185","79","57","745","592","55.72"
"316","Sam Reinhart","FLA","C","76","1542.3333333333","52","35","21","14","87","71.31","212","24.53","36.07","408","328","273","142","14","42","31","12","11","1","0","11","30","37","59","114","63","219","277","44.15"
"390","Sebastian Aho","CAR","C","72","1412.8166666667","33","52","33","19","85","73.91","202","16.34","23.7","370","288","195","84","16","29","32","14","14","0","0","10","55","44","39","61","15","529","446","54.26"
"12","Sidney Crosby","PIT","C","75","1498.85","39","45","30","15","84","70.00","258","15.12","35.74","446","364","261","120","16","46","38","19","19","0","0","23","52","60","73","38","35","1002","711","58.49"
"211","Filip Forsberg","NSH","L","75","1414.15","41","43","24","19","84","72.41","309","13.27","31.67","632","444","282","116","16","64","41","19","18","1","0","24","75","68","120","77","38","11","10","52.38"
"550","Elias Pettersson","VAN","C","74","1456.3333333333","33","51","28","23","84","66.67","191","17.28","25.98","370","275","192","79","13","30","10","5","5","0","0","27","27","44","95","105","61","356","344","50.86"
"436","Kirill Kaprizov","MIN","L","67","1426.0833333333","37","46","30","16","83","70.34","239","15.48","31.53","504","360","282","125","14","52","28","13","13","0","0","22","66","33","46","70","35","0","1","0.00"
"345","Brayden Point","T.B","C","73","1463.8833333333","42","40","23","17","82","63.08","202","20.79","30.11","374","287","286","148","7","40","12","6","6","0","0","14","31","36","14","51","41","258","305","45.83"
"615","Quinn Hughes","VAN","D","74","1830.0166666667","13","69","31","38","82","55.03","178","7.30","10.23","487","263","153","9","7","48","34","17","17","0","0","15","49","40","25","99","47","0","0","-"
"568","Cale Makar","COL","D","70","1742.8833333333","19","62","27","35","81","58.27","215","8.84","14.92","508","329","171","23","14","33","14","7","7","0","0","24","39","64","34","26","132","0","0","-"
"452","Matthew Tkachuk","FLA","L","74","1382.45","23","57","40","17","80","67.80","255","9.02","32.65","455","358","258","159","6","50","82","30","26","2","2","47","55","36","128","63","27","3","5","37.50"
"61","Roman Josi","NSH","D","75","1847.2166666667","19","57","34","23","76","58.02","245","7.76","15","547","348","196","22","9","46","43","20","19","1","0","13","57","28","38","99","136","0","0","-"
"399","Mathew Barzal","NYI","C","74","1482.6333333333","23","53","36","17","76","72.38","221","10.41","21.06","382","297","183","77","15","34","34","17","17","0","0","23","80","81","46","46","48","48","63","43.24"
"416","Mitchell Marner","TOR","R","62","1322.4166666667","25","51","35","16","76","69.72","145","17.24","18.08","325","227","173","65","11","23","16","8","8","0","0","13","54","48","43","65","46","2","10","16.67"
"557","Jason Robertson","DAL","L","75","1373.8666666667","27","49","22","27","76","69.72","215","12.56","21.76","442","309","209","77","13","41","20","10","10","0","0","16","42","53","64","90","28","0","0","-"
"618","Evan Bouchard","EDM","D","73","1684.5666666667","16","60","23","37","76","49.03","197","8.12","11.3","440","271","120","11","5","36","24","12","12","0","0","10","70","53","58","100","99","0","0","-"
"157","Vincent Trocheck","NYR","C","75","1603.5333333333","25","50","36","14","75","56.39","197","12.69","29.7","405","327","272","119","4","38","53","25","24","1","0","23","31","45","134","108","80","812","558","59.27"
"492","Jesper Bratt","N.J","L","75","1433","25","49","30","19","74","61.67","233","10.73","26.97","411","324","267","112","19","37","12","6","6","0","0","16","42","38","45","59","29","8","13","38.10"
"555","Robert Thomas","STL","C","75","1575.95","23","51","30","21","74","74.00","156","14.74","21.15","304","225","186","75","8","23","38","15","14","0","1","15","50","65","13","71","42","795","712","52.75"
"286","Aleksander Barkov","FLA","C","67","1316.4666666667","22","51","29","22","73","68.87","182","12.09","22.31","347","268","205","85","13","30","24","11","11","0","0","15","29","55","78","73","47","582","433","57.34"
"131","Zach Hyman","EDM","L","72","1408.9166666667","52","20","11","9","72","49.32","268","19.40","46.74","447","372","342","235","12","51","46","23","23","0","0","20","18","34","58","138","35","7","9","43.75"
"78","Victor Hedman","T.B","D","71","1760.8833333333","12","59","30","29","71","51.45","149","8.05","11.12","368","243","120","18","5","34","64","24","22","0","2","7","48","21","47","50","94","0","0","-"
