"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"285","Nathan MacKinnon","COL","C","75","1372.85","37","46","27","19","83","75.45","257","14.40","22.19","450","338","238","88","26","35","38","15","14","0","1","26","60","35","44","60","64","507","606","45.55"
"379","Connor McDavid","EDM","C","71","1260.1833333333","20","62","38","24","82","80.39","182","10.99","22.01","329","256","200","86","8","35","22","11","11","0","0","37","67","58","96","97","36","395","370","51.63"
"169","Nikita Kucherov","T.B","R","73","1288.2833333333","30","50","30","20","80","80.00","215","13.95","21.71","453","318","205","72","6","28","16","8","8","0","0","17","73","49","35","58","31","2","2","50.00"
"455","Auston Matthews","TOR","C","73","1230.8833333333","47","24","16","8","71","75.53","255","18.43","29.07","462","366","303","143","15","40","16","4","3","0","1","13","46","65","72","66","78","576","500","53.53"
"333","David Pastrnak","BOS","R","76","1224.25","32","37","27","10","69","85.19","264","12.12","25.93","495","368","238","85","19","45","43","16","14","1","1","25","69","49","51","101","18","6","13","31.58"
"427","Artemi Panarin","NYR","L","75","1237.1333333333","34","35","18","17","69","82.14","194","17.53","18.66","399","277","191","54","13","32","20","10","10","0","0","21","53","31","12","30","11","1","8","11.11"
"12","Sidney Crosby","PIT","C","75","1220.9666666667","30","34","25","9","64","71.11","197","15.23","24.94","329","272","194","90","16","30","32","16","16","0","0","23","38","57","70","34","35","804","575","58.30"
"317","Leon Draisaitl","EDM","C","73","1228.45","20","40","25","15","60","68.97","123","16.26","13.97","250","186","152","57","7","24","64","24","22","0","2","18","67","72","43","98","21","544","411","56.96"
"387","Mikko Rantanen","COL","R","75","1386.85","25","35","20","15","60","61.22","177","14.12","18.32","347","262","205","82","9","28","46","22","22","0","0","20","26","42","37","112","45","172","159","51.96"
"211","Filip Forsberg","NSH","L","75","1143.4333333333","32","25","14","11","57","74.03","226","14.16","23.58","455","331","209","98","15","48","35","16","15","1","0","23","62","65","113","66","38","11","8","57.89"
"320","William Nylander","TOR","R","74","1153.5666666667","26","31","21","10","57","76.00","202","12.87","18.18","355","266","185","66","17","31","16","8","8","0","0","18","30","50","23","71","22","37","49","43.02"
"510","Brandon Hagel","T.B","L","74","1192.6166666667","20","37","27","10","57","74.03","144","13.89","21.64","276","206","183","77","10","25","69","25","22","1","2","29","32","36","36","125","33","21","32","39.62"
"180","J.T. Miller","VAN","C","74","1085.0666666667","23","33","22","11","56","71.79","110","20.91","14.42","217","176","139","55","7","16","43","20","19","1","0","15","43","23","175","66","52","544","444","55.06"
"131","Zach Hyman","EDM","L","72","1171.1833333333","37","16","8","8","53","55.21","206","17.96","32.7","358","289","258","163","12","39","32","16","16","0","0","18","16","34","56","128","35","7","9","43.75"
"345","Brayden Point","T.B","C","73","1195.65","28","25","14","11","53","67.09","148","18.92","19.44","270","209","186","97","7","23","8","4","4","0","0","14","26","34","13","47","38","242","278","46.54"
"390","Sebastian Aho","CAR","C","72","1073.85","23","30","20","10","53","72.60","138","16.67","16.2","268","213","142","65","10","20","24","11","11","0","0","10","44","34","36","56","12","384","357","51.82"
"550","Elias Pettersson","VAN","C","74","1070.85","21","32","20","12","53","67.95","119","17.65","16.9","236","173","139","63","9","20","6","3","3","0","0","23","16","36","88","94","52","315","308","50.56"
"157","Vincent Trocheck","NYR","C","75","1228.8166666667","13","38","26","12","51","63.75","136","9.56","16.72","289","228","175","75","3","28","43","20","19","1","0","22","25","36","133","93","71","597","427","58.30"
"399","Mathew Barzal","NYI","C","74","1251.9333333333","18","33","29","4","51","72.86","182","9.89","17.25","316","247","152","72","15","31","22","11","11","0","0","23","69","80","45","39","46","48","63","43.24"
"416","Mitchell Marner","TOR","R","62","998.95","17","34","22","12","51","75.00","106","16.04","11.71","260","178","135","48","7","13","10","5","5","0","0","12","46","41","42","52","36","2","7","22.22"
"263","Carter Verhaeghe","FLA","C","75","1104.6833333333","25","25","17","8","50","72.46","193","12.95","22.25","389","266","214","84","14","30","30","15","15","0","0","9","33","39","57","107","18","31","40","43.66"
"557","Jason Robertson","DAL","L","75","1161.6833333333","19","31","19","12","50","68.49","167","11.38","15.97","344","241","154","59","13","32","18","9","9","0","0","15","37","52","61","84","28","0","0","-"
"615","Quinn Hughes","VAN","D","74","1492.9833333333","11","39","17","22","50","49.50","139","7.91","7.27","374","202","114","8","7","39","28","14","14","0","0","11","44","34","20","92","42","0","0","-"
"778","Tim Stützle","OTT","C","74","1258.5","17","33","15","18","50","71.43","153","11.11","18.61","279","216","166","77","11","30","22","11","11","0","0","36","46","40","81","113","37","215","256","45.65"
