"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"169","Nikita Kucherov","T.B","R","80","1731.25","43","99","61","38","142","82.56","302","14.24","32.03","627","453","261","85","6","42","22","11","11","0","0","22","96","61","39","71","34","2","2","50.00"
"286","Nathan MacKinnon","COL","C","81","1853.1166666667","51","87","49","38","138","74.59","404","12.62","34.81","690","525","337","103","29","45","42","17","16","0","1","32","82","41","49","77","69","605","697","46.47"
"381","Connor McDavid","EDM","C","75","1605.1333333333","32","100","62","38","132","79.04","261","12.26","32.87","450","352","280","113","11","45","30","15","15","0","0","41","82","68","104","120","38","435","418","51.00"
"429","Artemi Panarin","NYR","L","82","1649.75","49","71","37","34","120","80.00","303","16.17","28.44","651","431","285","66","13","50","24","12","12","0","0","22","72","34","14","39","15","1","9","10.00"
"334","David Pastrnak","BOS","R","82","1634.2333333333","47","63","39","24","110","80.88","382","12.30","37.42","718","530","336","105","24","60","47","18","16","1","1","30","98","54","63","128","19","8","16","33.33"
"457","Auston Matthews","TOR","C","80","1677.2333333333","69","38","24","14","107","70.39","359","19.22","45.06","678","521","429","193","18","61","18","5","4","0","1","18","54","84","84","81","91","703","607","53.66"
"318","Leon Draisaitl","EDM","C","80","1657","41","65","38","27","106","69.74","215","19.07","28.07","422","324","235","81","8","36","76","30","28","0","2","20","92","82","54","125","26","814","619","56.80"
"180","J.T. Miller","VAN","C","81","1578.6333333333","37","66","44","22","103","75.18","194","19.07","28.33","376","304","232","113","15","32","58","26","24","2","0","19","50","36","196","83","61","823","638","56.33"
"389","Mikko Rantanen","COL","R","79","1813.2","41","62","36","26","103","62.05","268","15.30","31.75","521","395","306","116","10","40","50","24","24","0","0","21","43","43","45","134","48","271","231","53.98"
"321","William Nylander","TOR","R","81","1615.4333333333","40","57","35","22","97","74.62","311","12.86","30.44","570","415","290","99","21","49","24","12","12","0","0","20","45","68","30","90","29","56","63","47.06"
"438","Kirill Kaprizov","MIN","L","74","1593.1","45","50","33","17","95","70.90","272","16.54","35.57","570","408","313","136","14","60","36","17","17","0","0","25","71","38","50","73","37","0","1","0.00"
"211","Filip Forsberg","NSH","L","82","1550.25","48","46","25","21","94","72.31","347","13.83","36.6","700","499","314","130","18","70","43","20","19","1","0","30","80","76","128","81","44","11","11","50.00"
"317","Sam Reinhart","FLA","C","82","1664.5833333333","57","37","22","15","94","71.76","233","24.46","39.24","446","358","298","156","16","48","31","12","11","1","0","12","35","40","70","126","66","234","296","44.15"
