"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"286","Nathan MacKinnon","COL","C","81","1481.4833333333","41","50","31","19","91","75.21","283","14.49","23.37","490","367","256","95","29","36","42","17","16","0","1","28","66","39","47","69","69","551","656","45.65"
"169","Nikita Kucherov","T.B","R","80","1405.0833333333","30","60","39","21","90","81.82","224","13.39","22.3","475","333","213","74","6","31","16","8","8","0","0","19","78","56","37","66","34","2","2","50.00"
"381","Connor McDavid","EDM","C","75","1318.1333333333","23","63","39","24","86","78.90","196","11.73","23.31","345","272","212","90","9","37","22","11","11","0","0","37","72","62","100","101","37","412","387","51.56"
"457","Auston Matthews","TOR","C","80","1348.3666666667","51","26","18","8","77","74.76","278","18.35","32.36","521","405","338","157","15","44","18","5","4","0","1","15","47","72","79","73","83","632","550","53.47"
"429","Artemi Panarin","NYR","L","82","1353.25","38","37","19","18","75","83.33","218","17.43","21.11","455","314","218","61","13","35","20","10","10","0","0","21","59","33","12","36","12","1","8","11.11"
"334","David Pastrnak","BOS","R","82","1316.7833333333","33","40","30","10","73","83.91","284","11.62","27.46","527","395","255","92","23","46","43","16","14","1","1","29","79","51","59","106","18","8","13","38.10"
"12","Sidney Crosby","PIT","C","81","1319.1","32","39","27","12","71","71.00","210","15.24","26.51","357","293","210","97","16","36","34","17","17","0","0","28","41","64","82","42","37","859","618","58.16"
"318","Leon Draisaitl","EDM","C","80","1340.7833333333","20","45","27","18","65","69.89","129","15.50","14.49","264","196","157","58","8","25","64","24","22","0","2","19","77","75","53","110","25","594","450","56.90"
"389","Mikko Rantanen","COL","R","79","1445.7166666667","27","36","20","16","63","61.17","189","14.29","19.86","365","279","217","87","9","31","46","22","22","0","0","20","30","42","39","117","47","178","166","51.74"
"512","Brandon Hagel","T.B","L","81","1296.2833333333","22","41","30","11","63","75.00","161","13.66","23.35","304","228","200","82","11","26","75","28","25","1","2","31","34","44","43","137","37","21","35","37.50"
"211","Filip Forsberg","NSH","L","82","1257.8833333333","35","27","15","12","62","73.81","252","13.89","26.93","503","369","229","106","17","52","37","17","16","1","0","29","67","73","120","70","44","11","9","55.00"
"180","J.T. Miller","VAN","C","81","1181.7","25","36","24","12","61","72.62","124","20.16","16.18","241","196","156","64","9","20","47","22","21","1","0","16","45","25","185","69","56","603","476","55.89"
"321","William Nylander","TOR","R","81","1261.5166666667","26","32","22","10","58","74.36","217","11.98","19.47","400","288","204","70","18","36","18","9","9","0","0","20","31","53","26","79","23","46","54","46.00"
"346","Brayden Point","T.B","C","80","1306.15","31","27","15","12","58","68.24","167","18.56","21.7","301","234","211","111","7","27","8","4","4","0","0","16","30","34","14","54","41","272","313","46.50"
