"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"194","Scott Laughton","PHI","C","82","139.1","2","6","5","1","8","100.00","19","10.53","2.43","25","23","18","8","3","1","8","4","4","0","0","5","2","4","3","2","9","68","71","48.92"
"374","Travis Konecny","PHI","R","76","119.03333333333","6","1","0","1","7","87.50","24","25.00","2.16","32","29","19","6","7","2","4","2","2","0","0","1","3","9","15","1","4","3","6","33.33"
"617","Yegor Sharangovich","CGY","C","81","122.11666666667","3","4","3","1","7","100.00","13","23.08","1.28","19","15","11","5","3","1","0","0","0","0","0","0","3","7","2","3","3","15","18","45.45"
"663","Simon Holmstrom","NYI","R","74","104.31666666667","5","2","2","0","7","87.50","11","45.45","1.18","14","11","9","6","3","0","2","1","1","0","0","2","2","10","0","0","6","1","3","25.00"
"154","Blake Coleman","CGY","C","77","119","4","2","2","0","6","85.71","10","40.00","1.08","15","13","11","6","2","1","13","5","4","1","0","4","3","5","2","1","8","0","3","0.00"
"155","Jean-Gabriel Pageau","NYI","C","81","157.18333333333","1","5","5","0","6","85.71","14","7.14","1.36","20","20","10","4","4","0","0","0","0","0","0","1","5","3","3","2","15","89","94","48.63"
"168","Mika Zibanejad","NYR","C","81","154.03333333333","2","4","3","1","6","85.71","11","18.18","1.03","18","18","9","2","2","2","0","0","0","0","0","4","2","14","1","2","9","58","95","37.91"
"61","Adam Henrique","ANA, EDM","C","80","172.31666666667","2","3","3","0","5","100.00","9","22.22","1.49","14","13","6","2","0","0","0","0","0","0","0","2","0","8","3","1","22","93","102","47.69"
"83","Chris Kreider","NYR","L","82","129.96666666667","2","3","2","1","5","83.33","21","9.52","2.69","32","29","22","13","7","1","0","0","0","0","0","3","3","6","1","2","2","2","8","20.00"
"112","Charlie Coyle","BOS","C","82","201.85","1","4","4","0","5","100.00","13","7.69","1.19","21","17","10","8","6","0","4","2","2","0","0","3","3","12","8","1","10","115","147","43.89"
"301","Sam Reinhart","FLA","C","82","178.53333333333","5","0","0","0","5","100.00","15","33.33","2.45","24","18","15","8","7","2","2","1","1","0","0","4","2","10","4","2","10","32","44","42.11"
"16","Andrew Cogliano","COL","C","74","167.85","1","3","3","0","4","100.00","5","20.00","0.7","7","7","5","2","0","0","0","0","0","0","0","6","2","2","1","1","13","35","74","32.11"
"20","Brad Marchand","BOS","L","82","146.7","3","1","1","0","4","80.00","13","23.08","1.16","17","16","10","4","3","0","10","5","5","0","0","1","6","8","11","5","9","3","4","42.86"
