"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"165","Nikita Kucherov","T.B","R","80","322.78333333333","13","39","22","17","52","83.87","78","16.67","9.67","151","119","47","11","0","11","6","3","3","0","0","3","18","5","2","5","0","0","0","-"
"276","Nathan MacKinnon","COL","C","81","365.91666666667","10","37","18","19","47","73.44","119","8.40","11.35","198","156","81","8","0","9","0","0","0","0","0","4","16","2","2","8","0","49","39","55.68"
"368","Connor McDavid","EDM","C","75","256.21666666667","7","37","23","14","44","78.57","62","11.29","9.11","100","76","63","19","0","8","8","4","4","0","0","3","10","3","3","19","0","17","19","47.22"
"415","Artemi Panarin","NYR","L","82","293.68333333333","11","33","18","15","44","74.58","85","12.94","7.31","195","116","67","5","0","15","4","2","2","0","0","1","13","1","2","3","3","0","1","0.00"
"176","J.T. Miller","VAN","C","81","302.15","10","30","20","10","40","78.43","67","14.93","11.33","128","102","71","46","1","12","5","1","0","1","0","2","4","3","4","10","1","151","86","63.71"
"375","Mikko Rantanen","COL","R","79","364.26666666667","14","26","16","10","40","63.49","79","17.72","11.9","156","116","89","29","1","9","4","2","2","0","0","1","13","1","6","17","1","93","64","59.24"
"424","Kirill Kaprizov","MIN","L","74","306.51666666667","18","22","15","7","40","81.63","92","19.57","16.22","195","143","114","45","1","28","4","2","2","0","0","1","9","3","1","8","1","0","0","-"
"52","Steven Stamkos","T.B","C","78","290.26666666667","19","20","8","12","39","68.42","112","16.96","12.71","187","149","91","9","0","17","0","0","0","0","0","1","8","2","2","7","1","62","48","56.36"
"308","Leon Draisaitl","EDM","C","80","272.36666666667","21","18","9","9","39","68.42","86","24.42","13.53","157","127","77","23","0","11","8","4","4","0","0","1","13","3","1","12","0","168","126","57.14"
"549","Cale Makar","COL","D","76","312.01666666667","7","31","15","16","38","69.09","69","10.14","5.86","169","109","53","3","2","14","4","2","2","0","0","2","6","2","1","2","5","0","0","-"
"593","Quinn Hughes","VAN","D","81","317.85","5","32","16","16","37","72.55","48","10.42","3.44","125","70","43","1","0","11","6","3","3","0","0","4","6","5","5","7","2","0","0","-"
"311","William Nylander","TOR","R","81","272","11","24","12","12","35","72.92","83","13.25","9.51","154","111","77","26","1","13","2","1","1","0","0","0","10","2","0","10","1","0","0","-"
"324","David Pastrnak","BOS","R","82","311.66666666667","12","23","9","14","35","74.47","96","12.50","9.81","189","133","79","11","1","14","4","2","2","0","0","1","19","3","4","22","1","0","3","0.00"
"596","Evan Bouchard","EDM","D","80","276.53333333333","8","27","12","15","35","61.40","57","14.04","4.22","127","75","35","1","0","8","2","1","1","0","0","1","6","7","2","3","4","0","0","-"
"307","Sam Reinhart","FLA","C","82","308.2","27","7","3","4","34","68.00","80","33.75","18.15","155","127","135","81","1","19","6","3","3","0","0","0","3","2","1","15","1","36","48","42.86"
"60","Roman Josi","NSH","D","82","317.13333333333","9","24","14","10","33","68.75","59","15.25","5.46","139","86","54","6","0","7","2","1","1","0","0","0","8","2","1","12","4","0","0","-"
"109","Mats Zuccarello","MIN","R","68","272.96666666667","5","28","18","10","33","73.33","71","7.04","6.7","124","89","59","12","0","25","4","2","2","0","0","3","10","1","1","10","2","0","0","-"
"445","Adam Fox","NYR","D","72","255.83333333333","6","27","9","18","33","64.71","35","17.14","3.5","73","47","25","3","0","6","8","4","4","0","0","3","6","4","1","4","6","0","0","-"
"207","Filip Forsberg","NSH","L","82","291.51666666667","13","19","10","9","32","69.57","95","13.68","9.66","196","129","85","24","1","18","6","3","3","0","0","1","13","3","8","11","0","0","2","0.00"
"378","Sebastian Aho","CAR","C","78","227.68333333333","11","21","12","9","32","74.42","55","20.00","6.69","86","64","45","17","0","8","6","3","3","0","0","0","9","4","0","5","1","132","73","64.39"
