"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"468","Givani Smith","S.J","R","34","0.26666666666667","0.007843137254902","0","225","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","325","0.00","0","0","-","-","-","-","0","0","225","0","0.00","0","225","450","0.00"
"545","Ian Mitchell","BOS","D","13","0.45","0.034615384615385","0","133.33","0.00","0","133.33","0.00","0","133.33","0.00","0","0","-","0","1.93","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","192.59","0.00","0","0","-","-","100.00","1.00","0","0","0","133.33","-","0","0","0","-"
"763","Matt Rempe","NYR","C","13","0.63333333333333","0.048717948717949","0","94.74","0.00","0","94.74","0.00","0","94.74","0.00","0","0","-","0","5.05","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","136.84","0.00","0","0","-","-","100.00","1.00","0","0","0","189.47","-","0","0","0","-"
"271","William Carrier","VGK","L","39","1.45","0.037179487179487","0","82.76","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","119.54","0.00","0","0","-","-","-","-","0","0","0","248.28","-","0","0","82.76","0.00"
"365","Colin White","MTL, PIT","C","25","1.5166666666667","0.060666666666667","39.56","79.12","33.33","0","79.12","0.00","0","79.12","0.00","0","0","-","0","16.12","0.00","0","79.12","0.00","0","39.56","0.00","0","0","-","0","52.75","0.00","0","0","-","228.57","0","100.00","0","0","-","-","100.00","1.00","79.12","39.56","0","158.24","100.00","118.68","39.56","0","100.00"
"219","Chris Tierney","N.J","C","45","1.5833333333333","0.035185185185185","37.89","75.79","33.33","37.89","75.79","33.33","37.89","75.79","33.33","0","0","-","2.01","5.65","26.20","0","75.79","0.00","0","37.89","0.00","0","0","-","0","50.53","0.00","0","0","-","54.74","54.74","50.00","0","0","-","0.00","100.00","1.000","37.89","75.79","0","189.47","100.00","37.89","75.79","37.89","50.00"
"730","Danil Gushchin","S.J","L","2","0.8","0.4","75","75","50.00","75","75","50.00","0","75","0.00","0","0","-","7.09","2.88","71.11","75","0","100.00","75","0","100.00","0","0","-","0","0","-","0","0","-","0","108.33","0.00","0","0","-","-","100.00","1.00","0","0","0","150","-","0","0","0","-"
"148","Travis Boyd","ARI","C","16","1.7333333333333","0.10833333333333","103.85","69.23","60.00","103.85","34.62","75.00","34.62","0","100.00","0","0","-","7.59","5.58","57.63","69.23","34.62","66.67","0","0","-","0","0","-","92.31","46.15","66.67","0","0","-","100","0","100.00","0","0","-","0.00","-","0.00","103.85","0","0","69.23","100.00","103.85","0","0","100.00"
"55","Luke Schenn","NSH","D","56","1.8","0.032142857142857","100","66.67","60.00","100","66.67","60.00","33.33","66.67","33.33","0","0","-","11.81","2.08","85.02","66.67","0","100.00","0","0","-","0","0","-","88.89","0","100.00","0","0","-","48.15","96.3","33.33","0","0","-","0.00","100.00","1.000","33.33","33.33","33.33","233.33","50.00","66.67","33.33","33.33","66.67"
"608","Liam Foudy","CBJ, NSH","C","13","0.91666666666667","0.070512820512821","130.91","65.45","66.67","130.91","65.45","66.67","130.91","65.45","66.67","0","65.45","0.00","8.09","14.96","35.09","130.91","65.45","66.67","0","65.45","0.00","0","65.45","0.00","174.55","0","100.00","0","0","-","94.55","0","100.00","0","0","-","0.00","0.00","0.000","0","0","0","65.45","-","130.91","0","0","100.00"
"772","Walker Duehr","CGY","R","36","3.9333333333333","0.10925925925926","30.51","61.02","33.33","15.25","45.76","25.00","0","30.51","0.00","0","15.25","0.00","0.72","7.28","8.96","15.25","45.76","25.00","0","45.76","0.00","0","15.25","0.00","20.34","0","100.00","0","0","-","88.14","0","100.00","0","0","-","-","50.00","0.50","76.27","0","15.25","198.31","83.33","76.27","45.76","15.25","83.33"
"116","Jon Merrill","MIN","D","57","2.9666666666667","0.052046783625731","80.9","60.67","57.14","60.67","20.22","75.00","40.45","0","100.00","0","0","-","4.14","0.32","92.75","40.45","20.22","66.67","20.22","0","100.00","0","0","-","26.97","26.97","50.00","0","0","-","116.85","58.43","66.67","0","0","-","0.00","-","0.00","0","20.22","0","60.67","-","40.45","20.22","0","100.00"
