"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"484","Victor Mete","PHI","D","1","10.866666666667","10.866666666667","33.13","110.43","23.08","33.13","82.82","28.57","27.61","38.65","41.67","0","0","-","2.94","4.71","38.44","22.09","55.21","28.57","16.56","5.52","75.00","0","0","-","7.36","66.26","10.00","0","0","-","31.9","87.73","26.67","0","0","-","0.00","100.00","1.000","5.52","11.04","11.04","49.69","33.33","16.56","16.56","11.04","60.00"
"745","Tyler Angle","CBJ","C","2","16.666666666667","8.3333333333333","21.6","108","16.67","14.4","75.6","16.00","3.6","46.8","7.14","0","3.6","0.00","0.53","6.09","8.00","7.2","61.2","10.53","3.6","36","9.09","0","3.6","0.00","4.8","33.6","12.50","0","0","-","5.2","78","6.25","0","0","-","0.00","92.31","0.923","0","10.8","0","75.6","-","3.6","10.8","18","16.67"
"539","Kole Lind","SEA","R","1","5.9833333333333","5.9833333333333","70.19","100.28","41.18","40.11","70.19","36.36","40.11","60.17","40.00","0","0","-","2.75","2.11","56.54","30.08","30.08","50.00","10.03","10.03","50.00","0","0","-","26.74","26.74","50.00","0","0","-","43.45","72.42","37.50","0","0","-","0.00","100.00","1.000","10.03","20.06","0","50.14","100.00","30.08","30.08","0","100.00"
"151","Max McCormick","SEA","L","1","5.6333333333333","5.6333333333333","21.3","95.86","18.18","21.3","63.91","25.00","21.3","42.6","33.33","0","0","-","2.26","4.84","31.83","10.65","31.95","25.00","10.65","10.65","50.00","0","0","-","0","28.4","0.00","0","0","-","15.38","76.92","16.67","0","0","-","0.00","100.00","1.000","0","21.3","0","74.56","-","10.65","31.95","10.65","50.00"
"872","Brandon Scanlin","NYR","D","1","10.766666666667","10.766666666667","33.44","94.74","26.09","11.15","66.87","14.29","5.57","55.73","9.09","0","0","-","0.17","4.14","3.91","5.57","44.58","11.11","0","16.72","0.00","0","0","-","7.43","37.15","16.67","0","0","-","40.25","72.45","35.71","0","0","-","0.00","100.00","1.000","5.57","27.86","11.15","33.44","33.33","5.57","27.86","27.86","16.67"
"249","Anton Blidh","NYR","L","1","5.35","5.35","44.86","89.72","33.33","33.64","67.29","33.33","22.43","56.07","28.57","0","11.21","0.00","0.59","2.92","16.81","11.21","44.86","20.00","0","22.43","0.00","0","11.21","0.00","14.95","29.91","33.33","0","0","-","0","64.8","0.00","0","0","-","0.00","80.00","0.800","0","0","11.21","100.93","0.00","0","0","22.43","0.00"
"592","Jacob Peterson","S.J","C","6","79.5","13.25","33.21","89.06","27.16","27.17","65.66","29.27","19.62","47.55","29.21","0.75","3.77","16.67","1.78","4.77","27.19","12.08","49.81","19.51","4.53","25.66","15.00","0","1.51","0.00","10.06","32.2","23.81","0","2.01","0.00","30.52","74.13","29.17","1.09","1.09","50.00","3.85","92.06","0.959","4.53","7.55","15.85","57.36","22.22","10.57","11.32","24.15","30.43"
"778","Danil Gushchin","S.J","L","3","42.516666666667","14.172222222222","38.1","88.91","30.00","29.64","53.63","35.59","16.93","40.93","29.27","2.82","4.23","40.00","1.62","3.61","30.95","15.52","35.28","30.56","4.23","14.11","23.08","1.41","2.82","33.33","15.05","28.22","34.78","0","1.88","0.00","30.58","81.54","27.27","2.04","0","100.00","16.67","89.66","1.063","4.23","8.47","12.7","46.57","25.00","5.64","15.52","26.81","17.39"
"237","Matthew Benning","S.J","D","14","258.71666666667","18.479761904762","42.67","84.65","33.52","32.7","60.99","34.90","21.8","43.83","33.22","1.16","3.48","25.00","2.29","5.16","30.76","16.93","45.46","27.14","8.58","22.73","27.41","0.93","1.86","33.33","11.13","30.3","26.87","0","1.86","0.00","37.85","72.69","34.24","0","0.33","0.00","5.32","92.06","0.974","4.87","6.03","13.91","48.47","25.93","15.07","12.06","30.84","32.83"
"279","Gustav Olofsson","SEA","D","1","14.95","14.95","64.21","84.28","43.24","32.11","56.19","36.36","20.07","24.08","45.45","0","0","-","2.07","3.09","40.12","24.08","44.15","35.29","12.04","20.07","37.50","0","0","-","16.05","32.11","33.33","0","0","-","63.77","63.77","50.00","0","0","-","0.00","100.00","1.000","16.05","0","8.03","40.13","66.67","28.09","0","20.07","58.33"
