"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"484","Victor Mete","PHI","D","1","10.866666666667","10.866666666667","33.13","110.43","23.08","33.13","82.82","28.57","27.61","38.65","41.67","0","0","-","2.94","4.71","38.44","22.09","55.21","28.57","16.56","5.52","75.00","0","0","-","7.36","66.26","10.00","0","0","-","31.9","87.73","26.67","0","0","-","0.00","100.00","1.000","5.52","11.04","11.04","49.69","33.33","16.56","16.56","11.04","60.00"
"745","Tyler Angle","CBJ","C","2","16.45","8.225","21.88","109.42","16.67","14.59","76.6","16.00","3.65","47.42","7.14","0","3.65","0.00","0.54","6.17","8.00","7.29","62.01","10.53","3.65","36.47","9.09","0","3.65","0.00","4.86","34.04","12.50","0","0","-","5.27","79.03","6.25","0","0","-","0.00","92.31","0.923","0","7.29","0","72.95","-","3.65","7.29","18.24","16.67"
"539","Kole Lind","SEA","R","1","5.9833333333333","5.9833333333333","70.19","100.28","41.18","40.11","70.19","36.36","40.11","60.17","40.00","0","0","-","2.75","2.11","56.54","30.08","30.08","50.00","10.03","10.03","50.00","0","0","-","26.74","26.74","50.00","0","0","-","43.45","72.42","37.50","0","0","-","0.00","100.00","1.000","10.03","20.06","0","50.14","100.00","30.08","30.08","0","100.00"
"151","Max McCormick","SEA","L","1","5.6333333333333","5.6333333333333","21.3","95.86","18.18","21.3","63.91","25.00","21.3","42.6","33.33","0","0","-","2.26","4.84","31.83","10.65","31.95","25.00","10.65","10.65","50.00","0","0","-","0","28.4","0.00","0","0","-","15.38","76.92","16.67","0","0","-","0.00","100.00","1.000","0","21.3","0","74.56","-","10.65","31.95","10.65","50.00"
"872","Brandon Scanlin","NYR","D","1","10.766666666667","10.766666666667","33.44","94.74","26.09","11.15","66.87","14.29","5.57","55.73","9.09","0","0","-","0.17","4.14","3.91","5.57","44.58","11.11","0","16.72","0.00","0","0","-","7.43","37.15","16.67","0","0","-","40.25","72.45","35.71","0","0","-","0.00","100.00","1.000","5.57","27.86","11.15","33.44","33.33","5.57","27.86","27.86","16.67"
"249","Anton Blidh","NYR","L","1","5.35","5.35","44.86","89.72","33.33","33.64","67.29","33.33","22.43","56.07","28.57","0","11.21","0.00","0.59","2.92","16.81","11.21","44.86","20.00","0","22.43","0.00","0","11.21","0.00","14.95","29.91","33.33","0","0","-","0","64.8","0.00","0","0","-","0.00","80.00","0.800","0","0","11.21","100.93","0.00","0","0","22.43","0.00"
"778","Danil Gushchin","S.J","L","3","41.716666666667","13.905555555556","37.4","89.17","29.55","28.77","53.22","35.09","17.26","40.27","30.00","2.88","4.31","40.00","1.51","3.62","29.45","14.38","35.96","28.57","2.88","14.38","16.67","1.44","2.88","33.33","15.34","28.77","34.78","0","1.92","0.00","31.16","81.02","27.78","2.08","0","100.00","16.67","89.29","1.060","4.31","8.63","12.94","44.59","25.00","5.75","15.82","27.33","17.39"
"121","Alex Petrovic","DAL","D","1","12.483333333333","12.483333333333","62.48","86.52","41.94","52.87","76.9","40.74","38.45","57.68","40.00","4.81","9.61","33.33","1.02","7.09","12.60","24.03","67.29","26.32","4.81","28.84","14.29","0","9.61","0.00","25.63","51.27","33.33","0","0","-","69.43","27.77","71.43","6.94","0","100.00","12.50","83.33","0.958","19.23","0","4.81","62.48","80.00","43.26","14.42","4.81","90.00"
"279","Gustav Olofsson","SEA","D","1","14.95","14.95","64.21","84.28","43.24","32.11","56.19","36.36","20.07","24.08","45.45","0","0","-","2.07","3.09","40.12","24.08","44.15","35.29","12.04","20.07","37.50","0","0","-","16.05","32.11","33.33","0","0","-","63.77","63.77","50.00","0","0","-","0.00","100.00","1.000","16.05","0","8.03","40.13","66.67","28.09","0","20.07","58.33"
"636","Grigori Denisenko","VGK","L","6","61.266666666667","10.211111111111","47.99","81.28","37.12","36.24","55.82","39.36","26.44","37.21","41.54","0.98","3.92","20.00","2.21","2.39","48.06","18.61","28.4","39.58","11.75","11.75","50.00","0","0.98","0.00","9.14","22.2","29.17","0","2.61","0.00","39.61","89.12","30.77","1.41","1.41","50.00","3.70","89.47","0.932","3.92","16.65","17.63","45.05","18.18","12.73","21.55","29.38","30.23"
"843","Oskar Olausson","COL","R","1","11.833333333333","11.833333333333","40.56","81.13","33.33","30.42","60.85","33.33","20.28","55.77","26.67","0","0","-","1.04","3.94","20.82","5.07","25.35","16.67","5.07","15.21","25.00","0","0","-","0","13.52","0.00","0","0","-","51.27","73.24","41.18","0","0","-","0.00","100.00","1.000","5.07","10.14","5.07","60.85","50.00","10.14","20.28","20.28","33.33"
"592","Jacob Peterson","S.J","C","6","68.133333333333","11.355555555556","33.46","81.02","29.23","28.18","59","32.32","21.14","40.51","34.29","0","2.64","0.00","1.79","3.59","33.26","13.21","41.39","24.19","4.4","21.14","17.24","0","0.88","0.00","11.74","27.01","30.30","0","1.17","0.00","33.07","71.23","31.71","0","1.27","0.00","0.00","93.48","0.935","3.52","7.05","12.33","58.12","22.22","10.57","11.45","22.02","32.43"
"725","Egor Afanasyev","NSH","L","2","23.133333333333","11.566666666667","62.25","80.4","43.64","49.28","51.87","48.72","31.12","38.9","44.44","0","2.59","0.00","1.98","3.04","39.39","28.53","44.09","39.29","5.19","15.56","25.00","0","2.59","0.00","31.12","38.04","45.00","0","0","-","56.2","56.2","50.00","0","0","-","0.00","93.33","0.933","10.37","10.37","12.97","49.28","44.44","20.75","12.97","18.16","53.33"
"847","Logan Mailloux","MTL","D","1","21.116666666667","21.116666666667","65.35","79.56","45.10","56.83","53.99","51.28","42.62","36.94","53.57","5.68","2.84","66.67","4.6","3.53","56.59","28.41","25.57","52.63","17.05","11.37","60.00","5.68","0","100.00","15.15","18.94","44.44","0","3.79","0.00","61.56","77.98","44.12","0","0","-","13.33","92.31","1.056","5.68","8.52","11.37","34.1","33.33","17.05","17.05","19.89","46.15"
"402","Glenn Gawdin","ANA","C","1","6.8","6.8","35.29","79.41","30.77","17.65","44.12","28.57","0","26.47","0.00","0","8.82","0.00","1.41","1.68","45.62","17.65","26.47","40.00","0","17.65","0.00","0","8.82","0.00","23.53","11.76","66.67","0","0","-","25.49","50.98","33.33","0","0","-","-","66.67","0.67","8.82","8.82","17.65","61.76","33.33","8.82","8.82","26.47","25.00"
