"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"469","Givani Smith","S.J","R","35","0.26666666666667","0.0076190476190476","0","225","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","325","0.00","0","0","-","-","-","-","0","0","225","0","0.00","0","225","450","0.00"
"250","Josh Brown","ARI","D","50","0.28333333333333","0.0056666666666667","0","211.76","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","211.76","0.00","0","0","-","0","0","-","0","282.35","0.00","0","0","-","0","0","-","0","0","-","-","-","-","211.76","0","0","847.06","100.00","211.76","0","0","100.00"
"550","Ian Mitchell","BOS","D","13","0.45","0.034615384615385","0","133.33","0.00","0","133.33","0.00","0","133.33","0.00","0","0","-","0","1.93","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","192.59","0.00","0","0","-","-","100.00","1.00","0","0","0","133.33","-","0","0","0","-"
"774","Matt Rempe","NYR","C","17","0.63333333333333","0.037254901960784","0","94.74","0.00","0","94.74","0.00","0","94.74","0.00","0","0","-","0","5.05","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","136.84","0.00","0","0","-","-","100.00","1.00","0","0","0","189.47","-","0","0","0","-"
"272","William Carrier","VGK","L","39","1.45","0.037179487179487","0","82.76","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","119.54","0.00","0","0","-","-","-","-","0","0","0","248.28","-","0","0","82.76","0.00"
"366","Colin White","MTL, PIT","C","28","1.5166666666667","0.054166666666667","79.12","79.12","50.00","39.56","79.12","33.33","0","79.12","0.00","0","0","-","2.73","16.12","14.49","0","79.12","0.00","0","39.56","0.00","0","0","-","0","52.75","0.00","0","0","-","285.71","0","100.00","0","0","-","-","100.00","1.00","79.12","39.56","0","158.24","100.00","118.68","39.56","0","100.00"
"740","Danil Gushchin","S.J","L","3","0.8","0.26666666666667","75","75","50.00","75","75","50.00","0","75","0.00","0","0","-","7.09","2.88","71.11","75","0","100.00","75","0","100.00","0","0","-","0","0","-","0","0","-","0","108.33","0.00","0","0","-","-","100.00","1.00","0","0","0","150","-","0","0","0","-"
"148","Travis Boyd","ARI","C","16","1.7333333333333","0.10833333333333","103.85","69.23","60.00","103.85","34.62","75.00","34.62","0","100.00","0","0","-","7.59","5.58","57.63","69.23","34.62","66.67","0","0","-","0","0","-","92.31","46.15","66.67","0","0","-","100","0","100.00","0","0","-","0.00","-","0.00","103.85","0","0","69.23","100.00","103.85","0","0","100.00"
"219","Chris Tierney","N.J","C","52","1.7333333333333","0.033333333333333","34.62","69.23","33.33","34.62","69.23","33.33","34.62","69.23","33.33","0","0","-","1.83","5.17","26.20","0","69.23","0.00","0","34.62","0.00","0","0","-","0","46.15","0.00","0","0","-","50","50","50.00","0","0","-","0.00","100.00","1.000","34.62","69.23","0","207.69","100.00","34.62","69.23","34.62","50.00"
"55","Luke Schenn","NSH","D","63","1.8","0.028571428571429","100","66.67","60.00","100","66.67","60.00","33.33","66.67","33.33","0","0","-","11.81","2.08","85.02","66.67","0","100.00","0","0","-","0","0","-","88.89","0","100.00","0","0","-","48.15","96.3","33.33","0","0","-","0.00","100.00","1.000","33.33","33.33","33.33","233.33","50.00","66.67","33.33","33.33","66.67"
"614","Liam Foudy","CBJ, NSH","C","13","0.91666666666667","0.070512820512821","130.91","65.45","66.67","130.91","65.45","66.67","130.91","65.45","66.67","0","65.45","0.00","8.09","14.96","35.09","130.91","65.45","66.67","0","65.45","0.00","0","65.45","0.00","174.55","0","100.00","0","0","-","94.55","0","100.00","0","0","-","0.00","0.00","0.000","0","0","0","65.45","-","130.91","0","0","100.00"
"535","Jack Studnicka","S.J, VAN","C","21","3.8333333333333","0.18253968253968","62.61","62.61","50.00","31.3","62.61","33.33","31.3","46.96","40.00","15.65","0","100.00","3.22","7.48","30.13","31.3","31.3","50.00","0","31.3","0.00","0","0","-","41.74","0","100.00","20.87","0","100.00","90.43","22.61","80.00","0","0","-","50.00","100.00","1.500","31.3","31.3","0","140.87","100.00","31.3","46.96","0","100.00"
"116","Jon Merrill","MIN","D","64","2.9666666666667","0.046354166666667","80.9","60.67","57.14","60.67","20.22","75.00","40.45","0","100.00","0","0","-","4.14","0.32","92.75","40.45","20.22","66.67","20.22","0","100.00","0","0","-","26.97","26.97","50.00","0","0","-","116.85","58.43","66.67","0","0","-","0.00","-","0.00","0","20.22","0","60.67","-","40.45","20.22","0","100.00"
"304","Pierre-Edouard Bellemare","SEA","L","39","2","0.051282051282051","60","60","50.00","30","60","33.33","0","60","0.00","0","0","-","1.51","2.27","39.85","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","216.67","130","62.50","0","0","-","-","100.00","1.00","90","0","30","180","75.00","90","0","60","60.00"
