"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"854","Cameron Butler","CBJ","R","1","0.9","2","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.03","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","5","0","100.00","0","0","-","0.00","-","0.00","1","0","0","0","100.00","3","0","0","100.00"
"892","Ondrej Pavel","COL","C","2","12.2","15","5","75.00","9","3","75.00","6","3","66.67","0","1","0.00","0.68","0.11","86.01","8","1","88.89","3","0","100.00","0","0","-","5","1","83.33","0","0","-","7","3","70.00","0","1","0.00","0.00","66.67","0.667","1","4","0","15","100.00","3","6","1","75.00"
"136","Dylan McIlrath","WSH","D","1","6.3666666666667","8","3","72.73","8","1","88.89","5","1","83.33","0","0","-","0.64","0.01","98.60","4","2","66.67","1","0","100.00","0","0","-","3","2","60.00","0","0","-","5","4","55.56","0","0","-","0.00","100.00","1.000","0","0","2","7","0.00","3","1","3","50.00"
"893","Cole McWard","VAN","D","1","9.0833333333333","9","4","69.23","4","4","50.00","2","2","50.00","0","0","-","0.31","0.29","51.13","2","3","40.00","1","2","33.33","0","0","-","1","1","50.00","0","0","-","8","1","88.89","0","0","-","0.00","100.00","1.000","1","1","0","10","100.00","3","1","1","75.00"
"496","Brett Murray","BUF","L","2","15.833333333333","10","5","66.67","8","5","61.54","8","2","80.00","0","1","0.00","0.31","0.14","69.44","3","2","60.00","1","0","100.00","0","0","-","2","2","50.00","0","1","0.00","10","4","71.43","0","0","-","0.00","50.00","0.500","4","4","0","14","100.00","8","5","2","80.00"
"772","Vasily Ponomarev","CAR","C","2","19.35","29","15","65.91","20","11","64.52","12","7","63.16","2","1","66.67","1.8","0.66","73.20","18","9","66.67","7","2","77.78","1","0","100.00","11","7","61.11","1","1","50.00","12","6","66.67","0","0","-","16.67","85.71","1.024","2","1","2","16","50.00","5","3","3","62.50"
"690","Kirby Dach","MTL","C","2","18.933333333333","20","11","64.52","14","11","56.00","9","9","50.00","2","0","100.00","0.61","0.55","52.90","8","5","61.54","5","4","55.56","2","0","100.00","3","1","75.00","0","0","-","10","7","58.82","0","0","-","22.22","100.00","1.222","2","6","0","13","100.00","3","7","3","50.00"
"144","Jesper Fast","CAR","R","66","762.81666666667","944","549","63.23","635","399","61.41","400","275","59.26","24","22","52.17","38.48","24.03","61.55","404","235","63.22","178","100","64.03","15","11","57.69","226","135","62.60","3","7","30.00","562","337","62.51","6","4","60.00","6.00","92.00","0.980","129","261","122","508","51.39","250","322","245","50.51"
"30","Jordan Staal","CAR","C","75","985.96666666667","1253","745","62.71","835","534","60.99","525","379","58.08","34","50","40.48","51.53","36.9","58.27","552","305","64.41","241","127","65.49","23","20","53.49","311","178","63.60","5","18","21.74","765","500","60.47","5","10","33.33","6.48","86.81","0.933","171","353","212","637","44.65","325","444","397","45.01"
"823","Josh Doan","ARI","R","3","40.433333333333","52","31","62.65","41","22","65.08","31","15","67.39","5","1","83.33","4.83","1.1","81.40","25","10","71.43","16","2","88.89","3","0","100.00","9","8","52.94","0","1","0.00","29","29","50.00","2","0","100.00","16.13","93.33","1.095","7","13","8","31","46.67","13","13","18","41.94"
