"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"40","Patrick Kane","DET","R","43","0.33333333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.09","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","0","0","3","-","0","0","0","-"
"203","Filip Forsberg","NSH","L","75","0.71666666666667","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.02","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","0","1","0","6","-","0","1","0","-"
"279","Max Domi","TOR","C","74","0.33333333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","0","0","4","-","0","0","0","-"
"317","David Pastrnak","BOS","R","76","5.6166666666667","2","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.1","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","1","1","28","0.00","0","1","1","0.00"
"363","Timo Meier","N.J","R","62","1.1833333333333","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.02","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","1","0.00","0","0","-","-","-","-","0","0","1","4","0.00","0","0","1","0.00"
"404","Artemi Panarin","NYR","L","75","2.8","2","0","100.00","2","0","100.00","1","0","100.00","1","0","100.00","0.02","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","3","0","100.00","1","0","100.00","100.00","-","1.00","1","0","0","5","100.00","1","0","0","100.00"
"448","Max Jones","ANA","L","52","1.2833333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.17","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","0","0","3","-","0","0","0","-"
"494","Conor Timmins","TOR","D","22","2.0333333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.14","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","1","2","6","0.00","0","1","2","0.00"
"607","Martin Pospisil","CGY","C","54","0.3","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.12","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","1","0.00","0","0","-","0.00","-","0.00","0","0","1","3","0.00","0","0","1","0.00"
"612","Scott Perunovich","STL","D","48","1.4833333333333","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.03","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","0","0","0","3","-","0","0","0","-"
"643","Kaapo Kakko","NYR","R","54","0.75","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.05","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","0","0","0","2","-","0","0","0","-"
"646","Jack Hughes","N.J","C","59","4.0333333333333","4","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.02","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","0","1","0","28","-","0","1","0","-"
"715","Tyson Foerster","PHI","R","71","2.3833333333333","2","0","100.00","2","0","100.00","1","0","100.00","1","0","100.00","0.08","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","1","0","100.00","2","1","66.67","0","0","-","100.00","-","1.00","1","2","1","3","50.00","1","3","1","50.00"
"740","Matt Coronato","CGY","R","25","0.3","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.04","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","0","0","0","1","-","0","0","0","-"
"756","Marc McLaughlin","BOS","C","1","1.4833333333333","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","-","-","0","0","0","2","-","0","0","1","0.00"
"761","Tristan Luneau","ANA","D","7","0.066666666666667","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.05","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","2","0","100.00","0","0","-","-","-","-","1","0","0","1","100.00","1","0","0","100.00"
"771","Filip Roos","CHI","D","4","0.05","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","1","0","0","1","100.00","1","0","0","100.00"
"774","Connor Bedard","CHI","C","61","3.4","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","-","-","-","2","0","0","9","100.00","2","0","0","100.00"
"619","Egor Zamula","PHI","D","63","7.75","10","4","71.43","8","2","80.00","6","2","75.00","4","0","100.00","0.37","0.1","77.83","3","1","75.00","0","0","-","0","0","-","3","1","75.00","3","0","100.00","6","4","60.00","1","0","100.00","66.67","100.00","1.667","2","0","2","14","50.00","2","3","2","50.00"
"152","Nick Cousins","FLA","C","63","2.2166666666667","2","1","66.67","1","0","100.00","0","0","-","0","0","-","0.1","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","-","-","0","1","0","4","-","0","1","0","-"
"779","Sam Malinski","COL","D","23","1.8666666666667","2","1","66.67","2","1","66.67","2","1","66.67","0","1","0.00","0.3","0.17","64.12","2","1","66.67","2","1","66.67","0","1","0.00","0","0","-","0","0","-","0","1","0.00","0","0","-","0.00","0.00","0.000","0","0","1","3","0.00","0","0","1","0.00"
"567","Brady Tkachuk","OTT","L","73","5.0333333333333","5","3","62.50","3","2","60.00","3","2","60.00","0","0","-","0.12","0.12","49.51","4","2","66.67","3","0","100.00","0","0","-","1","2","33.33","0","0","-","2","3","40.00","0","0","-","0.00","100.00","1.000","1","1","3","26","25.00","2","1","3","40.00"
"109","Tyler Toffoli","N.J, WPG","C, R","72","1.2833333333333","1","1","50.00","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","-","-","-","0","1","1","8","0.00","0","1","1","0.00"
"312","Tony DeAngelo","CAR","D","28","2.05","1","1","50.00","1","1","50.00","1","1","50.00","1","0","100.00","0.09","0.02","85.05","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","1","0.00","0","0","-","100.00","100.00","2.000","0","0","0","10","-","0","1","0","-"
"365","Mikko Rantanen","COL","R","75","2.7","1","1","50.00","1","0","100.00","1","0","100.00","0","0","-","0.07","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","2","1","66.67","0","0","-","0.00","-","0.00","2","1","1","18","66.67","2","1","1","66.67"
"372","Tommy Novak","NSH","C","64","1.4333333333333","1","1","50.00","1","1","50.00","0","1","0.00","0","0","-","0.01","0.04","24.81","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","1","0.00","0","0","-","-","100.00","1.00","0","0","0","15","-","0","0","0","-"
"481","Michael Eyssimont","T.B","C","73","1.6833333333333","1","1","50.00","1","1","50.00","1","1","50.00","0","0","-","0.04","0.05","48.28","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","1","50.00","0","0","-","0.00","100.00","1.000","0","0","0","4","-","0","0","0","-"
