"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"18","Marc-Edouard Vlasic","S.J","D","49","1.0833333333333","2","0","100.00","2","0","100.00","2","0","100.00","1","0","100.00","0.39","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","50.00","-","0.50","0","0","0","5","-","0","0","0","-"
"23","Erik Johnson","BUF, PHI","D","62","1.1","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.07","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","2","0","1","3","66.67","2","0","1","66.67"
"25","Trevor Lewis","L.A","C","74","3.8666666666667","6","0","100.00","6","0","100.00","4","0","100.00","1","0","100.00","0.42","0","100.00","2","0","100.00","2","0","100.00","1","0","100.00","0","0","-","0","0","-","8","0","100.00","0","0","-","25.00","-","0.25","8","1","1","8","88.89","10","1","1","90.91"
"26","Milan Lucic","BOS","L","4","1.7666666666667","5","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.06","0","100.00","3","0","100.00","0","0","-","0","0","-","3","0","100.00","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","0","0","0","3","-","0","0","0","-"
"62","Travis Hamonic","OTT","D","48","2.0833333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.02","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","3","4","0","7","100.00","4","4","0","100.00"
"84","Dmitry Kulikov","FLA","D","70","4.5333333333333","4","0","100.00","3","0","100.00","2","0","100.00","0","0","-","0.13","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","6","0","100.00","0","0","-","0.00","-","0.00","4","1","0","12","100.00","4","1","0","100.00"
"96","Casey Cizikas","NYI","C","63","4.2833333333333","4","0","100.00","3","0","100.00","3","0","100.00","1","0","100.00","0.2","0","100.00","2","0","100.00","0","0","-","0","0","-","2","0","100.00","1","0","100.00","5","0","100.00","0","0","-","33.33","-","0.33","3","0","0","18","100.00","4","0","0","100.00"
"99","Byron Froese","VGK","C","16","2.1666666666667","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.1","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","1","0.00","0","0","-","-","-","-","0","0","1","3","0.00","0","0","1","0.00"
"111","Justin Holl","DET","D","38","2.4333333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.02","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","3","0","100.00","0","0","-","0.00","-","0.00","1","0","1","8","50.00","2","0","1","66.67"
"121","Derek Forbort","BOS","D","35","1.35","2","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","2","0","100.00","0","0","-","-","-","-","0","1","0","5","-","0","1","0","-"
"134","Jarred Tinordi","CHI","D","47","1.1833333333333","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","-","-","-","0","1","0","4","-","0","1","0","-"
"149","Dylan DeMelo","WPG","D","75","6.55","6","0","100.00","5","0","100.00","4","0","100.00","2","0","100.00","0.39","0","100.00","3","0","100.00","1","0","100.00","0","0","-","2","0","100.00","1","0","100.00","11","0","100.00","1","0","100.00","50.00","-","0.50","16","5","0","18","100.00","16","5","0","100.00"
"151","Nick Seeler","PHI","D","65","5.8833333333333","8","0","100.00","5","0","100.00","5","0","100.00","0","0","-","0.33","0","100.00","3","0","100.00","1","0","100.00","0","0","-","2","0","100.00","0","0","-","8","0","100.00","0","0","-","0.00","-","0.00","3","2","1","22","75.00","5","3","1","83.33"
"159","Scott Mayfield","NYI","D","41","0.73333333333333","3","0","100.00","3","0","100.00","3","0","100.00","0","0","-","0.1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","0","0","0","8","-","0","0","0","-"
"162","Joel Edmundson","TOR, WSH","D","51","1.6833333333333","2","0","100.00","2","0","100.00","1","0","100.00","0","0","-","0.11","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","0","3","1","3","0.00","0","3","1","0.00"
"175","Jamie Oleksiak","SEA","D","74","3.1333333333333","7","0","100.00","4","0","100.00","2","0","100.00","0","0","-","0.27","0","100.00","3","0","100.00","1","0","100.00","0","0","-","2","0","100.00","0","0","-","6","0","100.00","0","0","-","0.00","-","0.00","1","0","0","7","100.00","3","0","0","100.00"
"198","Olli Maatta","DET","D","66","3.7166666666667","5","0","100.00","4","0","100.00","2","0","100.00","0","0","-","0.17","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","7","0","100.00","0","0","-","0.00","-","0.00","0","1","2","14","0.00","3","1","2","60.00"
"200","Zemgus Girgensons","BUF","L","58","4.0166666666667","7","0","100.00","2","0","100.00","1","0","100.00","0","0","-","0.32","0","100.00","3","0","100.00","1","0","100.00","0","0","-","2","0","100.00","0","0","-","8","0","100.00","0","0","-","0.00","-","0.00","7","2","0","6","100.00","7","2","0","100.00"
"205","Derrick Pouliot","DAL","D","5","0.81666666666667","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","-","-","-","0","0","0","1","-","0","0","0","-"
"209","Matt Grzelcyk","BOS","D","58","9.0833333333333","9","0","100.00","6","0","100.00","6","0","100.00","0","0","-","0.48","0","100.00","4","0","100.00","1","0","100.00","0","0","-","3","0","100.00","0","0","-","9","0","100.00","0","0","-","0.00","-","0.00","5","2","2","18","71.43","6","2","2","75.00"
"225","Brock McGinn","ANA","L","24","1.25","2","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.07","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","4","0","100.00","0","0","-","0.00","-","0.00","3","0","1","6","75.00","3","0","1","75.00"
"229","Brett Kulak","EDM","D","73","3.7333333333333","9","0","100.00","8","0","100.00","4","0","100.00","1","0","100.00","1.1","0","100.00","7","0","100.00","3","0","100.00","1","0","100.00","4","0","100.00","0","0","-","3","0","100.00","0","0","-","25.00","-","0.25","3","0","0","8","100.00","3","0","0","100.00"
"237","Jaycob Megna","CHI","D","38","1.8833333333333","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.05","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","4","0","100.00","0","0","-","-","-","-","4","0","0","10","100.00","4","0","0","100.00"
"253","Mattias Janmark","EDM","C","62","1.85","2","0","100.00","2","0","100.00","1","0","100.00","0","0","-","0.31","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","0","1","0","1","-","0","1","0","-"
"266","Adam Erne","EDM","L","23","1.7","3","0","100.00","3","0","100.00","0","0","-","0","0","-","0.53","0","100.00","3","0","100.00","2","0","100.00","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","-","-","-","0","0","0","3","-","0","0","0","-"
"268","Nic Petan","MIN","C","6","6.0166666666667","14","0","100.00","10","0","100.00","8","0","100.00","1","0","100.00","0.74","0","100.00","5","0","100.00","1","0","100.00","0","0","-","4","0","100.00","0","0","-","10","0","100.00","1","0","100.00","12.50","-","0.13","0","1","0","8","-","1","2","0","100.00"
"294","Nathan Walker","STL","L","38","1.4833333333333","3","0","100.00","2","0","100.00","1","0","100.00","0","0","-","0.29","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0","0","-","0","0","-","4","0","100.00","0","0","-","0.00","-","0.00","2","0","0","7","100.00","3","0","0","100.00"
"295","Joel Hanley","CGY, DAL","D","41","1.8666666666667","3","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.03","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","3","0","100.00","0","0","-","0.00","-","0.00","3","1","0","5","100.00","3","1","0","100.00"
"298","Ryan Carpenter","S.J","C","57","2.4","4","0","100.00","3","0","100.00","2","0","100.00","0","0","-","0.24","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","4","0","100.00","0","0","-","0.00","-","0.00","2","2","0","6","100.00","3","2","0","100.00"
"328","Andreas Englund","L.A","D","74","1.25","3","0","100.00","1","0","100.00","0","0","-","0","0","-","0.07","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","3","0","100.00","0","0","-","-","-","-","0","0","0","6","-","2","0","0","100.00"
"337","Mark Friedman","VAN","D","21","1.9833333333333","5","0","100.00","2","0","100.00","1","0","100.00","0","0","-","0.49","0","100.00","3","0","100.00","2","0","100.00","0","0","-","1","0","100.00","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","0","1","0","1","-","1","1","0","100.00"
"339","William Lagesson","ANA, TOR","D","36","0.28333333333333","1","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","0.09","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","1","0","100.00","0","0","-","0","0","-","100.00","-","1.00","0","1","0","2","-","0","1","0","-"
"340","Fredrik Olofsson","COL","L","57","2.05","3","0","100.00","2","0","100.00","1","0","100.00","0","0","-","0.09","0","100.00","2","0","100.00","0","0","-","0","0","-","2","0","100.00","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","1","1","0","8","100.00","3","1","0","100.00"
"346","Max Willman","N.J","C","18","0.11666666666667","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","2","0","100.00","0","0","-","-","-","-","2","0","0","0","100.00","2","0","0","100.00"
