"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"18","Marc-Edouard Vlasic","S.J","D","56","1.4666666666667","2","0","100.00","2","0","100.00","2","0","100.00","1","0","100.00","0.39","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","50.00","-","0.50","0","0","0","6","-","0","0","0","-"
"23","Erik Johnson","BUF, PHI","D","67","1.1","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.07","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","2","0","1","3","66.67","2","0","1","66.67"
"25","Trevor Lewis","L.A","C","81","3.8666666666667","6","0","100.00","6","0","100.00","4","0","100.00","1","0","100.00","0.42","0","100.00","2","0","100.00","2","0","100.00","1","0","100.00","0","0","-","0","0","-","8","0","100.00","0","0","-","25.00","-","0.25","8","1","1","8","88.89","10","1","1","90.91"
"26","Milan Lucic","BOS","L","4","1.7666666666667","5","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.06","0","100.00","3","0","100.00","0","0","-","0","0","-","3","0","100.00","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","0","0","0","3","-","0","0","0","-"
"62","Travis Hamonic","OTT","D","48","2.0833333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.02","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","3","4","0","7","100.00","4","4","0","100.00"
"96","Casey Cizikas","NYI","C","69","16.15","23","0","100.00","17","0","100.00","10","0","100.00","1","0","100.00","1.49","0","100.00","9","0","100.00","4","0","100.00","0","0","-","5","0","100.00","1","0","100.00","21","0","100.00","0","0","-","10.00","-","0.10","8","2","0","23","100.00","10","2","1","90.91"
"99","Byron Froese","VGK","C","16","2.1666666666667","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.1","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","1","0.00","0","0","-","-","-","-","0","0","1","3","0.00","0","0","1","0.00"
"111","Justin Holl","DET","D","38","2.4333333333333","1","0","100.00","1","0","100.00","1","0","100.00","0","0","-","0.02","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","3","0","100.00","0","0","-","0.00","-","0.00","1","0","1","8","50.00","2","0","1","66.67"
"121","Derek Forbort","BOS","D","35","1.35","2","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","2","0","100.00","0","0","-","-","-","-","0","1","0","5","-","0","1","0","-"
"134","Jarred Tinordi","CHI","D","51","1.3333333333333","3","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.3","0","100.00","3","0","100.00","1","0","100.00","0","0","-","2","0","100.00","0","0","-","0","0","-","0","0","-","0.00","-","0.00","0","1","0","5","-","1","1","0","100.00"
"149","Dylan DeMelo","WPG","D","81","7.0666666666667","8","0","100.00","6","0","100.00","4","0","100.00","2","0","100.00","0.42","0","100.00","3","0","100.00","1","0","100.00","0","0","-","2","0","100.00","1","0","100.00","14","1","93.33","1","0","100.00","50.00","-","0.50","16","5","1","20","94.12","17","5","1","94.44"
"151","Nick Seeler","PHI","D","71","6.2","8","0","100.00","5","0","100.00","5","0","100.00","0","0","-","0.33","0","100.00","3","0","100.00","1","0","100.00","0","0","-","2","0","100.00","0","0","-","8","0","100.00","0","0","-","0.00","-","0.00","3","2","1","25","75.00","5","3","1","83.33"
"159","Scott Mayfield","NYI","D","41","0.73333333333333","3","0","100.00","3","0","100.00","3","0","100.00","0","0","-","0.1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","0","0","0","8","-","0","0","0","-"
"162","Joel Edmundson","TOR, WSH","D","53","1.7","2","0","100.00","2","0","100.00","1","0","100.00","0","0","-","0.11","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","1","3","1","3","50.00","1","3","1","50.00"
"175","Jamie Oleksiak","SEA","D","81","3.6666666666667","8","0","100.00","4","0","100.00","2","0","100.00","0","0","-","0.27","0","100.00","3","0","100.00","1","0","100.00","0","0","-","2","0","100.00","0","0","-","7","0","100.00","0","0","-","0.00","-","0.00","2","1","0","8","100.00","5","1","0","100.00"
"198","Olli Maatta","DET","D","72","3.7166666666667","5","0","100.00","4","0","100.00","2","0","100.00","0","0","-","0.17","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","7","0","100.00","0","0","-","0.00","-","0.00","0","1","2","14","0.00","3","1","2","60.00"
"200","Zemgus Girgensons","BUF","L","63","4.0166666666667","7","0","100.00","2","0","100.00","1","0","100.00","0","0","-","0.32","0","100.00","3","0","100.00","1","0","100.00","0","0","-","2","0","100.00","0","0","-","8","0","100.00","0","0","-","0.00","-","0.00","7","2","0","6","100.00","7","2","0","100.00"
"205","Derrick Pouliot","DAL","D","5","0.81666666666667","1","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","-","-","-","0","0","0","1","-","0","0","0","-"
"209","Matt Grzelcyk","BOS","D","63","10.7","10","0","100.00","7","0","100.00","6","0","100.00","0","0","-","0.57","0","100.00","5","0","100.00","2","0","100.00","0","0","-","3","0","100.00","0","0","-","9","0","100.00","0","0","-","0.00","-","0.00","5","2","2","21","71.43","6","2","2","75.00"
"225","Brock McGinn","ANA","L","24","1.25","2","0","100.00","2","0","100.00","2","0","100.00","0","0","-","0.07","0","100.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","4","0","100.00","0","0","-","0.00","-","0.00","3","0","1","6","75.00","3","0","1","75.00"
"229","Brett Kulak","EDM","D","80","4.35","10","0","100.00","8","0","100.00","4","0","100.00","1","0","100.00","1.1","0","100.00","8","0","100.00","3","0","100.00","1","0","100.00","5","0","100.00","0","0","-","3","0","100.00","0","0","-","25.00","-","0.25","3","1","0","9","100.00","3","1","0","100.00"
"237","Jaycob Megna","CHI","D","43","2","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0.05","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","4","0","100.00","0","0","-","-","-","-","4","0","0","11","100.00","4","0","0","100.00"
"254","Mattias Janmark","EDM","C","69","1.85","2","0","100.00","2","0","100.00","1","0","100.00","0","0","-","0.31","0","100.00","1","0","100.00","0","0","-","0","0","-","1","0","100.00","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","0","1","0","1","-","0","1","0","-"
"267","Adam Erne","EDM","L","23","1.7","3","0","100.00","3","0","100.00","0","0","-","0","0","-","0.53","0","100.00","3","0","100.00","2","0","100.00","0","0","-","1","0","100.00","0","0","-","0","0","-","0","0","-","-","-","-","0","0","0","3","-","0","0","0","-"
