"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"388","A.J. Greer","CGY","L","27","1996-12-14","Joliette","QC","CAN","CAN","75","208","2015","COL","2","9","39"
"315","Aaron Ekblad","FLA","D","28","1996-02-07","Windsor","ON","CAN","CAN","76","215","2014","FLA","1","1","1"
"704","Adam Beckman","MIN","L","22","2001-05-10","Saskatoon","SK","CAN","CAN","74","182","2019","MIN","3","13","75"
"641","Adam Boqvist","CBJ","D","23","2000-08-15","Falun","","SWE","SWE","72","182","2018","CHI","1","8","8"
"747","Adam Edstrom","NYR","C","23","2000-10-12","","","SWE","SWE","79","220","2019","NYR","6","6","161"
"274","Adam Erne","EDM","L","28","1995-04-20","New Haven","CT","USA","USA","73","212","2013","T.B","2","3","33"
"888","Adam Fantilli","CBJ","C","19","2004-10-12","","","CAN","","74","194","2023","CBJ","1","3","3"
"458","Adam Fox","NYR","D","26","1998-02-17","Jericho","NY","USA","USA","71","182","2016","CGY","3","5","66"
"438","Adam Gaudette","STL","C","27","1996-10-03","Braintree","MA","USA","USA","73","194","2015","VAN","5","28","149"
"643","Adam Ginning","PHI","D","24","2000-01-13","Linkoping","","SWE","SWE","75","188","2018","PHI","2","19","50"
"65","Adam Henrique","ANA, EDM","C","34","1990-02-06","Brantford","ON","CAN","CAN","72","195","2008","N.J","3","21","82"
"880","Adam Klapka","CGY","R","23","2000-09-14","Praha","","CZE","CZE","80","235","-","-","-","-","-"
"172","Adam Larsson","SEA","D","31","1992-11-12","Skellefteå","","SWE","SWE","75","209","2011","N.J","1","4","4"
"158","Adam Lowry","WPG","C","31","1993-03-29","St. Louis","MO","USA","USA","78","208","2011","WPG","3","6","67"
"222","Adam Pelech","NYI","D","29","1994-08-16","Toronto","ON","CAN","CAN","75","210","2012","NYI","3","4","65"
"804","Adam Raska","MIN","R","22","2001-09-25","Frydek-Mistek","","CZE","CZE","70","178","2020","S.J","7","15","201"
"547","Adam Ruzicka","ARI, CGY","C","24","1999-05-11","Bratislava","","SVK","SVK","76","215","2017","CGY","4","16","109"
"334","Adrian Kempe","L.A","R","27","1996-09-13","Kramfors","","SWE","SWE","74","200","2014","L.A","1","29","29"
"635","Akil Thomas","L.A","C","24","2000-01-02","Toronto","ON","CAN","CAN","72","171","2018","L.A","2","20","51"
"889","Akito Hirose","VAN","D","24","1999-04-09","CALGARY","AB","CAN","CAN","72","170","-","-","-","-","-"
"50","Alec Martinez","VGK","D","36","1987-07-26","Rochester Hills","MI","USA","USA","73","210","2007","L.A","4","4","95"
"286","Aleksander Barkov","FLA","C","28","1995-09-02","Tampere","","FIN","FIN","75","215","2013","FLA","1","2","2"
"522","Alex Barré-Boulet","T.B","C","26","1997-05-21","Montmagny","QC","CAN","CAN","70","180","-","-","-","-","-"
"464","Alex DeBrincat","DET","R","26","1997-12-18","Farmington Hills","MI","USA","USA","68","178","2016","CHI","2","9","39"
"11","Alex Goligoski","MIN","D","38","1985-07-30","Grand Rapids","MN","USA","USA","71","173","2004","PIT","2","31","61"
