Player,Current  Cap Hit,Current  Salary,Contract  Length,Current  Cap %,Age,Height,Weight,Pos,Shoots,UFA Year,Contract Type,Signing Status,Expiry Status,Start Yr,Expiry Yr,Agent
Filip Hronek,"$4,400,000","$5,500,000",3,5.3%,26,72in,187lbs,D,R,2025,Standard,RFA,RFA +arb,2021,2023-24,Allan Walsh
Ryan Lindgren,"$3,000,000","$4,000,000",3,3.6%,26,72in,190lbs,D,L,2025,Standard,RFA,RFA +arb,2021,2023-24,Wade Arnott
Martin Necas,"$3,000,000","$3,500,000",2,3.6%,25,74in,198lbs,C,R,2026,Standard,RFA,RFA +arb,2022,2023-24,Michael Deutsch
Luke Kunin,"$2,750,000","$3,000,000",2,3.3%,26,72in,196lbs,C,R,2025,Standard,RFA +arb,RFA +arb,2022,2023-24,Pete Rutili
Henri Jokiharju,"$2,500,000","$2,600,000",3,3%,24,72in,201lbs,D,R,2026,Standard,RFA,RFA +arb,2021,2023-24,Markus Lehto
Casey Mittelstadt,"$2,500,000","$2,600,000",3,3%,25,73in,196lbs,C,L,2026,Standard,RFA,RFA +arb,2021,2023-24,Neil Sheehy
Jake Bean,"$2,333,333","$2,900,000",3,2.8%,25,73in,176lbs,D,L,2025,Standard,RFA,RFA +arb,2021,2023-24,Judd Moldaver
Dillon Dube,"$2,300,000","$2,400,000",3,2.8%,25,71in,185lbs,C,L,2026,Standard,RFA,RFA +arb,2021,2023-24,Dave Cowan
Kaapo Kakko,"$2,100,000","$2,400,000",2,2.5%,23,75in,205lbs,RW,L,2026,Standard,RFA,RFA +arb,2022,2023-24,Andy Scott
Erik Brannstrom,"$2,000,000","$2,000,000",1,2.4%,24,70in,185lbs,D,L,2027,Standard,RFA +arb,RFA +arb,2023,2023-24,Craig Oster
Jacob Bryson,"$1,850,000","$1,900,000",2,2.2%,26,69in,176lbs,D,L,2025,Standard,RFA +arb,RFA +arb,2022,2023-24,Allain Roy
Isac Lundestrom,"$1,800,000","$1,800,000",2,2.2%,24,72in,192lbs,C,L,2027,Standard,RFA +arb,RFA +arb,2022,2023-24,Peter Wallen
Barrett Hayton,"$1,775,000","$2,130,000",2,2.1%,23,73in,207lbs,C,L,2027,Standard,RFA,RFA +arb,2022,2023-24,Patrick Morris
Sean Durzi,"$1,700,000","$2,000,000",2,2%,25,72in,194lbs,D,R,2026,Standard,RFA,RFA +arb,2022,2023-24,Allan Walsh
