playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8480950,2021,Ilya Lyubushkin,TOR,D,4on5,77,8446.0,176.0,8.72,0.1,0.17,0.11,0.15,0.13,0.16,218.0,1.03,0.05,0.1,0.25,0.07,0.64,0.88,0.05,0.05,0.05,0.0,1.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,6.0,0.0,15.0,2.0,4.0,2.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,4.0,0.02,0.0,0.0,0.07,0.07,0.07,176.0,4.0,79.0,9.0,84.0,8.0,32.0,28.0,108.0,0.0,0.0,12122.0,6.0,0.0,0.0,0.0,23.23,2.12,2.12,2.12,2.12,25.0,7.0,3.0,35.0,2.0,0.0,0.0,22.0,8.0,2.0,0.59,1.0,0.53,1.0,1.0,0.0,35.0,32.0,32.0,0.28,0.0,0.0,2.4,2.4,2.39,157.27,18.39,17.88,18.39,17.88,158.0,61.0,51.0,270.0,25.0,18.0,2.0,167.0,30.0,22.0,4.72,3.58,10.08,6.0,3.0,16.0,270.0,219.0,219.0,3.77,2.59,2.59,19.57,19.57,19.17,4.77,23.73,57.0,328.0,0.49,0.03,3.0,1.0,3.0,1.0
8476952,2021,Dominic Toninato,WPG,C,4on5,77,6545.0,186.0,6.23,0.16,0.17,0.11,0.16,0.12,0.17,240.0,4.17,0.68,0.3,0.45,0.11,1.17,2.29,0.66,0.68,0.66,3.0,0.0,4.0,1.0,3.0,8.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,0.09,0.38,0.2,0.0,1.0,0.0,8.0,5.0,5.0,1.0,0.07,0.19,0.19,0.55,0.55,0.55,186.0,1.0,67.0,8.0,110.0,10.0,37.0,29.0,110.0,4.0,2.0,12045.0,2.0,0.0,0.0,0.0,16.8,2.76,2.74,2.76,2.74,20.0,1.0,4.0,25.0,5.0,1.0,0.0,11.0,4.0,6.0,0.38,0.67,1.71,0.0,2.0,3.0,25.0,21.0,21.0,0.23,0.19,0.19,2.8,2.8,2.79,108.28,14.48,13.74,14.48,13.74,120.0,30.0,47.0,197.0,18.0,12.0,4.0,104.0,29.0,17.0,2.75,3.44,8.29,2.0,5.0,11.0,197.0,150.0,150.0,2.65,3.57,3.57,13.57,13.57,13.02,5.76,28.08,64.0,346.0,0.01,0.1,1.0,4.0,1.0,2.0
8477210,2021,Buddy Robinson,ANA,R,4on5,32,1051.0,35.0,4.45,0.07,0.12,0.1,0.11,0.12,0.13,102.0,1.59,0.09,0.05,0.13,0.04,0.42,1.28,0.09,0.09,0.09,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,5.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.01,0.0,0.0,0.1,0.1,0.1,35.0,0.0,5.0,1.0,29.0,1.0,7.0,5.0,22.0,0.0,1.0,5566.0,5.0,0.0,0.0,0.0,2.26,0.09,0.09,0.09,0.09,2.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.02,0.0,0.0,0.11,0.11,0.11,15.43,1.24,1.17,1.24,1.17,12.0,10.0,4.0,26.0,1.0,2.0,0.0,15.0,7.0,0.0,0.43,0.82,0.0,0.0,1.0,0.0,26.0,22.0,22.0,0.32,0.14,0.14,1.42,1.42,1.35,2.07,14.68,23.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0
8481186,2021,Logan O'Connor,COL,R,4on5,81,9500.0,236.0,27.81,0.16,0.1,0.16,0.13,0.18,0.14,206.0,16.61,2.09,1.08,1.96,0.41,4.98,10.48,2.09,2.09,2.09,3.0,0.0,19.0,2.0,2.0,23.0,4.0,1.0,0.0,0.0,3.0,1.0,5.0,11.0,18.0,20.0,1.0,2.0,3.0,3.0,8.0,1.0,11.0,7.0,3.0,0.35,1.06,0.68,0.0,1.0,0.0,23.0,21.0,21.0,1.0,0.24,0.0,0.0,2.34,2.34,2.34,236.0,8.0,102.0,13.0,113.0,11.0,41.0,40.0,144.0,3.0,0.0,12107.0,2.0,0.0,0.0,0.0,32.78,3.86,3.85,3.86,3.85,38.0,4.0,5.0,47.0,4.0,0.0,0.0,26.0,11.0,5.0,1.08,1.62,1.16,2.0,1.0,1.0,47.0,42.0,42.0,0.45,0.0,0.0,4.31,4.31,4.29,140.08,20.68,18.88,20.68,18.88,137.0,60.0,56.0,253.0,21.0,18.0,6.0,133.0,40.0,24.0,3.77,4.84,12.06,4.0,2.0,15.0,253.0,197.0,197.0,3.51,5.22,5.22,18.96,18.96,17.85,2.55,22.23,48.0,332.0,0.06,0.09,2.0,2.0,1.0,2.0
8476391,2021,T.J. Tynan,LAK,C,4on5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8480990,2021,Declan Chisholm,WPG,D,4on5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8480304,2021,Jayden Halbgewachs,SJS,L,4on5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8477447,2021,Shea Theodore,VGK,D,4on5,78,1372.0,48.0,16.38,0.26,0.09,0.23,0.08,0.25,0.1,114.0,0.3,0.01,0.07,0.14,0.05,0.41,0.32,0.01,0.01,0.01,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.01,0.0,0.0,0.02,0.02,0.02,48.0,0.0,8.0,1.0,39.0,4.0,13.0,7.0,24.0,0.0,0.0,6031.0,2.0,0.0,0.0,0.0,8.38,1.26,1.26,1.26,1.26,9.0,2.0,0.0,11.0,1.0,0.0,0.0,5.0,4.0,2.0,0.19,0.51,0.55,0.0,0.0,1.0,11.0,11.0,11.0,0.13,0.0,0.0,1.38,1.38,1.38,23.11,3.55,3.31,3.55,3.31,30.0,3.0,4.0,37.0,3.0,3.0,1.0,26.0,3.0,4.0,0.51,0.53,2.51,1.0,0.0,2.0,37.0,33.0,33.0,0.5,1.31,1.31,2.73,2.73,2.53,1.35,13.19,17.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0
8478447,2021,Nick Merkley,SJS,R,4on5,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8475246,2021,Kevin Connauton,PHI,D,4on5,39,1122.0,28.0,-0.52,0.06,0.19,0.1,0.19,0.11,0.22,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,6.0,2.0,20.0,2.0,8.0,2.0,16.0,0.0,0.0,2825.0,0.0,0.0,0.0,0.0,2.94,0.17,0.17,0.17,0.17,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.03,0.0,0.0,0.19,0.19,0.19,22.97,2.42,2.27,2.42,2.27,29.0,2.0,7.0,38.0,2.0,3.0,0.0,24.0,2.0,5.0,0.67,0.2,1.55,0.0,0.0,2.0,38.0,31.0,31.0,0.51,0.49,0.49,2.44,2.44,2.37,0.78,3.32,17.0,71.0,0.0,0.0,1.0,0.0,1.0,0.0
