playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8480950,2021,Ilya Lyubushkin,TOR,D,other,77,1759.0,31.0,5.75,0.59,0.45,0.32,0.49,0.35,0.48,180.0,0.74,0.07,0.05,0.29,0.04,0.29,0.26,0.06,0.07,0.06,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.07,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.01,0.0,0.07,0.01,0.01,0.01,31.0,4.0,6.0,4.0,17.0,1.0,9.0,5.0,16.0,0.0,0.0,6966.0,2.0,2.0,1.0,4.0,12.01,6.06,5.4,6.06,5.4,11.0,6.0,1.0,18.0,6.0,3.0,3.0,6.0,4.0,7.0,0.26,0.58,5.22,1.0,1.0,4.0,18.0,17.0,17.0,0.16,1.06,1.06,5.17,5.17,5.07,22.07,4.19,3.05,4.19,3.05,20.0,11.0,8.0,39.0,2.0,3.0,0.0,17.0,7.0,7.0,0.85,0.74,2.6,2.0,0.0,0.0,39.0,31.0,31.0,0.52,0.78,0.78,3.93,3.93,2.78,15.51,18.76,138.0,146.0,0.0,0.1,0.0,2.0,0.0,2.0
8476952,2021,Dominic Toninato,WPG,C,other,77,309.0,7.0,1.83,0.32,0.49,0.06,0.57,0.08,0.52,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,2.0,4.0,0.0,3.0,0.0,4.0,1.0,0.0,2301.0,0.0,0.0,0.0,2.0,0.65,0.87,0.87,0.87,0.87,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.87,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.87,0.87,0.87,8.3,1.87,1.62,1.87,1.62,8.0,3.0,6.0,17.0,1.0,2.0,1.0,5.0,3.0,3.0,0.32,0.38,1.17,0.0,0.0,1.0,17.0,11.0,11.0,0.25,0.7,0.7,1.42,1.42,1.19,6.29,6.64,45.0,34.0,0.0,0.0,0.0,1.0,0.0,0.0
8477210,2021,Buddy Robinson,ANA,R,other,32,63.0,0.0,-0.16,0.41,0.07,0.33,0.28,0.33,0.32,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547.0,0.0,0.0,0.0,0.0,0.72,0.05,0.05,0.05,0.05,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.01,0.0,0.0,0.06,0.06,0.06,1.3,0.07,0.07,0.07,0.07,2.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.07,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.03,0.0,0.0,0.1,0.1,0.1,0.27,3.57,8.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
8481186,2021,Logan O'Connor,COL,R,other,81,1827.0,35.0,18.15,0.67,0.52,0.37,0.49,0.44,0.45,203.0,1.5,0.1,0.08,0.24,0.04,0.73,0.8,0.1,0.1,0.1,1.0,0.0,1.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.02,0.0,0.0,0.12,0.12,0.12,35.0,5.0,12.0,2.0,16.0,4.0,4.0,6.0,21.0,1.0,2.0,6058.0,0.0,0.0,0.0,4.0,17.82,5.56,5.47,5.56,5.47,19.0,5.0,7.0,31.0,5.0,2.0,0.0,11.0,3.0,10.0,0.53,0.31,4.72,0.0,0.0,5.0,31.0,24.0,24.0,0.33,0.54,0.24,5.65,5.65,5.56,22.22,2.7,2.18,2.7,2.18,21.0,10.0,22.0,53.0,3.0,4.0,0.0,22.0,4.0,5.0,0.59,0.49,1.61,2.0,1.0,0.0,53.0,31.0,31.0,0.58,1.1,1.1,2.18,2.18,1.81,17.64,16.12,146.0,154.0,0.3,0.0,1.0,0.0,1.0,0.0
8476391,2021,T.J. Tynan,LAK,C,other,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8480990,2021,Declan Chisholm,WPG,D,other,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8480304,2021,Jayden Halbgewachs,SJS,L,other,3,6.0,0.0,1.05,0.0,0.21,0.0,0.29,0.0,0.23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.06,0.06,0.06,0.06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.02,0.0,0.0,0.08,0.08,0.08,0.41,1.52,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
8477447,2021,Shea Theodore,VGK,D,other,78,5019.0,55.0,54.73,0.47,0.58,0.64,0.38,0.61,0.38,111.0,14.29,1.46,1.11,2.74,0.49,8.97,5.24,1.36,1.46,1.36,4.0,2.0,19.0,1.0,12.0,32.0,10.0,4.0,1.0,0.0,4.0,0.0,5.0,6.0,15.0,16.0,0.0,0.0,0.0,0.0,4.0,5.0,11.0,9.0,0.0,0.48,0.98,0.0,3.0,1.0,0.0,32.0,20.0,20.0,3.0,0.32,0.46,0.0,1.77,1.77,1.66,55.0,20.0,12.0,5.0,18.0,7.0,5.0,16.0,27.0,0.0,0.0,3070.0,0.0,0.0,0.0,3.0,87.44,16.79,13.83,16.79,13.83,98.0,22.0,55.0,175.0,13.0,10.0,2.0,68.0,29.0,23.0,2.65,3.37,10.77,4.0,4.0,5.0,175.0,120.0,120.0,2.15,4.12,4.12,14.82,14.82,13.24,55.08,18.94,17.23,18.94,17.23,52.0,25.0,21.0,98.0,15.0,8.0,3.0,33.0,16.0,28.0,1.37,2.08,15.49,3.0,1.0,11.0,98.0,77.0,77.0,1.03,2.68,2.68,17.29,17.29,16.12,12.34,8.82,63.0,102.0,0.1,0.01,3.0,1.0,2.0,1.0
8478447,2021,Nick Merkley,SJS,R,other,9,119.0,1.0,1.01,0.47,0.64,0.67,0.83,0.67,0.82,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,2.96,0.89,0.74,0.89,0.74,4.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,1.0,2.0,0.03,0.11,0.74,0.0,0.0,0.0,4.0,4.0,4.0,0.1,0.46,0.46,0.53,0.53,0.38,1.55,0.99,0.99,0.99,0.99,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.03,0.0,0.96,0.0,0.0,1.0,2.0,2.0,2.0,0.02,0.0,0.0,1.0,1.0,1.0,1.82,1.01,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8475246,2021,Kevin Connauton,PHI,D,other,39,469.0,10.0,1.25,0.2,0.53,0.33,0.45,0.22,0.47,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,2.0,6.0,0.0,1.0,2.0,7.0,0.0,0.0,2286.0,0.0,0.0,0.0,0.0,1.58,0.14,0.14,0.14,0.14,2.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.02,0.12,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.02,0.0,0.0,0.16,0.16,0.16,5.01,0.55,0.52,0.55,0.52,5.0,2.0,1.0,8.0,0.0,0.0,0.0,5.0,1.0,1.0,0.19,0.13,0.23,0.0,0.0,0.0,8.0,7.0,7.0,0.1,0.0,0.0,0.66,0.66,0.62,9.49,8.27,48.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0
